[Tue 11:05:05] <m4nu>	Agenda: http://lists.w3.org/Archives/Public/public-credentials/2014Aug/0001.html
[Tue 11:05:12] <dlongley>	scribe: dlongley
[Tue 11:05:35] *	cmcavoy (~cmcavoy@2601:d:480:598:3e97:eff:fe3c:a0bf) has joined #credentials
[Tue 11:05:47] <dlongley>	Manu reviews the agenda with the telecon participants.
[Tue 11:05:47] <dlongley>	m4nu: On the agenda today, we're going to spend a good chunk of time on introductions, Community Group process, charter review, ensuring everyone's questions are answered, and use cases. Anything else to update or add on the agenda? If not, we'll begin.
[Tue 11:06:09] <m4nu>	Topic: Introductions
[Tue 11:06:48] *	m4nu cmcavoy - Agenda: http://lists.w3.org/Archives/Public/public-credentials/2014Aug/0001.html
[Tue 11:07:53] <dlongley>	mark: my name is Mark Leuba and I'm an independent consultant, was CTO/CIO with American Public University, I've been working on projects periodically, with the obvious need for security in identity. I saw the work on global payments and understood that to be central to the value of secure mobile identity. I'm interested in secure identity in educational and institutional sphere, there aren't many solutions in this area that are better than what this group is doing. I'd like to do what I can to help support the standard.
[Tue 11:09:03] <dlongley>	pindar: Hi, Pindar Wong from Hong Kong. I'm the Chairman of VerifFi Ltd. I'm porting over from the Web Payments CG, very interested in online identity. About 21 years ago there was a famous cartoon with a dog in front of a computer that stated: "On the Web, nobody knows you're a dog." I'd like to move the state of the art forward. I'm interested in international property trading, I'm involved in government from the policy side in Hong Kong and China.
[Tue 11:09:19] <dlongley>	taaz: I'm David Lehn from Digital Bazaar, I work on standards around payments and finance.
[Tue 11:09:48] <dlongley>	bailey: Hi, my name is Bailey Reutzel. I work for Payments Source and write about global payments. I've also been working on writing about credentials and anything standards related and am here to help edit the specifications that this group creates.
[Tue 11:10:29] <dlongley>	SunnyLee: I've been working on Mozilla OpenBadges for over 3 years, which is Mozilla's work on a badging/credentialing standard. I've since left Mozilla and started at the Badge Alliance. 
[Tue 11:10:52] <m4nu>	dlongley: Hi my name is Dave Longley, co-founder and CTO of Digital Bazaar, one of the primary authors of JSON-LD. I've been involved with work around world standards and Linked Data for a while now.
[Tue 11:12:18] <dlongley>	m4nu: Hi, Manu Sporny - I've chaired the W3C RDFa 1.1 working group, Web Payments and JSON-LD work. I'm a co-author of JSON-LD. I'm a founder and CEO of Digital Bazaar, where we spend most of our time creating standards and technology around hi-stakes credentials and payments on the Web. Credentials was spin off from the web payments work, we know that the credentials work will be useful for more than just banks and financial institutions and we wanted to bring in a broader perspective. We wanted to involve not just financial institutions, but governments and educational institutions and others to focus on a more general credentialing solution.
[Tue 11:12:52] <dlongley>	cmcavoy: Hi, Chris MacAvoy, I work with Sunny at the OpenBadge Alliance. I've been working on that for a number of years, working on the standards that define open badges, I'm excited to be part of this group.
[Tue 11:14:16] <dlongley>	Mary: thanks to Manu for bringing people together, I'm from education and workforce sectors. I'm with a startup called Accreditrust that is entering the arena of credentials. We're committed to open standards. We see standards as crucial to the adoption of any credentials, from low-stakes badge up to hi-stakes for drivers license, university degree, etc. We think that governments and other large orgs won't be ready to go down the high-stakes credentialsroad until we've got standards in place.
[Tue 11:15:50] <dlongley>	richard: I'm a Distinguished Presidential Appointee at Educational Testing Service and a former CIO for the state of Iowa. I've had a long interest in credentials since my work as the CIO of Iowa, working on many systems for identity credentials, security. I've been pushing very hard to get ETS involved in this credentials standardization effort. I can speak to Mary's concerns and say we won't be able to adopt until there is a decent standard.
[Tue 11:16:49] <dlongley>	bill: i'm a strategic adviser at ETS and have worked with them for over 10 years. Previously I was involved in VerticalNet during the dotCom boom in the late 90's early 2000s. I look forward to participating in this group
[Tue 11:17:19] <dlongley>	m4nu: Just to mention a few of the people that couldn't make the call today. Tim Holborn runs a Web Civics group out of Australia, his focus is on people owning their own credentials, comes from data privacy perspective. Evgeny Vinogradov is from Yandex which is basically the Google of Russia, they run payment, identity systems but this is late in the day for him so he's not here. Markus Lanthaler wanted to be here as well, one of the co-authors of JSON-LD and is focused on REST APIs for transmitting data back and forth. He is involved in Social Web Technical Working Group at W3C and we should be having crosschat with them, as we decide what specs we want to focus on here, anything else as far as intros are concerned before we move on?
[Tue 11:17:50] <dlongley>	m4nu: in general, I think we're off to a great start. We have folks from the financial, education, open source, web standards sectors here, great to have diverse industries on the same call, that's not easy to do.
[Tue 11:17:55] <dlongley>	m4nu: I really appreciate everyone showing up and being a part of the conversation.
[Tue 11:17:59] <m4nu>	Topic: Overview of W3C Community Group Process
[Tue 11:18:55] <dlongley>	m4nu: the company group process is very lightweight, we don't have a lot of W3C support until we go to them directly and ask for it. So all the intellectually property stuff is dealt with in a light manner, every org is expected to do some IP release (you did this when you signed up to the group), if you are on the mailing list don't mention an IP/patent stuff at all if you don't want us to know about it (or risk your filing deadlines).
[Tue 11:19:39] <dlongley>	m4nu: the W3C CG process is designed to incubate technology, it's the same process we used to incubate JSON-LD and push it through W3C. It can be a fairly rapid process, we were able to go from JSON-LD CG through to a standard in ~3 years, which is very fast vs. usual 5-7 year timeframe.
[Tue 11:19:52] <dlongley>	m4nu: we will iterate on the tech here and then take that output and give it to W3C to create the standard
[Tue 11:20:03] <dlongley>	m4nu: what the tech is and what it does will be what we discuss in the next months here
[Tue 11:21:07] <dlongley>	m4nu:  we will have weekly telecons, agenda is created by the group, if someone wants to talk about something they send something to the mailing list to get it put on the agenda, group talks about technical nature of the work, what specs need to be written, volunteers go off and write them, once they are in a good state to get pushed through W3C standardization process, then we agree as a group to push it to the formal process at W3C, which involves identifying patent/IP issues, etc
[Tue 11:21:22] <dlongley>	m4nu: once it's in W3C process at that point a more deliberate/slow process takes over
[Tue 11:21:40] <dlongley>	m4nu: so to recap, we meet weekly, talk about technical issues, write specs, then we hand it off to the official W3C technical standardization process
[Tue 11:21:51] <dlongley>	m4nu: if they pick it up, then it would take 3-4 years to reach official status
[Tue 11:21:59] <dlongley>	m4nu: any questions about the process?
[Tue 11:22:40] <dlongley>	Mary: i've got a question about logistics. I'm sure Yandex doesn't need me worrying about them, please discuss if there will be alternate times for meetings or will Yandex catch up / get to calls as they need, we have international group and want to make this work for as many as we can
[Tue 11:23:42] <dlongley>	m4nu: there is a precedent for having alternate calls for folks in non-western hemisphere, we could have the calls at 10am ET it would be better for him, it makes it 7pm for Evgeny (Yandex), he's good at following the minutes, it's really based on demand, if majority of folks are in EU, if we get Australia/China/Russia/etc then we'll make the call match that time zone.
[Tue 11:23:58] <dlongley>	pindar: normally the minutes are usually quite complete so it's pretty easy to catch up on what the group is up to
