[Tue 11:05:40] <dlongley>	Agenda: http://lists.w3.org/Archives/Public/public-credentials/2014Sep/0023.html
[Tue 11:05:56] <dlongley>	chair: dlongley
[Tue 11:05:56] <dlongley>	scribe: marybold
[Tue 11:06:16] <marybold>	dlongley: First up on the agenda: completing the Web Payments use cases.
[Tue 11:05:56] <dlongley>	Topic: Complete Web Payments Use Case Review
[Tue 11:06:03] <dlongley>	https://www.w3.org/community/webpayments/wiki/UseCases#Identity
[Tue 11:06:43] <marybold>	dlongley: Last meeting, we were talking about a payer Jack sending money to Jill--asking for an identifier
[Tue 11:06:47] <dlongley>	Use Case: Gunther (payer) enters a short-identifier that he believes identifies The Widget Store (merchant) into a UI. The UI displays a certificate of authenticity that indicates the short identifier is in fact for The Widget Store. Gunther uses the short identifier to make a payment to the store.
[Tue 11:06:53] *	Eric_ (ad0341da@gateway/web/freenode/ip.173.3.65.218) has joined #credentials
[Tue 11:07:00] <voip-cr>	Dave Lehn (SIP/6003-00000073) has joined the conference.
[Tue 11:07:20] <marybold>	dlongley: The next use is related to that: Gunther, who is the payer seeking the Widget store (see text of use case).
[Tue 11:07:36] <marybold>	dlongley: In this case, it's Gunther wanting to pay a store for a  widget.
[Tue 11:07:39] *	You are now known as manu
[Tue 11:08:24] <marybold>	dlongley: We reviewed this in Web Payments community group and looked at feedback == now cleaned up.
[Tue 11:08:39] <marybold>	dlongley: Does anyone here today have any feedback or questions about this use case?
[Tue 11:08:59] <marybold>	ekorb: A store... or any entity trying to transact with that person?
[Tue 11:09:10] <marybold>	ekorb: If a university...
[Tue 11:09:31] <marybold>	dlongley: Yes, it would work in the same way: a short identifier to map to any entity.
[Tue 11:06:47] <dlongley>	Topic: Identity Recovery
[Tue 11:09:41] <dlongley>	Design Criteria: A primary entity (buyer, merchant, etc.) with access to a credential service sets a second entity (buyer, merchant, etc.) as a backup for accessing their credentials should they inadvertently lose their ability to access the credential service (accidental loss of password or 2-factor authentication device).
[Tue 11:09:48] <marybold>	dlongley: Moving to the last case from the WebPayments CG: design criteria.
[Tue 11:10:18] <marybold>	dlongley: back-up for accessing credentials--accidental loss of password or 2-factor authentication
[Tue 11:10:37] <marybold>	dlongley: Person loses password--ability to recover access to your account
[Tue 11:11:03] <marybold>	dlongley: Overly complex to try to put into the standard. We can let best practices and the market decide the direction to proceed.
[Tue 11:11:48] <marybold>	dlongley: We're going to leave the use case in there as something to consider. The complexity doesn't buy us anything. It would best to let individual identity providers decide what recovery measures to offer their customers.
[Tue 11:12:09] <dlongley>	Topic: Use Cases from Tim Holborn
