[Tue 11:04:07] <m4nu>	Agenda: http://lists.w3.org/Archives/Public/public-credentials/2014Sep/0038.html
[Tue 11:04:26] <voip-cr>	Dave Lehn (SIP/6003-0000009d) has joined the conference.
[Tue 11:04:27] <dlongley>	scribe: mediaprophet
[Tue 11:04:37] <mediaprophet>	Manu: On the agenda today, making sure people know about the Web Payments use case vote, are registered for TPAC, and going through the use-cases. Any other additions/changes to Agenda?
[Tue 11:04:37] <mediaprophet>	No changes.
[Tue 11:04:53] <m4nu>	Topic: Web Payments Use Cases Vote
[Tue 11:05:19] <mediaprophet>	manu: web-payments use-group have finalised a draft that will be presented to the W3C Interest group at TPAC
[Tue 11:05:43] <m4nu>	https://web-payments.org/specs/ED/use-cases/2014-09-25/
[Tue 11:05:46] <mediaprophet>	Manu: basically the use-cases are more-or-less revised.  these cases came from paris. alot of identity use-cases moved into this group.
[Tue 11:06:08] <m4nu>	http://lists.w3.org/Archives/Public/public-webpayments/2014Sep/0155.html
[Tue 11:06:52] <mediaprophet>	manu: this is the use-cases, credentials is a big part of the use-cases. although it has been set in stone for web-payments, it’s very much the requirement for credentials group.  A vote is going on, if this is agreed upon. it will be the responsibility of this group to define the credentials solution
[Tue 11:08:05] <mediaprophet>	Manu: if anyone here is involved with web-payments, make sure you get involved with the vote. Basically, look at the use-cases and identify what the technical requirements will be for the web-payments work.
[Tue 11:08:35] <m4nu>	tim: Questions about the privacy stuff, what about the ODRL group? Is that fit to print? I need to follow up on that with you at some stage.
[Tue 11:08:40] <dlongley>	mediaprophet: We spoke about the privacy work and I'm not sure if it's going to fit the work, I'll follow up.
[Tue 11:09:16] <mediaprophet>	manu: i don’t know if we have the data rights stuff in there, I don't think we do have it in the Web Payments Use Cases doc.
[Tue 11:10:00] <mediaprophet>	manu: my concern is that we were talking about data rights in credentials, but not in web-payments. we need to do both
[Tue 11:10:18] <mediaprophet>	manu: because your purchase / transaction history can be used to track you.
[Tue 11:10:44] <mediaprophet>	manu: and ODRL we need to touch base with from both groups.
[Tue 11:11:17] <mediaprophet>	manu: the other thing to pay attention to, is that the payments process is exactly the same proces the credentials group will need to go through.
[Tue 11:11:32] <mediaprophet>	manu: my hope is that we’ll be able to go through exactly the same thing in the next few weeks
[Tue 11:11:36] <mediaprophet>	manu: any other questions?
[Tue 11:11:45] <m4nu>	Topic: Register Now for W3C TPAC
[Tue 11:11:54] <m4nu>	Web Payments IG now on the schedule
[Tue 11:12:08] <mediaprophet>	manu: important thing to note is that the web-payments session is in the schedule now.
[Tue 11:12:33] <m4nu>	https://manu.sporny.org/2014/3-wp-events/
[Tue 11:13:01] <mediaprophet>	manu: (W3C Web Payments Activity)  the web-payments interest group is listed. the vote to create the Web-Payments activity at W3C is going on now.
[Tue 11:13:33] <mediaprophet>	manu: if you are going to TPAC - make sure you register for the Web-payments group if you want to discuss the credentials work.
[Tue 11:13:44] <mediaprophet>	manu: talking about schedule….
[Tue 11:15:49] <mediaprophet>	Pat: is the meeting on wednesday?
[Tue 11:16:20] <mediaprophet>	manu: (discussing the way TPAC is organised this year). Basically, we can have the credentials meeting on Mon/Tue instead of Wed.
[Tue 11:16:42] <mediaprophet>	manu: the internet identity workshop is happening on the wednesday.
[Tue 11:16:55] <mediaprophet>	manu: perhaps we’ll announce an ad-hoc meeting on the wednesday.
[Tue 11:17:17] <m4nu>	tim: Still working on funding to get over there, if you could help w/ getting access to the W3C TPAC as an Invited Expert.
[Tue 11:17:17] <m4nu>	manu: Let's take the discussion offline, Web Payments group is being very strict about Invited Experts (which is unfortunate for the preliminary meeting).
[Tue 11:17:49] <m4nu>	Topic: Advanced Use Cases (Tim Holborn)
