[Tue 11:04:27] <m4nu>	Agenda: http://lists.w3.org/Archives/Public/public-credentials/2014Oct/0012.html
[Tue 11:04:32] <m4nu>	scribe: Bailley
[Tue 11:05:24] <Bailley>	Manu: We might want to add something to the agenda discussion about what exactly were thinking of publishing for W3C TAC status of document how we should go about vote.
[Tue 11:05:24] <Bailley>	Bill: No additions to Agenda.
[Tue 11:06:11] <m4nu>	Topic: Voting Process on Credentials Use Case Document
[Tue 11:06:21] <m4nu>	voip: b9 is Bill
[Tue 11:06:21] <voip-cr>	Bill is now associated with SIP/144.81.85.9:56026-000000b9.
[Tue 11:06:38] <Bailley>	Manu: this is kinda the discussion on what were trying to get done
[Tue 11:07:21] <Bailley>	Manu: the discussion has to do with what were going to do with use cases docuemnt. important to have  some kind of use case document...so web payment group can refer to it. point to document and have discussion around document and what we want to do with this group
[Tue 11:07:47] <Bailley>	Manu: Any comments on it being beneficial  before having this document before TPAC? Or basically hold off on it?
[Tue 11:08:57] <Bailley>	Manu: Trying to do is saying that the community has basic agreement on these use cases. Maybe new use cases after TPAC? Edit document over next 2-3 months
[Tue 11:09:29] <Bailley>	Manu: decision isn't made on call, send it out to list and people can object to that proposal if they have any. Other thing we need to discuss is the length of the vote?
[Tue 11:11:22] <Bailley>	Manu: Usually two week affairs, the problem with that if we we need to finalize some of the language today. If we delay vote until next Tuesday or Friday we only have a wek for the vote. could decide to do give everyone fair notice we'll have vote starting at end of day next Tuesday and vote will only be open till the following Tues. or Wed, Community small enough we can probably do that, but fairly accelerated voting process.
[Tue 11:12:09] <Bailley>	dlongley: Have anything in charter that says vote doesn't have to last a certain time?
[Tue 11:12:33] <dlongley>	"Within 7 days of such a request, the Chair must announce the start and end dates, and the venue for the vote. Such a vote must be open at least 7 days and should be no more than 14 days, using a structured online voting solution, ensuring that no member votes more than once."
[Tue 11:12:45] <Bailley>	Manu: Vote must be open at least 7 days and no more than 14 days.
[Tue 11:12:49] <dlongley>	http://www.w3.org/community/credentials/charter/
[Tue 11:13:09] <Bailley>	Manu: We're really  not required to do that. Could do that based on working consensus.
[Tue 11:14:08] <Bailley>	Manu: Proposal create a publish a preliminary use cases document. Before W3C TPAC. Start the vote at end of day on Tuesday, October 14.
[Tue 11:14:14] <m4nu>	PROPOSAL: Create and publish a preliminary Credentials Use Cases document and vote on publishing it as a first public working draft before W3C TPAC. Give fair notice of the vote immediately, start the vote at the end of the day on Tuesday October 14th 2014 and keep it open for 7 days.
[Tue 11:14:32] <dlongley>	+1
[Tue 11:14:35] <m4nu>	+1
[Tue 11:14:41] <Bailley>	+1
[Tue 11:14:44] <taaz>	+1
[Tue 11:14:55] <Bailley>	Mary: +1
[Tue 11:15:01] <Bailley>	Mark +1
[Tue 11:15:13] <Bailley>	Bill: +1
[Tue 11:15:32] <mediaprophet>	+1
[Tue 11:15:16] <m4nu>	RESOLVED: Create and publish a preliminary Credentials Use Cases document and vote on publishing it as a first public working draft before W3C TPAC. Give fair notice of the vote immediately, start the vote at the end of the day on Tuesday October 14th 2014 and keep it open for 7 days.
[Tue 11:16:05] <Bailley>	Manu: Purpose of call is to try and get preliminary set of use cases in document. Don't have to be perfect but should be fairly clear in what we're trying to address.
[Tue 11:16:31] <Bailley>	Manu: Let's talk about W3C's response to the agenda bashing we did on web payments call.
[Tue 11:16:34] <m4nu>	Topic: Web Payments Agenda on CG call last week
[Tue 11:16:52] <m4nu>	https://web-payments.org/minutes/2014-10-01/#8
[Tue 11:17:19] <m4nu>	That was the discussion ^^
[Tue 11:17:27] <m4nu>	This is the preliminary Agenda: http://lists.w3.org/Archives/Public/public-webpayments/2014Oct/0013.html
[Tue 11:17:39] <m4nu>	Direct link to preliminary agenda: https://docs.google.com/document/d/1R_hLcUBXJxm3DhQC4JmyzS_hKlnhQDUFBvfZR5UaFf0/edit?usp=sharing
[Tue 11:18:02] <Bailley>	manu: keep in mind that this is a proposal by web payment community group to the web payment activity...suggestion on what we'd like to see discussed.
[Tue 11:18:22] *	Bill (90515509@gateway/web/freenode/ip.144.81.85.9) has joined #credentials
[Tue 11:18:34] <Bailley>	Manu: general layout morning meeting on web payments... finish off day with web payment meetin gon monday and tuesday. On wednesday do a wrap-up discussion to those that couldn't make the meetings. Credentials meetings sandwiched in between.
[Tue 11:18:46] *	Bill is now known as Guest11977
[Tue 11:19:04] <Bailley>	Manu: Staff contact said that they're working on agenda w/ chairs, fairly dismissive of CG's comments on Agenda.
[Tue 11:19:59] <Bailley>	Manu: Staff contact and chairs have been unresponsive since last Friday. Maybe because they're busy but getting concerned there will be miscommunication leading up to TPAC
[Tue 11:20:08] <Bailley>	Manu: fair notice on agenda and whats being discussed.
[Tue 11:20:29] <Bailley>	Manu: staff contact not releasing agenda until next week . gives poepl only a week or a week and a half of prep time.
[Tue 11:20:57] <Bailley>	Manu: This is problematic. He also said this premature that we have a Credentials CG meeting at all.
[Tue 11:21:39] <Bailley>	Manu: Unfortunate reality here is that staff contact hasnt been tracking CG work, and all credentials calls weve been having, and understand many payments co's raised credentials questions.
[Tue 11:22:04] <Bailley>	Manu: We'll have to lobby them pretty heavily when they make that agenda public to make sure we can talk about credentials.
[Tue 11:22:31] <Bailley>	Manu: Clearly not happy about approach they're taking. Done between three people instead of having the communities involved. I understand the pressure they're under, but this is fairly bad form when it comes to open standards, not even Web Payments Workshop attendees are in on discussion. 
[Tue 11:22:38] <Bailley>	Manu: Any thoughts on this?
[Tue 11:23:24] <Bailley>	Mary: Direct communication with staffer? Anything we need to do or record? Doesnt sound like this is something you like to complain about but we need to keep persisting to make the case?
[Tue 11:23:50] <mediaprophet>	W3C has initiated a program entitled ‘webizen’ which is an individual membership, for W3c (of forms).  This is an excellent example around why this type of membership category is important to the W3C
[Tue 11:24:25] <Bailley>	Manu: Communtiy groups dont have much say with whats going on. Have W3C members participate in this call though... Fed. Reserve, Yandex, Dont wan to invoke those orgs names... but i think staff contact is unaware that W3C member shaving these  discussions.
[Tue 11:25:22] <Bailley>	Manu: All we can do is continue to lobby them. If there are W3C memebrs that care about this they should individually lobby the W3C to ask them why the agenda planning isn't being done publicly.
[Tue 11:25:35] <Bailley>	Mary: Restriction only been communicated to the staff member to you?
[Tue 11:25:38] <Bailley>	Manu: yes.
[Tue 11:25:50] <Bailley>	Mary: Hard to respond when there's no notice.
[Tue 11:25:54] <Bailley>	Manu: Yea.
[Tue 11:26:11] <mediaprophet>	suggestion: lobby for improvements via webizen program
[Tue 11:26:18] <Bailley>	Manu: Not much we can do than say where's the agenda. That might trigger well we're working on it internally and then we can ask why
[Tue 11:26:27] <Bailley>	Mary: We'd like to propose something
[Tue 11:26:49] <Bailley>	Manu: Worse case they will propose agenda at end of next week and be a rush to make sure CG is heard on that agenda.
[Tue 11:26:51] *	SunnyLee (475cc427@gateway/web/freenode/ip.71.92.196.39) has joined #credentials
[Tue 11:26:53] <mediaprophet>	FYI: http://lists.w3.org/Archives/Public/public-webizen/2014Oct/0002.html
[Tue 11:26:56] <m4nu>	voip: ba is Sunny
[Tue 11:26:56] <voip-cr>	Sunny is now associated with SIP/71.92.196.39:5060-000000ba.
[Tue 11:27:27] <Bailley>	Manu: Try and keep pressure on the staff contact and chairs to respond. Asked them about this last Friday and still no response.
[Tue 11:27:27] <Bailley>	Clarification: Manu received a response one hour after this Credentials CG call and the is ongoing discussion wrt. resolving this issue.
[Tue 11:27:47] <Bailley>	Manu: Anything else on this agenda item?
[Tue 11:28:05] <m4nu>	Topic: Comments on Use Cases Document
[Tue 11:28:12] <m4nu>	http://opencreds.org/specs/source/use-cases/
[Tue 11:28:25] <Bailley>	Manu: Very preliminary very drafty use cases document posted on website.
[Tue 11:28:43] <Bailley>	Manu: What got in there now are web payment use cases that got into there over last two weeks.
[Tue 11:29:08] <Bailley>	Manu: Gotten some great feedback already. During the call today working on extending those use cases based on Tim and Mark Luba's comments they sent in.
[Tue 11:29:20] <Bailley>	Manu: Of course doing some general comments on document.
[Tue 11:29:32] <Bailley>	Manu: Any concerns on document or how its put together? One piece of feedback... Something we might want to do is in this template we have for describing the use cases we might want to describe in a more general way. State in very generic way and then state an example that might be more helpful.
[Tue 11:30:40] *	dlongley that was me speaking (Dave)
[Tue 11:31:02] <Bailley>	Manu: Great proposal and we should definitely do that.
[Tue 11:31:08] <Bailley>	Manu: Other comments?
[Tue 11:31:28] <Bailley>	Manu: One other comment still a bit to payments specific.
[Tue 11:31:46] <Bailley>	Manu: Try and make these even less specific and move the payments specific details into a sub-section.
[Tue 11:31:59] *	mediaprophet has quit (Quit: mediaprophet)
[Tue 11:32:03] <m4nu>	Topic: Remaining Use Cases
[Tue 11:32:19] <m4nu>	http://lists.w3.org/Archives/Public/public-credentials/2014Oct/0010.html
[Tue 11:32:23] <Bailley>	Manu: There are two emails we need to go over. First from Nate Otto. Nate brought up that likes composaility mechanism but there is one particular use case thats interesting allowing two disparate systems to link up with each other based on shared
[Tue 11:33:21] <Bailley>	Manu: Both systems have person's social security number use that number to sync between each other. Or email address or drivers license identifiier.
[Tue 11:33:33] <m4nu>	Potential use case: Enable credentials to be issued by systems in a way that allows each
[Tue 11:33:33] <m4nu>	system to align their internal identifiers with the other.
[Tue 11:33:52] <Bailley>	Manu: Any thoughts on that use case?
[Tue 11:34:21] <Bailley>	Dave: To me thats generally supported by the design in using JSON LD,
[Tue 11:34:40] <Bailley>	Dave: Both systems understand government ID and data matches then you're talking about same identity.
[Tue 11:34:51] <Bailley>	Manu: Question is if we want to put this use case in the document?
[Tue 11:35:06] <Bailley>	Dave: Maybe this should be design criteria to enable things like this to happen?
[Tue 11:35:31] <Bailley>	Manu: Kinda like identifier alignment use case.
[Tue 11:36:10] <Bailley>	Manu: We are going to have universal idenitifier  associated with these credentials.Do the legacy systems need to use this universal identifier? That's probably not an assumption we should make. Fall back to this design criteria.
[Tue 11:36:15] <Bailley>	Dave: Right
[Tue 11:36:23] <Bailley>	Manu: Largely an argument for legacy systems
[Tue 11:36:26] <m4nu>	ok so we have this - Design Criteria: Enable credentials to be issued by systems in a way that allows each system to align their internal identifiers with the other.
[Tue 11:36:46] <Bailley>	Manu: No objections.
[Tue 11:36:56] <m4nu>	Ok, so let's move on to this: http://lists.w3.org/Archives/Public/public-credentials/2014Oct/0014.html
[Tue 11:37:04] <m4nu>	Topic: Verifiable Claims
[Tue 11:38:03] <m4nu>	Tim wanted a credential use case for this: Existing proof of patent -  I have a patent or trademark.  I offer the use of this patent or trademark subject to “this” agreement.
[Tue 11:38:27] <Bailley>	Manu: Use that patent or trademark based on certain type of license.
[Tue 11:38:51] <Bailley>	Manu: Prove to me that you have X qualification. Most basic use case, but don't call it out explicitly, but we probably should.
[Tue 11:39:09] <m4nu>	The proposal is to have a basic Proof use case: An entity would like to prove that they have a particular qualification, achievement, or quality that has been vouched for and digitally signed by a 3rd party.
[Tue 11:39:12] <Bailley>	Manu: Should we have proof use case?
[Tue 11:40:23] <Bailley>	Dave: Had some discussion on a previous call. One issue is just the language. Proof has some issues Eric brought up. Way this is written you could actually prove, that you've achieved something which is different than a third party said you have achieved something. Need some better language here.
[Tue 11:40:53] <Bailley>	Dave: Eric specifically said he wanted to not use the word proof, but maybe claim instead.
[Tue 11:41:32] <Bailley>	Manu: Digitally verifiable credentials... This is the Know Your Customer thing. There is some overlap.
[Tue 11:41:40] <Bailley>	Manu: But not enough to be merged into one.
[Tue 11:41:52] <Bailley>	Manu: Do we have use case with the proof/claim thing.
[Tue 11:42:10] <Bailley>	Dave: I think we need to specifically state it but worried about the language.
[Tue 11:42:25] <Bailley>	Manu: Use case could be called third party claims.
[Tue 11:43:11] <dlongley>	"An entity can demonstrate that a 3rd party has asserted that they have a particular qualification, achievement, or quality."
[Tue 11:43:17] <m4nu>	An entity would like to prove that a 3rd party has made a particular set of claims about them (such as a qualification, achievement, or quality). The claim should be verifiable.
[Tue 11:43:57] <Bailley>	Manu: Should we split verifiable thing out? And then how is it actual proof?
[Tue 11:44:06] <Bailley>	Dave: No Has to be verifiable to eb part of use case.
[Tue 11:44:27] <Bailley>	Manu: Any comments on which one they like more? Or another proposal?
[Tue 11:45:29] <m4nu>	An entity can demonstrate that a 3rd party has claimed that they have a particular qualification, achievement, or quality. The claims should be verifiable.
[Tue 11:46:10] <Bailley>	Dave: Problem is still that...still has confusion that makes people think you can go verify that the claims are true, instead of that the claims were made.
[Tue 11:46:37] <dlongley>	"An agent can verify that a 3rd party has made a particular set of claims about an entity (such as a qualification, achievement, or quality)."
[Tue 11:46:37] <m4nu>	An entity can demonstrate that a 3rd party has claimed that they have a particular qualification, achievement, or quality to a requestor. The requestor should be able to verify that the claims were made by the 3rd party.
[Tue 11:47:03] <Bailley>	Dave: Almost like we need another party in here... Agent or something in here to verify that those claims were made.
[Tue 11:47:17] <Bailley>	Manu: Issuer, credentialee and requestor
[Tue 11:47:49] <dlongley>	"A requestor can verify that an issuer has made a particular set of claims about an entity (such as a qualification, achievement, or quality)."
[Tue 11:48:22] <dlongley>	"A requestor can (cryptographically) verify that an issuer has made a particular set of claims about an entity (such as a qualification, achievement, or quality)."
[Tue 11:49:22] <Bailley>	Mark: Question please? Thinking about a student...the requestor can they independently address the issuer without some kind of pre-approval from entity that is asserting the qualifications?
[Tue 11:49:26] <Bailley>	Manu: It can be.
[Tue 11:50:06] <Bailley>	Manu: University could directly pull students info from the testing center is they have an agreement to do that. Potentially violates laws in some parts of the world, but the tech can allow that to happen.
[Tue 11:50:22] <Bailley>	Mark: Some delegation of authority?
[Tue 11:51:07] <Bailley>	Manu: We're definitely not saying a university can get access to student transcript from another university without any authorization from the student or going around the laws that exist today for those cases.
[Tue 11:51:31] <Bailley>	Mark: And there will be tool, mechanism...that would allow for that delegation to occur.
[Tue 11:51:33] <Bailley>	Manu: Yes
