[Tue 11:05:47] <m4nu>	scribe: mleuba
[Tue 11:05:54] <m4nu>	Agenda: http://lists.w3.org/Archives/Public/public-credentials/2014Nov/0002.html
[Tue 11:05:57] *	bsletten (4c0e7b79@gateway/web/freenode/ip.76.14.123.121) has joined #credentials
[Tue 11:06:28] <mleuba>	Manu: Reviewed agenda, the W3CTPAC meeting.  Went really well.  Reviewing for those that could not attend.
[Tue 11:07:41] <mleuba>	Manu: Review the TPAC Meeting, Discuss Priorities, Learned a lot at the meeting.  A number of things will move quickly.  A lot of groups interested.
[Tue 11:07:54] <m4nu>	Topic: Review W3C TPAC Meeting
[Tue 11:08:00] <mleuba>	Manu: Any updates or changes to agenda? <none>
[Tue 11:08:02] <m4nu>	http://opencreds.org/minutes/2014-10-28/
[Tue 11:08:36] <mleuba>	Manu: These are public minutes.  Gave parties a week for corrections.  OK to share publicly now.
[Tue 11:09:00] <SunnyLee>	sounds good
[Tue 11:09:04] <m4nu>	http://opencreds.org/minutes/2014-10-28/
[Tue 11:10:13] <mleuba>	Manu: Everyone in Web Payments Interest Group were able to learn more about the CG.  Turnout was great.  Normally 12-15 persons, had between 38-48.  Fantastic, a lot of interest.
[Tue 11:11:24] <mleuba>	Manu: The Credentials Meeting had 15 participants, really good turnout.  Many more could not be there.  Folks from Deutsch Telekom, Verisign, Federal Reserve, Accreditrust, Target, Mozilla (Briefly), W3C standards.
[Tue 11:13:41] <mleuba>	Manu: Very engaged discussion.  Dialog went beyond agenda but it was good.  Most resolved around Identity Proofing, how to tie credentials to proofed-persons.  Went over high level use cases.  Talked about identifier portability,  Efforts to avoid vendor lock-in.  Spoke about data rights.
[Tue 11:14:12] <mleuba>	Manu: Did not follow the agenda, because conversation as going well, discussion was well-aligned.
[Tue 11:14:35] <mleuba>	Manu: Details are in the minutes (link) above.
[Tue 11:15:09] <mleuba>	Mary: The participants were knowledgeable, needed no instruction.
[Tue 11:16:46] <mleuba>	Mary: This allowed fast moving discussion.  Manu was very clear and expert in his explanation to the participants.
[Tue 11:17:33] <mleuba>	Brian: In addition, there was general consensus about the scope, where it would apply.  More than I expected,  There was a good sense that we are on the right track.
[Tue 11:17:49] <mleuba>	Manu: Agreed, I was surprised there was not arguing about minutia.
[Tue 11:17:51] <voip-cr>	Victoriano (SIP/85.62.72.19-00000046) has left the conference.
[Tue 11:18:16] <mleuba>	Manu: Anything else about the CB face to face meeting?
[Tue 11:18:16] <mleuba>	Participants at W3C TPAC had nothing else general to add.
[Tue 11:18:25] <m4nu>	Topic: Web Payments IG Meeting
[Tue 11:18:33] <voip-cr>	11 (SIP/85.62.72.19-0000004d) has joined the conference.
[Tue 11:19:47] <mleuba>	Manu: Credentials CG was invited to present for one hour.  Went very well.  In the Web Payments IG meeting the credentials were not discussed much but the work of the CG will be folded back into the Web Payments group.
[Tue 11:20:12] <mleuba>	Manu: We spoke about the broad group of interests, ETS, Accreditrust.  Health Care and government as well.
[Tue 11:20:55] <mleuba>	Manu: The Web Payments IG will discuss Credentials in a serious way.  How can we make it productive?  We need a set of deliverables to make that possible.
[Tue 11:21:09] <m4nu>	Topic: W3C TPAC Credentials Hallway Discussions
[Tue 11:22:16] <mleuba>	Manu:  Other discussions in the hallway that myself and others had with W3C team around credentials.  The preferred track has two specifications of interest, how to order JSON LD so it can be signed.  Other, how to digitally sign JSON LD messagse so it can be verified by the recipient.
[Tue 11:23:38] <mleuba>	Manu: The Social Web working group has adopted JSON LD, they want to do digital signatures, they are interested in the work.  Web Annotations is also interested in these specifications.  The Data Activity Group, is also very interested in Graph Normalization and the other specification as well.
[Tue 11:24:21] <mleuba>	Manu: This is a good thing, the Web Payments IG will not have to do this, it can be offloaded to other groups.
[Tue 11:24:56] <mleuba>	Brian: Is that indicative of support?  Is there a process where we track the work products of the groups?
[Tue 11:25:34] <mleuba>	Manu: If we want to take on the specification a group has to adopt the work items.
[Tue 11:27:08] <mleuba>	Manu: Better for existing group to adopt the specification, to avoid having to start a new group.  This is especially true for Graph Normalization work, which is highly specialized.   We expect a micro-working group to be created.  The secure messaging spec may have the same process.
[Tue 11:27:23] <mleuba>	Manu:  Did that answer your question Brian?
[Tue 11:27:26] <mleuba>	Brian: Yes, thanks.
[Tue 11:27:51] <mleuba>	Manu: This is a firehose for the new members, any questions or concerns?
[Tue 11:27:51] <mleuba>	No questions.
[Tue 11:28:02] <m4nu>	Topic: Planning for next 2 months
[Tue 11:28:12] <mleuba>	Manu: How will the CG group coordinate so outcomes meet our goals?
