[Tue 11:05:02] <m4nu>	Agenda: http://lists.w3.org/Archives/Public/public-credentials/2014Nov/0008.html
[Tue 11:05:39] <m4nu>	scribe: m4nu
[Tue 11:06:06] <m4nu>	m4nu: Any updates/changes to agenda?
[Tue 11:06:15] <m4nu>	m4nu: We may want to add the "Work Streams" email to the agenda.
[Tue 11:06:30] <m4nu>	Topic: Groningen Declaration
[Tue 11:06:35] <m4nu>	Background on the Groningen Declaration - http://www.groningendeclaration.org/about-network
[Tue 11:07:06] *	erok (ad0341da@gateway/web/freenode/ip.173.3.65.218) has joined #credentials
[Tue 11:07:14] <m4nu>	voip: 14091 is Eric
[Tue 11:07:15] <voip-cr>	Eric is now associated with IAX2/diamondcard-14091.
[Tue 11:09:33] <m4nu>	Victoriano: Here's the link for today  - http://v.uma.es/groningen-w3-cg.pdf
[Tue 11:09:51] <m4nu>	Victoriano: This is a bit basic, but summarizes the ideas behind what we're trying to achieve.
[Tue 11:10:15] <m4nu>	Victoriano: We're trying to fight the diploma mills - the fake diploma producing entities - you can buy a fake university diploma for very little money.
[Tue 11:10:37] <m4nu>	Victoriano: We're also trying to ease access to diplomas - following a great idea from Stanford, all documents are born digital. We're trying to get rid of paper.
[Tue 11:11:05] <m4nu>	Victoriano: If you have digital diploma deposits - reduce fraud, recover from diploma loss, reduce friction.
[Tue 11:11:12] <m4nu>	Victoriano: If it's in digital form, it's easy to recover.
[Tue 11:11:57] <m4nu>	Victoriano: As I was brought into this activity from my digital identity background - if we mix digital identity w/ digital diplomas/credentials - you have clear control of privacy, access control, compare the data, produce credentials from one university to be accepted by another one.
[Tue 11:12:32] <m4nu>	Victoriano: We're working on a way to ease the recognition of univeristy diplomas. One of the biggest problems w/ paper-based university diplomas - you have to find an authority to vouch for those credentials. That's a lot of work.
[Tue 11:13:01] <m4nu>	Victoriano: Most of the people that do credential verification need to be trained by police and banks. There are a couple of slides in the presentation - better to have information in electronic form.
[Tue 11:13:16] <m4nu>	Victoriano: Easy to transport, easy to store, easy to transmit, better for the environment.
[Tue 11:13:25] <eric>	We experienced the same issue of verifying paper credentials on incoming students to the US.
[Tue 11:13:55] <m4nu>	Victoriano: We want to base all work on standards and trust. There is the usual ancronym soup that come up in all this work. TCP/IP to MLO ELM ELMO.
[Tue 11:14:05] <m4nu>	Victoriano: MLO - Mobile for Learning Opportunities.
[Tue 11:14:15] <m4nu>	Victoriano: ELMO European Learner Mobility.
[Tue 11:14:39] <m4nu>	Victoriano: You see OpenID, or JSON, or PDF signed/not signed, etc.
[Tue 11:15:17] <m4nu>	Victoriano: We're fortunate in Europe - activity called STORK - transborder digital identity for European citizens. Having a common way of expressing identity and connecting to unviersity diplomas is something that'll help this work.
[Tue 11:15:39] <m4nu>	Victoriano: We have EDUGain - get identities created by many universities.
[Tue 11:15:49] <m4nu>	Victoriano: Groningen Declaration is about pulling all this stuff together.
[Tue 11:16:18] <m4nu>	Victoriano: We're talking about trust - we want to build trustworthy connections. We also want technical trust - we want badges/credentials. 
[Tue 11:16:33] <m4nu>	Victoriano: Three laws of crypto - very important for credentials - confidentiality, integrity, non-repudiation.
[Tue 11:17:08] <m4nu>	Victoriano: We want student to leave home institution to receiving institution, all can be mediated from depository of university diplomas.
[Tue 11:17:39] <m4nu>	Victoriano: Over a trust fabric over behavioral and technical connections. We're trying to bring players together - code of conduct, best practices, etc.
[Tue 11:18:25] <m4nu>	Victoriano: You are being bound to a certain set of principles wrt. electronic diplomas - network of trustworthy institutions, easy for students to move from institution to institution using this trust fabric that's been built. This is simply what we want to achieve. It's not simple, but hopefully that helps give background.
[Tue 11:18:40] <m4nu>	bsletten: What's the triggering event where they start to get some of these credentials?
[Tue 11:18:54] <m4nu>	Victoriano: It can be at several points - you can move from one university to another. 
[Tue 11:19:12] <voip-cr>	Victoriano (SIP/85.62.72.19-00000067) has left the conference.
[Tue 11:19:39] <m4nu>	Victoriano: You can then go back to the starting institution, or finish in a different one - at some point.
[Tue 11:20:13] <voip-cr>	952131415 (SIP/85.62.72.19-00000069) has joined the conference.
[Tue 11:20:17] <m4nu>	bsletten: Does that model of credentials swimming across multiple providers - is that covered in the use cases?
[Tue 11:20:25] <m4nu>	voip: 69 is Victoriano
[Tue 11:20:25] <voip-cr>	Victoriano is now associated with SIP/85.62.72.19-00000069.
[Tue 11:20:57] <m4nu>	Victoriano: I'll help w/ adding use cases along these lines. I'll try to send something in.
[Tue 11:21:43] <dlongley>	m4nu: This is absolutely inline with what we're doing here. Certainly with the technical work we're doing, it's meant to enable what you're talking about. I would argue that we already have what you want in the use cases right now, but please take a look through them and if you see it's not in the use cases we'll add it.
[Tue 11:21:52] <dlongley>	m4nu: I think what you presented is inline with our work here.
[Tue 11:22:42] <m4nu>	eric: I see exactly what you're trying to do here, the issues you're addressing was the birth of the idea of the Credentials CG work. We want to prove beyond a shadow of a doubt to say who issued a credential and who received a credential. We're in lock-step with your thinking. We have a demonstrative system if you'd like to see it.
[Tue 11:23:05] <m4nu>	Victoriano: That's what we thought when we saw the Open Badges work. These are the technical grounds that we need under our policy ideas.
[Tue 11:23:46] <m4nu>	Victoriano: It's great that we've found each other, we're in lock-step. At Groningen Declaration - we're working at policy level, not technical level. I've always said that the technology underneath is something that was done - it's somewhere. It was on the net.
[Tue 11:24:36] <m4nu>	marybold: Question - remind me if in our approach to use cases, we've taken a variety of points of view. Have we used point-of-view as a goal for the use cases. Express via institutional desire.
[Tue 11:25:05] <dlongley>	m4nu: We've taken a very individualistic view, we haven't really talked about institution use cases and that may be a gap that needs to be filled.
[Tue 11:25:20] <m4nu>	marybold: I think the processes are reflected in our use cases - but the point of view may not be.
[Tue 11:25:49] <m4nu>	dlongley: I think in the last iteration, we tried to put in prose examples of what the use case could cover. What we may want to do is offer two different prose examples from two different points of view.
[Tue 11:26:06] <m4nu>	dlongley: We do have roles, it would probably be helpful to ensure that multiple points of views can be covered by the use cases.
[Tue 11:26:49] <dlongley>	m4nu: I think that's a good point, we do have the prose in there for that purpose, but we haven't done it from the POV of educational institutions/gov'ts as the first person, etc.
[Tue 11:26:54] <dlongley>	m4nu: And we should do that.
[Tue 11:27:51] <dlongley>	m4nu: One last comment, Victoriano -- this technology is out there in beta and we need to finalize it. We need to figure out best practices and take it through the W3C process to standardize. But what you just said, I didn't hear anything this group, from a consensus basis, would disagree with. We all want to see happen what you've outlined.
[Tue 11:27:57] <m4nu>	Victoriano: Yes, it's clear that you have what's needed. Very happy to connect our efforts.
[Tue 11:28:16] <m4nu>	Victoriano: Great that we can have a technology track in our next years meeting. It'll be great to have some showcasing/demos.
[Tue 11:28:52] <m4nu>	Victoriano: We agree that the individualistic view should be the main one. Institution to institution flows should happen, but having individual in control of their own data is a very important thing.
[Tue 11:29:01] <m4nu>	Topic: Digital Signatures for Credentials
[Tue 11:29:23] <m4nu>	http://lists.w3.org/Archives/Public/public-credentials/2014Nov/0007.html
[Tue 11:29:46] <m4nu>	dlongley: This is mostly about us pinning down the common areas about what BA is trying to do and what we're doing w/ Credentials work.
[Tue 11:29:58] <m4nu>	dlongley: Is BA interested in using JSON-LD stack vs. JOSE stack.
[Tue 11:30:24] <m4nu>	dlongley: It seems like there wouldn't be too much push-back to move from BA's perspective... so, let's get started w/ the discussion.
[Tue 11:30:28] <m4nu>	scribe: dlongley
[Tue 11:31:41] <m4nu>	Sunny_: Some discussion  between Nate and Chris McAvoy - we are trying to align w/ JSON-LD. We do want to do due diligence, we have a signed credential feature for Open Badges, find out how many people are using it. Pick their brains about how the process has been for them, get some input from them. Generally favorable, but we're going to do more due diligence.
[Tue 11:32:43] <m4nu>	http://lists.w3.org/Archives/Public/public-credentials/2014Nov/0007.html
[Tue 11:32:47] <dlongley>	m4nu: We want to take our time here and discuss this. It's important we don't get it wrong. It's the basis for trust in the system so the basis for this discussion is to understand that it's going to take a few weeks to get through this and go through pros and cons, etc., to make sure we get it right.
[Tue 11:33:13] <m4nu>	Secure Messaging vs. Javascript Object Signing and Encryption - http://manu.sporny.org/2013/sm-vs-jose/
[Tue 11:33:40] <dlongley>	m4nu: I tried to summarize where we are in the email. There's a very in-depth blog post that was done in 2013 about Secure Messaging vs. the JOSE stack and Digital Bazaar's concerns with it. Keep in mind JOSE is deployed, bits are finalized other bits are still being worked on. Large companies are using it for org-to-org communication.
[Tue 11:34:14] <dlongley>	m4nu: The main problem we had was that it was a fairly bad fit with JSON-LD. It's fairly difficult to work with from a dev perspective; once you do a digital signature your data becomes unreadable and opaque.
[Tue 11:35:04] <dlongley>	m4nu: That is one of the things that caused us to think about it more deeply; in general, the JOSE stack is nice in that it allows you to do encryption and digital signatures on data, but the data that ends up being signed becomes unreadable blob of information. When you're seeing credentials moving back and forth you want to be able to see that data easily.
[Tue 11:35:42] <dlongley>	m4nu: We think the JSON-LD/Secure Messaging stack is easier because it's got a clear text signature, meaning the data is untouched and you can read it. The JOSE stack encapsulates everything in a binary blob and you get the signature on that. You need special tools to even look at the data.
[Tue 11:35:57] <voip-cr>	Victoriano (SIP/85.62.72.19-00000069) has left the conference.
[Tue 11:36:28] <voip-cr>	952131415 (SIP/85.62.72.19-0000006a) has joined the conference.
[Tue 11:36:59] <dlongley>	m4nu: The other bit with JSON-LD is that there's an extensibility mechanism that's built in from day one. JSON-LD was designed so that you'd have a data format that was very extensible. You don't have to coordinate with some organization to extend the data. If you want to put "homepage" into your badge, you don't have to go lobby an organization to put that data in there, you just create a vocab that is designed for your market vertical (eg: medical creates a medical vocab, life sciences does the same, etc.). You can just extend the base format on your own in a way that is standardized.
[Tue 11:37:14] <dlongley>	m4nu: Meaning that the mechanism to extend is a standardized, it's one of the things JSON-LD is about.
[Tue 11:38:06] <dlongley>	m4nu: The JOSE stack doesn't necessarily have that. Now you could put a JSON-LD object into JOSE and convert it to a binary blob and sign that, but then developers can't look at it -- and if you ever wanted to recreate the signature and check to see if it checks out, you have to have the original blob.
[Tue 11:38:31] <dlongley>	m4nu: With JSON-LD it's based on a data model called RDF that multiple different syntaxes can all map to.
[Tue 11:39:11] <dlongley>	m4nu: That data model has been in use for more than a decade, it's basically the data model "for the Web". Scientists, technologists, etc. got together and said this was the way to model the data on the Web. That open data model is really important for the extensibility of it.
[Tue 11:39:56] <dlongley>	m4nu: JOSE has taken an IETF approach. This says there is one controller of the vocab and that's IETF. If you want to get anything new into the protocol you have to go through the IETF. The nice thing is that there's no barrier to doing this other than having to know how to go through the whole process, but the problem is that you have to standardize this stuff yourself to use it.
[Tue 11:40:28] <dlongley>	m4nu: With JSON-LD you don't have to do that. If you want to go through a smaller standards body you can do that, if you are just 5-6 companies working together to create a common vocab, that's fine. It all works.
[Tue 11:40:56] <dlongley>	m4nu: The JSON-LD perspective is more extensible, supports more syntaxes, represents something W3C has worked on for a decade, etc. All these things combined has helped make JSON-LD do well.
[Tue 11:41:20] <dlongley>	m4nu: Hopefully that wasn't too much of a fire hose of information. Does the data extensibility and the data model aspect make sense to people?
[Tue 11:43:23] <dlongley>	eric: I've already expressed it in writing in response to your email, but I think this is the key in developing a system for designing credentials that are best for their needs and doesn't require consensus every time you want to describe a credential. Every use case may have a different method for describing information. For example if you had credential with "givenName" vs. "familyName" that means the same thing but in different countries that's how it's described and LD allows use to do that with @context. Another example would be "institutions" would be listed in a credential but what does that mean? Is that the URL for the institution, a college within a university? Etc. LD gives us the extensibility and semantics. So that's vital and if we want to be able to implement that with digital signatures we need the tech for that.
[Tue 11:44:10] <dlongley>	bsletten: I'm strongly in favor of the JSON-LD approach as well, but playing devil's advocate, are there are essential security issues in allowing anyone to describe whatever they want does that mean it's easy to get things wrong? What are the implications of letting people make arbitrary choices here?
[Tue 11:44:54] <dlongley>	m4nu: There are dangers at the protocol level and the semantic level. At the protocol level the only real danger we've found is that ... if people start publishing their JSON-LD @contexts not via HTTPS but via HTTP, that's an attack vector. But that's fairly easy to detect -- if a @context is loaded via HTTP we reject it.
[Tue 11:45:57] <dlongley>	m4nu: MITM attack problem there. The best example we found of this is in the financial industry. If you model a transaction from one person to another and you say "source" means the source account and "destination" means where the money is going in the @context, then if that @context is served over HTTP it could get intercepted and flip the meaning of "source" and "destination"
[Tue 11:46:04] <dlongley>	m4nu: Does that make sense?
