[Tue 11:05:06] <m4nu>	scribe: NateOtto
[Tue 11:05:13] <m4nu>	Agenda: http://lists.w3.org/Archives/Public/public-credentials/2014Nov/0052.html
[Tue 11:05:58] <NateOtto>	Manu: Today on the agenda, we are continuing the digital signatures discussion, and coordination on how we may contribute documents to the w3c for consideration. Any other updates to Agenda?
[Tue 11:06:04] <NateOtto>	No other updates to the agenda
[Tue 11:06:20] <m4nu>	Topic: Digital Signatures - Pushback from Social Web / Harry Halpin
[Tue 11:06:39] <NateOtto>	Manu: Hopefully everybody has been able to see the email thread that broke out about the digital signatures discussion.
[Tue 11:07:18] <NateOtto>	Manu: Someone who is in both the Credentials community group and the Social Media working group cross-posted
[Tue 11:07:39] <NateOtto>	Manu: I'm not going to contribute at this moment to the discussion, but we can go around and everyone can give their opinion.
[Tue 11:07:44] <NateOtto>	Manu: Anybody want to start?
[Tue 11:08:09] <NateOtto>	Brian: I'll go first. I'm newer to the W3c. I guess I have more questions than comments. Hopefully we can use those as a jumping-out point.
[Tue 11:08:16] <NateOtto>	Brian: I'd like to know more about the history.
[Tue 11:08:30] <NateOtto>	Brian: Henry mentioned previous conversations.
[Tue 11:09:09] <NateOtto>	Brian: Maybe we could discuss this history, and what it would mean if the Credentials CG said "we want linked signatures", what that would mean for adoption, and the likelihood of these ideas moving forward as they are.
[Tue 11:09:33] <NateOtto>	Dave: I have a quick comment on the history, the security review that Harry mentioned
[Tue 11:09:56] <NateOtto>	dlongley: The security review Harry mentioned was a very high level overview
[Tue 11:10:25] <NateOtto>	dlongley: the main goals were to provide a linked data format and a single way of encrypting and a single way of signing messages going across
[Tue 11:11:01] <NateOtto>	dlongley: There was a perception that the SM was a complete and full spec rather than an early stage spec, so there were comments about the algorithm that they picked
[Tue 11:11:22] *	erok (ad0341da@gateway/web/freenode/ip.173.3.65.218) has joined #credentials
[Tue 11:11:25] <NateOtto>	dlongley: We had picked a commonly used signing algorithm, which was criticised
[Tue 11:11:49] <NateOtto>	...the algorithm that these reviewers suggested was very new.
[Tue 11:12:36] <NateOtto>	Dlongley: they picked up on a typo in Manu's post, "cyclic" block chaining instead of "cypher" block chain, and people criticized "beginner crypto errors"
[Tue 11:12:36] *	dmccrory (cffab582@gateway/web/freenode/ip.207.250.181.130) has joined #credentials
[Tue 11:12:59] <NateOtto>	Dlongley: the discussion should have been about how to contain the data, not the algorithm that they chose
[Tue 11:13:38] <NateOtto>	dlongley: This is different from JOSE, which says here are all the algorithms, they all go through this central point; to consider more, you have to go to the IETF and get approval
[Tue 11:13:56] <NateOtto>	dlongley: choosing an algoritm is sort of orthogonal to the questions that we were asking
[Tue 11:14:30] <NateOtto>	dlongley: It seems like this was a way to snipe the spec down and dismiss it (and say "come back when you're more serious") is how I viewed it anyway
[Tue 11:14:37] <m4nu>	voip: 10105 is Dale
[Tue 11:14:37] <voip-cr>	Dale is now associated with IAX2/diamondcard-10105.
[Tue 11:15:00] <NateOtto>	Dale: from "CourseLoad", on the educational technology side of things
[Tue 11:15:16] <NateOtto>	Manu: we have never submitted the SM spec to the IETF for security review
[Tue 11:15:54] <NateOtto>	Manu: We wrote up the problems with JOSE and suggested some points as far as the direction that they should go
[Tue 11:16:08] <NateOtto>	Manu: But SM has never been submitted for a security review. That is false.
[Tue 11:17:17] <voip-cr>	Nate (IAX2/diamondcard-615) has left the conference.
[Tue 11:17:27] <cmcavoy>	would like to comment as well
[Tue 11:17:28] <NateOtto>	Eric: We see JSON-LD as a key technology for describing credentials.
[Tue 11:17:48] <m4nu>	scribe: m4nu
[Tue 11:18:16] <m4nu>	dlongley: I'd like to agree with Eric as well - JOSE sets out to create a container format for a blob of information that's signed. It makes the data opaque. You can't work w/ the data in its signed form. That's a problem that has a number of knock-on effects.
[Tue 11:19:02] <m4nu>	dlongley: Here are some problems that arise from that - one of them is that, since you don't store the signed data itself in JSON, you can't transmit it in a native JSON format. You can transmit it as base64 encoded data, but you can't turn it back into JSON and transmit it that way. Native JSON parsers/serializers will screw up the signature.
[Tue 11:19:33] <m4nu>	dlongley: That also means you can't use certain document stores like MongoDB on the signed data itself... you lose the cryptographic properties, you have to save it as base64, native parsers will destroy data.
[Tue 11:19:40] <cmcavoy>	+1 to above
[Tue 11:20:19] <NateOtto>	scribe: NateOtto
[Tue 11:20:19] <NateOtto>	dlongley: your data doesn't function as JSON after it was signed in JOSE (scribe assumes)
[Tue 11:20:41] <NateOtto>	dlongley: It's harder to get at the data in a JOSE signed document vs in the SM data format
[Tue 11:21:07] <NateOtto>	dlongley: one of the reasons JOSE exists was to replace ASN.1, but it reminds me of ASN.1
[Tue 11:21:47] <NateOtto>	dlongley: It gets way down into the technical weeds, but there are a lot of rules to follow for how all the data structures are treated. ASN.1 is also hard to extend, because extensions each require a new domain-specific parser
[Tue 11:22:01] *	NateOtto has quit (Ping timeout: 246 seconds)
[Tue 11:22:27] <NateOtto>	dlongley: For example, a PCKS (sp) spec requires tweaking of the data structures from the ones that were signed for transport. Don't spend a lot of time thinking about that, because you shouldn't have to.
[Tue 11:22:59] <NateOtto>	dlongley: In the ASN.1 space, rules are difficult to implement. The JOSE stack removes that by removing a canonicalization alg, but that introduces other problems.
[Tue 11:23:43] <NateOtto>	dlongley: The way data is serialized is one-off effort, you don't have to keep implementing the serialization
[Tue 11:24:12] <NateOtto>	dlongley: the specific syntax by how you transport the message is irrelevant. That's why you want a canonicalization algorithm.
[Tue 11:24:32] <NateOtto>	dlongley: The text format for serializing data to be signed is N-Quads, is a very simple algorithm and format to understand.
[Tue 11:24:49] <NateOtto>	dlongley: It uses the RDF data model. You implement it, and it's done.
[Tue 11:25:16] <NateOtto>	dlongley: It gets nowhere close to the rules of ASN.1, but it doesn't eliminate the serilization alg like JOSE
[Tue 11:25:31] <NateOtto>	dlongley: You get to see the data in the format that you want it in (Linked Data as first class citizen)
[Tue 11:25:47] <NateOtto>	dlongley: You don't need to pile linked data into these base64 blobs which need to be double encoded.
[Tue 11:26:04] <NateOtto>	Manu: Any other thoughts?
[Tue 11:27:01] <m4nu>	NateOtto: I've been trying to look at Open Badges issued by many issuers over time. One of the problems that has caused me the most headaches in this process, when I'm expecting to read JSON data - I come across a big blob. Hardly anyone uses digital signatures, but a couple of different fields change from strings into JSON objects at one point in the spec.
[Tue 11:27:26] <m4nu>	NateOtto: When I was expecting something to be an object, and I get a string. When you expect Linked Data and come across a base-64 encoded blob.
[Tue 11:27:45] <NateOtto>	dlongley: Harry made the point that there are many b64 encoders.
[Tue 11:28:14] <NateOtto>	dlongley: You can add more things into your toolchain, or you can do it this way, and it's easier
[Tue 11:28:34] <NateOtto>	cmcavoy: We ran into a lot of problem with badges encountering signatures as wrappers
[Tue 11:29:03] <NateOtto>	cmcavoy: We made up our own solution of including the signatures in the body to draft. But now, with JSON-LD, this is solved.
[Tue 11:29:40] <NateOtto>	cmcavoy: We saw that as a huge bonus for the community, and it would make them a lot easier to implement it. It's an important discussion, the reason that we're here is that we want to be able to sign badges in a way that is easier to make portable
[Tue 11:29:54] <m4nu>	voip: connections?
