[Tue 11:05:07] <manu>	Agenda: http://lists.w3.org/Archives/Public/public-credentials/2014Dec/0029.html
[Tue 11:06:00] <manu>	scribe: manu
[Tue 11:06:00] <manu>	manu: Any changes or updates to the agenda?
[Tue 11:06:00] <elf-pavlik>	agenda sounds good to me!
[Tue 11:06:03] <manu>	voip: 6032 is Eric
[Tue 11:06:04] <voip-cr>	Eric is now associated with IAX2/diamondcard-6032.
[Tue 11:06:10] <manu>	Topic: Introduction to elf Pavlik
[Tue 11:06:36] <voip-cr>	11 (SIP/85.62.72.19-000000bd) has joined the conference.
[Tue 11:08:06] <manu>	elf-pavlik: Glad to be here, I've been involved in W3C Working Groups and a variety of open source/culture communities for a long time now. Most of my introduction to the group can be found here: http://lists.w3.org/Archives/Public/public-credentials/2014Dec/0034.html
[Tue 11:08:50] <eric>	Documentary about elf Pavlik: http://vimeo.com/61478618
[Tue 11:08:11] <manu>	Topic: Signatures Update
[Tue 11:09:13] <manu>	brian: I'm happy to help out on this work stream.
[Tue 11:09:35] <manu>	dlongley: Basically, we're about getting the RDF dataset algorithm up to date... we have implementations in JavaScript, PHP, Python, and Java.
[Tue 11:10:01] <manu>	dlongley: Those implementations are in sync w/ one another - so the spec needs to be brought up to date.
[Tue 11:10:08] <manu>	dlongley: We just put out the JSON-LD signatures library.
[Tue 11:10:41] <manu>	manu: Here's the library release for JSON-LD signatures: https://github.com/digitalbazaar/jsonld-signatures
[Tue 11:10:41] *	bshambaugh (~brent@adsl-172-0-214-172.dsl.okcyok.sbcglobal.net) has joined #credentials
[Tue 11:11:58] <dlongley>       Present+ Victoriano
[Tue 11:11:58] <dlongley>	scribe: dlongley
[Tue 11:11:58] <dlongley>	manu: At some point we're going to need many more organizations to start using the digital signature mechanism for JSON-LD than just the people in this group. We need to make sure we provide the tooling to make integration easy. The good news is that we've had these libraries for multiple years now, we've done bug fixing and patching here and there, but they are generally stable. W3C depends on outside groups to do implementations, good news is we have 4 implementations (in different languages). We're ahead of the game in that respect.
[Tue 11:12:01] <elf-pavlik>	manu: we are in experimental stage way before we need it
[Tue 11:12:04] <dlongley>	manu: We can move along at a fairly rapid clip.
[Tue 11:12:42] *	elf-pavlik <3 javascript :)
[Tue 11:12:49] <dlongley>	manu: What we are trying to do with the JSON-LD signatures library is to put something out there to point to, so we can point to working code where that happens. We target node.js and the browser with that library, kill two birds with one stone. We want to integrate this with the JSON-LD playground so people can play with it.
[Tue 11:13:23] <dlongley>	manu: There's been some back and forth with Melvin over adding some new features, etc. So, just a heads up to the group we've got this library out there under a BSD license, use for commercial or non-commercial purposes freely.
[Tue 11:13:51] <dlongley>	bsletten: I'm assuming there is interest in implementing in other languages like Java, etc.
[Tue 11:14:36] <manu>	dlongley: We do have a C++ version out there on Github
[Tue 11:14:45] <manu>	manu: Would it be difficult to bring that up to date?
[Tue 11:15:04] <dlongley>	manu: Yes, the biggest part is getting the normalization algorithm done, once Dave gets the spec updated we can ask for more implementations.
[Tue 11:15:21] <manu>	dlongley: Getting normalization working is not too difficult by looking at other code... we need to get new JSON library.
[Tue 11:15:27] <manu>	bsletten: Is there a priority/roadmap?
[Tue 11:17:26] <dlongley>	manu: Yes, basically this is what we want to do: Create Roadmap and technical specs. Roadmap should outline how we go from where we are today to full blown credentials ecosystem that we want. Basically, we create roadmap, convince Web Payments IG (or W3C membership) that roadmap on credentials is worth doing. Roadmap outlines the ecosystem - schools, universities, trade schools, recruiters, corporations/universities/non-profits that hire people, expiration of credentials, etc. We move the specs we create into W3C WGs, put them through the W3C process. Then in parallel focus on implementations/helper libraries that make the ecosystem easier to implement for everyone in the ecosystem.
[Tue 11:17:35] <manu>	Topic: Context Work Stream Update
[Tue 11:17:42] <manu>	voip: connections?
[Tue 11:18:33] *	bshambaugh has quit (Ping timeout: 258 seconds)
[Tue 11:19:04] <dlongley>	manu: Since Nate and Sunny aren't here, we can't make much progress on it. Hopefully they can give us an update via mailing list.
[Tue 11:19:11] <manu>	Topic: Roadmap Work Stream update
[Tue 11:19:40] <dlongley>	mark: One area I'm interested in getting feedback fromt he group about - emphasis of the roadmap. One part of the process is getting through w/ technical specifications to hopeful ramping of the standards status.
