[Tue 11:03:48] <manu>	Present: Eric, Manu, Sunny, Longley, Evgeny, Mary, Mark, Kerri, Victoriano, Nate
[Tue 11:04:23] <manu>	Agenda: https://lists.w3.org/Archives/Public/public-credentials/2015Jan/0042.html
[Tue 11:04:33] <manu>	scribe: marybold
[Tue 11:04:37] <voip-cr>	11 (SIP/85.62.72.19-0000009a) has joined the conference.
[Tue 11:05:04] <marybold>	Manu: see agenda link. Today, we will discuss same as past several weeks. Update on Signature, JSON-LD, Roadmap. Anything else?
[Tue 11:05:47] <marybold>	Manu: If no updates to Agenda, let's get into it. Update on signatures.
[Tue 11:05:40] <manu>	Topic: Signatures Update
[Tue 11:05:46] <manu>	http://json-ld.org/spec/latest/rdf-dataset-normalization/
[Tue 11:05:51] <dlongley>	http://json-ld.org/spec/latest/rdf-dataset-normalization/index.html
[Tue 11:06:19] <dlongley>	http://json-ld.org/spec/latest/rdf-dataset-normalization/index.html#hash-paths
[Tue 11:06:31] <dlongley>	"Usually, when trying to determine if two nodes in a graph are equivalent..."
[Tue 11:06:35] <marybold>	Dave: Spec coming along, little bit of a time. See link. I updated a little text in hash section-- overview or introductory text: see link "#hash-paths"
[Tue 11:07:17] <marybold>	Dave: This is a little more colloquial about how the algorithm works. If you have base understanding, you will see how "nodes are equivalent"
[Tue 11:07:23] <marybold>	Dave: Questions or comments?
[Tue 11:08:17] <marybold>	Manu: Do we need some graphics to explain how this works? That's a pain and the graphics can come at the end. Normalization is hard enough to understand and it's great to have this colloquialism. A graphic or visual can help others undersrand.
[Tue 11:08:26] <NateOtto>	Is detecting node equivalence for comparing two documents or to see if sub-properties, say from two different source nodes, should be nested within the same output nodes
[Tue 11:08:46] <marybold>	Dave: If anyone would created an animated GIF, that would be great... process of bucket to paper.
[Tue 11:09:01] <marybold>	Manu: Able to tap into a library?
[Tue 11:09:35] <marybold>	Dave: Probably not. Difficult to do. The algorithm has an analogy--hook it up to the algorithm itself, not sure if it would work.
[Tue 11:09:44] <voip-cr>	Dave Lehn (SIP/6003-0000009b) has joined the conference.
[Tue 11:09:54] <manu>	Present+ Lehn
[Tue 11:09:57] <NateOtto>	Manu: would it be possible to use (Javascript data visualization library) D3 to visualize how the data is actually sorted in the node.js library that has implemented this normalization spec.
[Tue 11:10:11] <NateOtto>	(that's a paraphrase, not a question I'm asking of Manu)
[Tue 11:10:21] <marybold>	Dave: You might end up writing a lot of code. Sounds complex, might be possible to do. Only purpose would be this exercise.
[Tue 11:10:36] <marybold>	Manu: Looking for ways to explain this--I think the language is fine. Just a thought.
[Tue 11:10:53] <marybold>	Manu: Other comments? New stuff this week is the hash-paths?
[Tue 11:11:05] <marybold>	Dave: also updated several sections.
[Tue 11:11:15] <manu>	http://json-ld.org/spec/latest/rdf-dataset-normalization/index.html#blank-node-labeler-state
[Tue 11:11:27] <manu>	http://json-ld.org/spec/latest/rdf-dataset-normalization/index.html#node-relabeling-algorithm
[Tue 11:11:35] <manu>	http://json-ld.org/spec/latest/rdf-dataset-normalization/index.html#hash-paths
[Tue 11:11:46] <marybold>	Manu: see links for updated sections. Other questions?
[Tue 11:12:07] <manu>	Topic: Badges/Credentials Vocabulary and Context
[Tue 11:12:34] <manu>	Feedback from BA is here: http://etherpad.badgealliance.org/obi-vocab-review-credcg
[Tue 11:12:36] <marybold>	Manu: Jump into badges and credentials vocabulary. Nate and Sunny took a review to BA, which provided feedback here (see link).
[Tue 11:12:53] <marybold>	Manu: I went back to it and provided more feedback. Nate or Sunny?
[Tue 11:13:22] <marybold>	Nate: Is this format suitable for long-term archiving?
[Tue 11:14:39] <marybold>	Manu: Typically, work is captured in mailing lists bc W3C assures long-lived libraries and archives. Ideal case is that discussions happen in the mailing list. Date, time, URLs captured. Etherpads handy for meetings, then move to mailing list.
[Tue 11:15:27] <marybold>	Nate: Good discussion was generated. Point of this review you want to discuss, Manu?
[Tue 11:16:11] <voip-cr>	11 (SIP/85.62.72.19-0000009a) has left the conference.
[Tue 11:16:14] <marybold>	Manu: Main realization is that it's going to be very difficult for us to create one document out of this discussion. Different goals by different groups--e.g., BA for backward compatibility.
[Tue 11:16:49] <voip-cr>	11 (SIP/85.62.72.19-0000009c) has joined the conference.
[Tue 11:16:57] <marybold>	Manu: Credentials CG doesn't have the same implementation pressure (yet). We're in a position that we cannot ask the BA to change a lot of the vocab they have.
[Tue 11:17:59] <marybold>	Manu: The path forward: one vocab with a date for future; two vocabs; 2 diff JSON-LD contexts. If 2 versions, we don't have to discuss breaking vocab changes.
[Tue 11:19:20] <marybold>	Manu: For the future, we can discuss in a different conversation--separate vocabulary. "Old" and "New" JSON-LD contexts. Hard to carefully thread a need like ISO time stamps. Clients would have increased complexity.
[Tue 11:20:09] <marybold>	Nate: I agree--I am trying to write software to account for any badge written any time. When we make a breaking change--make it rare and carefully considered.
[Tue 11:21:05] <marybold>	Nate: Making a dedicated vocab for things that will be deprecated: we don't know exactly what will be deprecated. Make sure that OpenBadges model (powerful and expressive) can be used.
[Tue 11:22:06] <marybold>	Nate: Organization A badge - powerful trust statements - who is trusted by whom. Breaking change needs to be only once?
[Tue 11:22:19] <marybold>	Manu: +1, totally agree.
[Tue 11:22:31] <NateOtto>	Mary, sorry for the disjointed long ramble! Hard to transcribe I'm sure
[Tue 11:23:07] <NateOtto>	@vocab is a sledgehammer, we want a scalpel
[Tue 11:23:17] <marybold>	Manu: Since we're using JSON-LD, the OBI stuff could just go off in its own direction. You can just assign a vocab to a sub-tree and if it comes valid... Even in the worse case, no coordination between the 2 groups, you can still take...
[Tue 11:24:17] <voip-cr>	11 (SIP/85.62.72.19-0000009f) has joined the conference.
[Tue 11:24:18] <voip-cr>	Dave Longley (SIP/6002-000000a0) has joined the conference.
[Tue 11:34:16] <NateOtto>	scribe: NateOtto
[Tue 11:35:03] <NateOtto>	Manu: Going back... We were discussing how the OBI stuff could basically go off on its own and could still be integrated into the identity credentials spec, because it's going to still use JSON-LD going forward. The only base requirement is that it uses JSON
[Tue 11:35:34] <manu>	NateOtto: We're going to be looking at "how to package deep nesting of badge class / inside delivered representation inside credential".
[Tue 11:36:00] <manu>	NateOtto: We will be fixing that quirk over time - breaking change of some sort. There will still be a good compatability path in the future.
[Tue 11:36:04] <dlongley>	voip-cr: 0004 is manu
[Tue 11:36:04] <voip-cr>	manu is now associated with SIP/6000-00000004.
[Tue 11:36:11] <dlongley>	voip-cr: 8104 is me
[Tue 11:36:12] <voip-cr>	dlongley is now associated with IAX2/diamondcard-8104.
[Tue 11:36:15] <dlongley>	voip-cr: mute dlongley
[Tue 11:36:37] <NateOtto>	Eric: In the TrueCred platform, we have a export path implementation set up. Would be happy to work with you on that
[Tue 11:36:42] <manu>	Eric: In TrueCred, we can export OBI and import OBI - we have a vocabulary to do that. I can provide samples.
[Tue 11:37:29] <NateOtto>	Nate: Looking forward to having you in those conversations
[Tue 11:37:44] <NateOtto>	Sunny: Where do we go from here after netting out feedback?
[Tue 11:37:57] <NateOtto>	Manu: Where we go is up to the group
