[Tue 11:04:28] <manu>	Agenda: https://lists.w3.org/Archives/Public/public-credentials/2015Mar/0003.html
[Tue 11:04:39] <NateOtto>	scribe: NateOtto
[Tue 11:04:39] <NateOtto>	manu: Today, profile use cases with elf
[Tue 11:05:08] <NateOtto>	manu: Then a quick talk about the CCG charger, use cases after that, and LD signatures spec, credentials/badges vocabulary
[Tue 11:05:39] <NateOtto>	manu: any updates/changes to agenda?
[Tue 11:05:57] <NateOtto>	manu: Then, we'll start off with elf's item
[Tue 11:17:55] <NateOtto>	Manu: We'll skip the roadmap update until Mark or Mary are back
[Tue 11:18:14] <manu>	Topic: Credentials Working Group Charter
[Tue 11:18:14] *	dlongley elf-pavlik, keep trying, we may just have to move your agenda item to next week
[Tue 11:18:15] <NateOtto>	Sorry, elf, We'll move your agenda item to the next week or later in the call if you get audio
[Tue 11:18:24] *	elf-pavlik ok
[Tue 11:18:25] <NateOtto>	manu: next item: credentials working group charter
[Tue 11:18:39] <NateOtto>	manu: There haven't been many updates to the charter, because it's simpler yet.
[Tue 11:18:50] <NateOtto>	manu: to do: we need to move the timeline section into this document.
[Tue 11:18:51] <elf-pavlik>	erok210, maybe you can turn of video on join.me ?
[Tue 11:19:38] <NateOtto>	manu: I've been circulating the charter among w3c staff, and getting feedback
[Tue 11:20:12] <NateOtto>	manu: Told them we might want to skip the IG process and move right into a working group. Some staff don't see a problem; some staff don't see a problem, as long as there is not technical misalignment in the group
[Tue 11:20:46] *	elf-pavlik ok got audio :)
[Tue 11:20:49] <NateOtto>	manu: However, if some of these new organizations coming on, that are not yet taking part in these calls, if they don't understand the technology we are proposing, it will be nearly impossible to jump directly into a working group.
[Tue 11:21:50] <NateOtto>	manu: so there are two options:1) do a bunch of front-running with these new-joining companies and build understanding and technical alignment or 2) do a short Interest Group phase where we hash through issues
[Tue 11:22:17] <NateOtto>	manu: If we start the Interest Group process, we're looking at a year. We shoot for 6 months, but it's usually a year.
[Tue 11:22:37] <NateOtto>	manu: If we go IG route, the discussions there are discussions that we will need to be having anyway
[Tue 11:23:06] <NateOtto>	manu: If we go directly into a WG and there's any doubt of technical alignment, it could derail the work
[Tue 11:23:53] <NateOtto>	manu: If we had disagreement in a WG structure, it would derail discussion, and end up having Interest Group like discussions
[Tue 11:24:10] <NateOtto>	manu: as we talk to the big organizations who aren't on today's call, there will be a lot of getting-up-to-speed to do
[Tue 11:24:55] <NateOtto>	manu: My gut feeling is that we won't be able to jump right into a WG. Talking with the large organizations in question, they are at a very high level, they don't have the engineers picked out yet
[Tue 11:25:05] <NateOtto>	bsletten: Do we have consensus on the milestone items from the roadmap?
[Tue 11:25:21] <NateOtto>	manu: we didn't talk a lot on it
[Tue 11:25:33] <NateOtto>	manu: We will have to change the dates on the roadmap to Start + X Months format
[Tue 11:25:36] <manu>	https://docs.google.com/document/d/1Tm5E9GBlWZsftEPiTu0ZZsGqwqYwtOOWwsYIU-cbQwQ/edit#heading=h.trx7rzba1zyf
[Tue 11:26:02] <NateOtto>	manu: any objectsion to moving this timeline (with modifications to Start of group + N Months format) into the charter?
[Tue 11:26:16] <dlongley>	no objection, +1 to using relative to "start time" approach
