[Tue 11:06:59] <manu>	scribe: Mark
[Tue 11:07:04] <voip-cr>	14057083343 [SIP/69.71.222.196-0000000d] has joined the conference.
[Tue 11:07:06] <manu>	Agenda: https://lists.w3.org/Archives/Public/public-credentials/2015Apr/0004.html
[Tue 11:07:33] *	KerriLemoie (46bcb31d@gateway/web/freenode/ip.70.188.179.29) has joined #credentials
[Tue 11:07:34] *	elf-pavlik didn't find time to fix this SIP issue yesterday, today IRC only!
[Tue 11:07:48] <Mark>	Recap of executive summary, bulk of call will be discussing Use Cases proposal and Vocabulary discussion from yesterday.  Anything else for agenda?
[Tue 11:08:01] <Mark>	No additional items.
[Tue 11:07:49] *	manu hi bshambaugh 
[Tue 11:07:58] <manu>	Topic: Executive Summary
[Tue 11:08:03] <manu>	https://docs.google.com/document/d/1Nq543-Am1hQUIZ2hhzAFl8KexvIEBwDDc_f3Ikz1opQ/edit
[Tue 11:09:16] <Mark>	Manu: Exec summary document - not much changed since last invitation from Manu.  Added a statement on Accessibility, and is required by W3C.    We will start circulating very soon.
[Tue 11:09:54] <Mark>	Manu: Any concerns about the Executive Summary or the proposal to circulate it among W3C memberships.
[Tue 11:10:35] <elf-pavlik>	when we will have  [LINK TO SUPPORT FORM] available?
[Tue 11:10:40] <Mark>	Brent: What about Accessibility?  
[Tue 11:10:40] <Mark>	Manu: the statement says the standard must take Accessibility into account, not to prevent the use of the technology by people with disabilities.
[Tue 11:11:51] <Mark>	Brent: Is that related to Linked Data?  
[Tue 11:11:51] <Mark>	Manu: for LD, it would indicate that brail support must be available.    This comes out in the Use Cases, for example to demonstrate how a person that cannot see can receive and have access to that credential. For example, we couldn't say use of Biometric Fingerprints is required.  
[Tue 11:11:51] <Mark>	Brent: ok,
[Tue 11:13:53] <Mark>	Dave: I have been adding comments about useabilty to describe suitiability.
[Tue 11:14:24] <voip-cr>	Dave Lehn [SIP/6003-00000012] has joined the conference.
[Tue 11:14:55] <voip-cr>	16617480240 [SIP/69.71.222.196-00000013] has joined the conference.
[Tue 11:15:08] <Mark>	Manu: Wondering if the word suitability is known, Dave: i tried to elaborate;  Brent: Where would gym membership or a marriage license fit?  Dave: Under workplace, or civil society or identity.
[Tue 11:15:27] <Mark>	Manu: we won't cover everything in the summary, just a range of the types of things.
[Tue 11:15:30] <manu>	voip: 13 is Kerri
[Tue 11:15:30] <voip-cr>	Associated Kerri with SIP/69.71.222.196-00000013.
[Tue 11:16:30] <Mark>	Manu: other comments on Exec summary?  Elf: When will we have a support form for people to support the work?
[Tue 11:17:05] <Mark>	Manu: We need to create links to the support form, the charter, and the use cases.  When they are done we will circulate Exec Summary.
[Tue 11:17:47] <Mark>	Manu: the use cases will take a couple more weeks to get done. But we can circulate this with orgs we have a good relationship with to give them a heads up.
[Tue 11:18:18] <Mark>	Manu: Elf, we need to fill out the support links before broad distribution.  Manu: I will take the links.
[Tue 11:18:45] <elf-pavlik>	thanks Manu!
[Tue 11:19:28] <Mark>	Adrian: Would we consider the use cases for ownership as important in this work?  As opposed to asserting a skill or age.  e.g. I own a page, .  Manu: You have raised an important point.  We have not been explicit,
[Tue 11:20:17] <Mark>	Adrian: Generally people express ownership by holding a key but agents may hold the key on their behalf.  Even traditional bank accounts or self trading...Manu: would you add?   Adrian: Yes.
[Tue 11:20:25] <manu>	Topic: Use Cases
[Tue 11:20:44] <Mark>	Manu: next topic - Use cases.  Last document needed to "get into shape".
[Tue 11:20:46] <manu>	Current use cases document is here: https://docs.google.com/document/d/1f2U97L5vrFHOActRFVSRDg3koTeA6_Oy3SCGmkimziM/edit
[Tue 11:21:23] *	NateOtto (~textual@c-71-237-170-49.hsd1.or.comcast.net) has joined #credentials
[Tue 11:21:26] <manu>	Proposed micro-use case based approach: https://docs.google.com/document/d/1GySrTXAYpwa4vDPsGE3BMA42FwIAqAyLGigKuKUTGks/edit
[Tue 11:21:41] <Mark>	Manu: Sunny, Carie and Nate have been working on this, reorganizing.  Thank you.  Last week I proposed a micro-use case approach.  It's the same as being used by Web Payments user group.  It made our progress faster.
[Tue 11:21:44] <elf-pavlik>	In "Credential or just a Statement?" I try to exercise view that we can pretty much make Credential out of any set of LD statements, so as long as one can create linked data for ownership, marriage, you name it it can also become a Credential.  https://lists.w3.org/Archives/Public/public-credentials/2015Mar/0007.html
[Tue 11:22:48] <Mark>	Manu: Here is a link to the example.  Please look at the Table of Contents for the proposed document structure.  Starts with high level introduction, what is a credential, why is it important, how are they used...
[Tue 11:23:21] <victoriano>	I wanted to say, that I have perused the micro-usecases documents and really like the approach
[Tue 11:23:55] <voip-cr>	NateOtto [SIP/192.168.1.106-00000014] has joined the conference.
[Tue 11:24:10] <Mark>	Manu: description of the problem, etc.  Next is a high level introduction to the Live Cycle of a credential, the phased-based approach. What are the phases of what you do.  With credentials it did not work out very well. More straightforward with web payments.
[Tue 11:25:07] <NateOtto>	Sorry all, just joining now. Yeah, I think we noticed with the previous approach that the "phases" overlapped more with credentials than they did with something like commerce.
[Tue 11:25:51] <Mark>	Manu: Instead of phase-base approach, I tried a LIfe Cycle, the issuing/earning aspect of it.  e.g. we have these credentials you can earn, then you can earn and the issuer issues it.  The next stage is when an organizations asks for the credential, the Consumption part.
[Tue 11:26:25] <Mark>	Manu: this is my attempt to demonstrate how we can talk about credentials based on a life cycle, with predefined steps and substeps.
[Tue 11:27:27] <Mark>	Manu: e.g. first step an issuer advertises,  recipient earns, issuer issues, organization consumes... let me stop there.  Is this the right way to look at this?  Any comments?
[Tue 11:27:29] <NateOtto>	How can we convey when steps might be skipped in this format?
[Tue 11:28:30] <Mark>	Dave: Quick comment, looking at the payments document, there is only one thing to model, the payment transaction.  I think we have the same with credentials but we have multiple boxes, each step breaks down into multiple phases.  There are more things to be modeled.
[Tue 11:28:43] <bshambaugh>	q+
[Tue 11:29:10] <Mark>	Dave: If you look at each step as we do with the payment transaction, we have more steps to document.
[Tue 11:30:56] <Mark>	Manu: elf asked a question (above).  Dave: we will cover that.  Victoriano: I like the approach.  Nate: how to convey when steps can be skipped?  Manu:  There is a section "in the real world", in those scenarios we specifically write the step and say "this step is skipped".
[Tue 11:32:41] <Mark>	Brent: From the UC's it looks like you are trying to standardize the protocol.  Manu: in general, W3C focuses on prototcols and data formats.  Lower level protocols, the W3C will move the protocol to the IETF.  Your observation is right.  We are talking about protocol and data formats.
[Tue 11:33:45] <Mark>	Brent: do you have an ontology?  Manu: that is what Nate, Sunny, Kerri are working on.   Yes, we are looking at Open Badges and Credentials ontology.  Brent: the use cases are how you use that in a way.
[Tue 11:34:23] <KerriLemoie>	Breaking it down in this format is nice and clear. Slight concern about calling referencing it as lifecycle. Not sure of a replacement term....
[Tue 11:34:28] <Mark>	Manu: the UC's should be generic, not talk about specific technologies.  More what world we want to see.  The WG's develop the technologies to meet the requirements.
[Tue 11:34:53] <elf-pavlik>	we have vocab topic at the end of today's agenda, I hope dlongley and NateOtto can also summarize our yesterday call
[Tue 11:35:40] *	elf-pavlik re Brent's question about ontology
[Tue 11:35:41] <Mark>	Manu: Any other questions?  Kerri: concerns about the term Life Cycle, Manu: Agree, if we can think of a better term.   Dave: Agree, it indicates credentials may expire.  I think we can use the phase terminology but we need a word for what sits above phases.
[Tue 11:36:16] <Mark>	Dave: We have multiple questions, how to you issue, how do you consume,  we just need a high level term above phases.
[Tue 11:36:24] <NateOtto>	q+
[Tue 11:37:05] <manu>	q+
[Tue 11:37:30] <Mark>	Manu: Agreed.  Any other thoughts?  Nate: In the  Consuming phase I left a comment, not all credential sharing will share in that work.  Maybe we can write a dedicated phase for special cases.  or we can substitute steps as opposed to leaving one out.
[Tue 11:38:33] <Mark>	Manu: the structure still needs work, this is a first pass.  I agree with you Nate.  Especially the consuming case, middle of p3.  Starts with credential consumer request.  Maybe we skip the first step and recipient pushes the credential.
[Tue 11:39:32] <SLee>	sort of feels like we're doing use cases all over again from scratch...
