[Tue 11:03:31] <manu>	scribe: gkellogg
[Tue 11:03:37] <manu>	Agenda: https://lists.w3.org/Archives/Public/public-credentials/2015May/0020.html
[Tue 11:04:04] <voip-cr>	19082484252 [SIP/69.71.222.196-000001c8] has joined the conference.
[Tue 11:04:16] <gkellogg>	manu: webappsec update, graph normalization, Credentials management API extension
[Tue 11:04:43] *	SLee_ (8e884c69@gateway/web/freenode/ip.142.136.76.105) has joined #credentials
[Tue 11:04:45] <gkellogg>	… Also, a small mod to the openbadges context via taaz
[Tue 11:04:47] <manu>	voip: 1c8 is Eric
[Tue 11:04:47] <voip-cr>	Associated Eric with SIP/69.71.222.196-000001c8.
[Tue 11:05:09] *	kerri_lemoie (46bcb31d@gateway/web/freenode/ip.70.188.179.29) has joined #credentials
[Tue 11:05:16] <manu>	voip: 1c8 is Kerri
[Tue 11:05:16] <voip-cr>	Associated Kerri with SIP/69.71.222.196-000001c8.
[Tue 11:05:24] <manu>	voip: 1ca is Sunny
[Tue 11:05:24] <voip-cr>	Associated Sunny with SIP/142.136.76.105-000001ca.
[Tue 11:05:28] <manu>	voip: connections?
[Tue 11:05:29] <voip-cr>	Conference participants are: Brian Sletten [SIP/sip2sip.info-000001c2], Nate Otto [SIP/sip2sip.info-000001c3], Jordan [SIP/69.71.222.196-000001c4], Dave Longley [SIP/6002-000001c5], Manu Sporny [SIP/6000-000001c6], Gregg Kellogg [SIP/sip2sip.info-000001c7], Kerri [SIP/69.71.222.196-000001c8], 16617480240 [SIP/69.71.222.196-000001c9], Sunny [SIP/142.136.76.105-000001ca].
[Tue 11:05:38] <dlongley>	voip-cr: 1c8 is Eric
[Tue 11:05:38] <voip-cr>	Associated Eric with SIP/69.71.222.196-000001c8.
[Tue 11:05:43] <dlongley>	voip-cr: 1c9 is Kerri
[Tue 11:05:44] <voip-cr>	Associated Kerri with SIP/69.71.222.196-000001c9.
[Tue 11:05:53] <manu>	Topic: Introduction to Jordan Windsor
[Tue 11:06:28] <NateOtto>	Welcome, Jordan!
[Tue 11:06:34] <manu>	jordan: My name is Jordan Windsor - listening in, interested in evolving technologies impact our business - interested in Credentials on behalf of Lexus of Richmond.
[Tue 11:06:37] <NateOtto>	 This is an open channel, and we're gald to have you.
[Tue 11:07:03] <manu>	Topic: Open Badges xsd:string issue
[Tue 11:07:03] <manu>	scribe: manu
[Tue 11:07:03] <voip-cr>	16097341186 [SIP/69.71.222.196-000001cb] has joined the conference.
[Tue 11:07:09] <manu>	voip: 1cb is Richard
[Tue 11:07:10] <voip-cr>	Associated Richard with SIP/69.71.222.196-000001cb.
[Tue 11:07:17] <NateOtto>	Demonstration of the xsd:string problem in the open badges context: http://json-ld.org/playground/#/gist/0d1ca2097f94cae690cf
[Tue 11:07:43] <gkellogg>	manu: we detected an issue with the Open Badges context, and the output suprized us.
[Tue 11:08:11] <gkellogg>	Nateotto: I’ve confirmed the behavior, but haven’t pushed out an update yet.
[Tue 11:08:18] <voip-cr>	victoriano [SIP/90.161.204.253-000001cc] has joined the conference.
[Tue 11:08:29] <voip-cr>	victoriano [SIP/90.161.204.253-000001cc] has left the conference.
[Tue 11:08:39] <manu>	dlongley: I can summarize the issue
[Tue 11:08:47] <voip-cr>	victoriano [SIP/90.161.204.253-000001cd] has joined the conference.
[Tue 11:08:56] <manu>	dlongley: When the new open badges context was first put out, I believe you were adding, for certain term definitions - to only apply to strings.
[Tue 11:08:58] <voip-cr>	victoriano [SIP/90.161.204.253-000001cd] has left the conference.
[Tue 11:09:36] <manu>	dlongley: You were setting the type to an xsd:string - unfortunately, the JSON-LD processing rules consider @type to be completely opaque, so what that means is - in plain JSON strings for your values, instead of JSON strings that have xsd:string @type, the processor will see them as two differen things.
[Tue 11:10:09] <voip-cr>	victoriano [SIP/90.161.204.253-000001ce] has joined the conference.
[Tue 11:10:20] <voip-cr>	victoriano [SIP/90.161.204.253-000001ce] has left the conference.
[Tue 11:10:21] <voip-cr>	16617480240 [SIP/69.71.222.196-000001d0] has joined the conference.
[Tue 11:10:39] <voip-cr>	16092160944 [SIP/69.71.222.196-000001d1] has joined the conference.
[Tue 11:10:42] <manu>	dlongley: Processor won't see as JSON string - xsd types are only interpreted by the toRDF and fromRDF algorithms in JSON-LD. In effect, what happens is that if you have a context, and you have "name" and you say it only applies to things w/ "xsd:string" - if you have type xsd:string on it - compact using that context, that term will not be detected. It'll use some other rule in your context.
[Tue 11:10:48] <kerri_lemoie>	voip: 1d0 is Kerri
[Tue 11:10:48] <voip-cr>	Associated Kerri with SIP/69.71.222.196-000001d0.
[Tue 11:10:54] <voip-cr>	victoriano [SIP/90.161.204.253-000001d2] has joined the conference.
[Tue 11:11:05] <voip-cr>	victoriano [SIP/90.161.204.253-000001d2] has left the conference.
[Tue 11:11:30] <manu>	dlongley: JSON strings don't map to that in expansion/compaction rules. Automatic translation doesn't happen - some items don't compact down. So, JSON-LD 1.0 - if you want a term to be selected for values to be selected for JSON strings, you can't restrict it to just strings.
[Tue 11:11:42] <manu>	dlongley: However, that's ok - JSON-LD contexts aren't supposed to be used for validation.
[Tue 11:11:49] <manu>	dlongley: You can use JSON Schema for validation.
[Tue 11:12:06] *	victoriano (~vic@90.161.204.253) has joined #credentials
[Tue 11:12:08] <manu>	NateOtto: We were just putting it in there to provide as much info as we could - here's what you should expect to find. 
[Tue 11:12:23] <manu>	NateOtto: I have a question on other types - is there any useful information I can put in the context for the type of info about their ID?
[Tue 11:13:07] <manu>	dlongley: When you're creating term definitions in the context they're definitions that a processor will use to take a property and replace it w/ a term. JSON-LD processors see properties come in w/ a value, if there is a match in the JSON-LD context, it'll replace it w/ a shorter form of it.
