[Tue 11:04:26] <manu>	Agenda: https://lists.w3.org/Archives/Public/public-credentials/2015Jun/0074.html
[Tue 11:04:33] <NateOtto>	scribenick: NateOtto
[Tue 11:04:33] <NateOtto>	manu: Let's get started
[Tue 11:05:01] <NateOtto>	manu: Today is mostly a sync-up. A lot of things have happened over the last week, and today we can figure out what next steps are based on what's happened over the last week and a half
[Tue 11:05:37] <manu>	Topic: Web Payments IG face-to-face in NYC
[Tue 11:05:49] <NateOtto>	manu: Today: a recap of the Web Payments face to face in New York, and a couple announcements from the Badge Alliance about events happening there over the last couple weeks, and an update on a renewed recruiting focus.
[Tue 11:05:50] <voip-cr>	16092160944 [SIP/69.71.222.196-00000038] has joined the conference.
[Tue 11:06:09] <NateOtto>	manu: We had three discussions about credentials at the face to face. Thanks to Richard and Eric for coming. It really helped to have them in the room.
[Tue 11:06:14] <manu>	voip: 0038 is Laura
[Tue 11:06:14] <voip-cr>	Associated Laura with SIP/69.71.222.196-00000038.
[Tue 11:06:52] <NateOtto>	manu: Unfortunately, I don't think the credentials discussion went very well. Let me start off by saying the plan was to talk about use cases around credentials that were specifically related to payments.
[Tue 11:07:24] <NateOtto>	manu: We started discussing that, but the discussion was quickly derailed by some new payments members who weren't familiar with any of the credentials work
[Tue 11:07:51] <NateOtto>	manu: The initial conversation around credentials were that they should not be put in the critical path for payments
[Tue 11:08:02] <NateOtto>	manu: We had some resistence from Apple and Mozilla in particular
[Tue 11:08:23] <NateOtto>	manu: We almost immediately hit stiff opposition because some of the new members were not familiar with the work.
[Tue 11:08:41] <NateOtto>	manu: What they thought we were proposing was to put credentials in the critical path of the payments work
[Tue 11:08:46] <voip-cr>	Eric [SIP/69.71.222.196-00000036] has left the conference.
[Tue 11:08:59] <NateOtto>	manu: Once we started heading down that path of conversation, it was very difficult to get everybody back on track
[Tue 11:09:17] <NateOtto>	manu: Eric and Richard were able to jump in and say credentials are important for education, for health care.
