[Tue 11:04:20] <gkellogg>	scribe: gkellogg
[Tue 11:04:57] <manu>	Agenda: https://lists.w3.org/Archives/Public/public-credentials/2015Jun/0103.html
[Tue 11:05:16] *	bsletten (4c0e7b79@gateway/web/freenode/ip.76.14.123.121) has joined #credentials
[Tue 11:05:29] <gkellogg>	manu: on agenda, update to WG plan, recruiting, and maybe DIDs discussion.
[Tue 11:05:57] <manu>	voip: 0015 is Eric
[Tue 11:05:57] <voip-cr>	Associated Eric with SIP/69.71.222.196-00000015.
[Tue 11:06:07] <manu>	Topic: Credentials WG Plan
[Tue 11:06:27] <gkellogg>	manu: I had a discussion with W3C Staff last week, and the payments IG had a discussion on Monday.
[Tue 11:06:52] <gkellogg>	… Due to feedback in round-table and W3C got after F2F meeting ,,,
[Tue 11:07:05] <gkellogg>	… A number of people came back saying they didn’t intend for it to be struck.
[Tue 11:07:16] <gkellogg>	… We have a go-ahead for pitching a WG to W3C.
[Tue 11:07:49] *	SLee (8e884c69@gateway/web/freenode/ip.142.136.76.105) has joined #credentials
[Tue 11:07:53] <gkellogg>	… W3CM would like to see a list of organizations that are committed to joining the work if it gets started at W3C. We have a list started, but we need more organizations interested.
[Tue 11:07:57] <manu>	voip: 1f is SunnyLee
[Tue 11:07:57] <voip-cr>	Associated SunnyLee with SIP/142.136.76.105-0000001f.
[Tue 11:08:10] <manu>	voip: connections?
[Tue 11:08:10] <voip-cr>	Conference participants are: Brian Sletten [SIP/sip2sip.info-00000005], MattCollier [SIP/69.71.222.196-00000006], Rob Trainer [SIP/192.168.61.4-00000007], Gregg Kellogg [SIP/10.0.1.160-00000008], Richard [SIP/69.71.222.196-00000009], Nate Otto [SIP/sip2sip.info-0000000a], Manu Sporny [SIP/6000-0000000d], Eric [SIP/69.71.222.196-00000015], 17783522252 [SIP/69.71.222.196-0000001a], 15087286074 [SIP/69.71.222.196-0000001e], SunnyLee [SIP/142.136.76.105-0
[Tue 11:08:18] <manu>	voip: 001e is JimGoodell
[Tue 11:08:18] <voip-cr>	Associated JimGoodell with SIP/69.71.222.196-0000001e.
[Tue 11:08:33] <manu>	voip: 001a is ChristofDorn
[Tue 11:08:33] <voip-cr>	Associated ChristofDorn with SIP/69.71.222.196-0000001a.
[Tue 11:08:34] <manu>	voip: connections?
[Tue 11:08:35] <voip-cr>	Conference participants are: Brian Sletten [SIP/sip2sip.info-00000005], MattCollier [SIP/69.71.222.196-00000006], Rob Trainer [SIP/192.168.61.4-00000007], Gregg Kellogg [SIP/10.0.1.160-00000008], Richard [SIP/69.71.222.196-00000009], Nate Otto [SIP/sip2sip.info-0000000a], Manu Sporny [SIP/6000-0000000d], Eric [SIP/69.71.222.196-00000015], ChristofDorn [SIP/69.71.222.196-0000001a], JimGoodell [SIP/69.71.222.196-0000001e], SunnyLee [SIP/142.136.76.105-0
[Tue 11:09:36] <gkellogg>	manu: they’ve looked at the list in Credentials CG and would like to see more representatives from a broader set of organizations.
[Tue 11:10:01] <gkellogg>	… They’d like to see about 30 organizations before they’re comfortable with proposing a new WG to W3CM.
[Tue 11:10:24] <gkellogg>	… There are a number of back-channel discussions working against us, particularly from the security community.
[Tue 11:10:41] <gkellogg>	… Unfortunately, they’re not coming here, but are voicing directly to W3CM.
[Tue 11:10:56] <gkellogg>	… There are 2 blog posts/papers they’d like to see us put together to counter these arguments.
[Tue 11:11:23] <gkellogg>	… 1) What makes this credentials approach different from the last 15 years of approaches that have failed: SAML, OpenID Connect, …
[Tue 11:11:53] <gkellogg>	… 2) Define where W3C can add value. Why should the work be done at W3C vs IETF/OASIS/ISO?
[Tue 11:12:53] <gkellogg>	… The Payments IG will wait for us to put this strategy together, in concert with some W3C Staff, to put together a proposal that will be a sell to W3CM.
[Tue 11:12:57] <dlongley>	voip-cr: 0023 is Dave Longley
[Tue 11:12:57] <voip-cr>	Associated Dave Longley with SIP/69.71.222.196-00000023.
