[Tue 11:05:08] <manu>	scribe: dlongley
[Tue 11:05:14] <manu>	Agenda: https://lists.w3.org/Archives/Public/public-credentials/2015Jul/0009.html
[Tue 11:05:20] <dlongley>	Manu: It's a fairly light agenda.
[Tue 11:05:28] <dlongley>	manu: Any updates or changes?
[Tue 11:05:33] <dlongley>	none
[Tue 11:05:38] <manu>	Topic: Recruiting
[Tue 11:05:42] <voip-cr>	Rob Trainer [SIP/192.168.61.4-00000055] has joined the conference.
[Tue 11:07:24] <dlongley>	manu: The discussion at W3C at the Web Payments IG is ongoing, on credentials and identity. The same people who said they are very interested in identity and credentials continue to say so. We distributed a poll so they could speak up for the Credentials CG/WG recruiting drive. Only a very small handful of them have done that. I'm going to have to pick up the phone and call them directly mainly because they are so busy and don't get to the poll. Even people in the Credentials CG haven't put anything on the poll so we need to get people to do it. It could be the holiday weekend that's partly responsible. I think people are busy or they are being nice and we have to get past that.
[Tue 11:07:36] <dlongley>	manu: The Web Payments IG has 75 people in it, hopefully we'll pick up a couple from there.
[Tue 11:08:42] <dlongley>	manu: From a recruiting standpoint, I got the full list of AC reps that were asked to fill out the poll that would probably be interested in credentials or supporting us at W3C. I got the list of people that haven't responded yet to Eric Korb and Richard Varn so hopefully you can have your recruiter people go after them. There's 100+ on there. I think 35 have responded.
[Tue 11:09:06] <voip-cr>	Dave Lehn [SIP/6003-00000056] has joined the conference.
[Tue 11:09:30] <dlongley>	manu: We have around 16 organizations so far, if you scan down the list, we're missing ETS, Badge Alliance, Concentric Sky.
[Tue 11:09:45] <dlongley>	Richard: What do you need from us?
[Tue 11:09:50] <dlongley>	manu: I just need you to fill out the poll.
[Tue 11:10:03] <dlongley>	manu: Your AC rep needs to fill that out.
[Tue 11:10:07] <dlongley>	Richard: I'll check with Mark, thanks.
[Tue 11:10:26] <dlongley>	manu: If you're not on this list, that means you're not down as supporting the work. The way to get on this list is to go fill out the poll.
[Tue 11:10:27] <eric_r_korb>	Express Scripts should be Scrip-Safe
[Tue 11:10:37] <dlongley>	manu: We have a couple of maybes that may turn into yeses.
[Tue 11:10:56] <dlongley>	manu: That puts us around 3.75% and W3C needs 5% to consider starting the work.
[Tue 11:11:11] <dlongley>	manu: Let's go down the list and see where everyone is as far as recruiting.
[Tue 11:11:25] <dlongley>	manu: Eric, for Parchment, Scrip-Safe, etc. ...
[Tue 11:11:42] <dlongley>	Eric: As I mentioned last week, it was a holiday week/weekend so I was waiting until this week.
[Tue 11:11:58] <NateOtto>	Ok, good to know!
[Tue 11:11:59] <dlongley>	manu: Sure, just keep in mind time is running out. We need the names by the end of July because getting them after that before TPAC is highly unlikely.
[Tue 11:12:04] <dlongley>	manu: Nate?
[Tue 11:12:28] <dlongley>	NateOtto: I talked to Wayne, C-Sky's president, he's positive can't put a "Yes" yet, but after today I'll be able to talk more clearly after some tech discussions.
[Tue 11:12:31] <dlongley>	manu: Richard?
[Tue 11:13:08] <dlongley>	manu: We've contacted CSC and Accenture ... I've made appeals to their reps, we've contacted two, I've got to wait on NRF and I haven't talked to ACT I'll talk to them this week.
[Tue 11:13:31] <dlongley>	manu: Does anyone else want to be actively involved in recruiting that's on the call?
[Tue 11:13:42] <dlongley>	manu: What's the status of Badge Alliance?
[Tue 11:14:07] <dlongley>	NateOtto: As far as who is footing the bill, won't be decided until later, but you can put them down as a strong maybe and get them signed up.
[Tue 11:14:24] <dlongley>	Eric: You can put Verisys down as a "Yes".
[Tue 11:14:42] <dlongley>	manu: Were there any other organizations that were missing from here that should be on here?
[Tue 11:14:51] <dlongley>	manu: Richard, my guess is that ETS is going to say yes to this?
[Tue 11:15:00] <dlongley>	Richard: Yes, I'm going to tell Mark to fill out the survey.
[Tue 11:15:46] <NateOtto>	Eric: Rob Abel CEO of IMS Global offered to help recruit, though said that IMS doesn't join other standards bodies.
[Tue 11:16:04] <NateOtto>	SLee, do you have a Bb contact?
[Tue 11:16:10] <dlongley>	Eric: I have spoken to IMS, Rob Abel, and they said they don't typically join but they'd help recruit support for the project. I'll have to reach out to IMS myself and take them up on their offer. Their membership is definitely a target. Someone who is not on here is Blackboard.
[Tue 11:16:24] <dlongley>	Eric: Blackboard hasn't returned my calls.
[Tue 11:16:32] <dlongley>	SLee: I can chat with our contact at Blackboard.
[Tue 11:16:38] <dlongley>	Eric: That'd be great.
[Tue 11:16:52] <dlongley>	Eric: Do we want any Universities? I think IU would certainly be one.
[Tue 11:16:54] <dlongley>	manu: Yes.
[Tue 11:17:05] <dlongley>	manu: Would they send someone to participate in the work or join W3C?
