[Tue 11:04:44] <manu>	Agenda: https://lists.w3.org/Archives/Public/public-credentials/2015Jul/0022.html
[Tue 11:04:49] <manu>	scribe: bsletten
[Tue 11:04:51] <voip-cr>	15012911599 [SIP/69.71.222.196-00000111] has joined the conference.
[Tue 11:05:34] *	ustonma (~ustonma@c-73-217-122-225.hsd1.co.comcast.net) has joined #credentials
[Tue 11:05:43] <manu>	voip: 0111 is MattStone
[Tue 11:05:43] <voip-cr>	Associated MattStone with SIP/69.71.222.196-00000111.
[Tue 11:05:59] <bsletten>	Manu: On the agenda, running down the recruiting effort and updates on recruiting and the documentation assignments. We are hoping that the editors and authors of these documents are making progress incrementally. If we go a week and don't make progress, we'll want to know why and try to fix it.
[Tue 11:06:02] <manu>	Topic: Recruiting
[Tue 11:06:10] <bsletten>	Manu: We do have some good updates on recruiting.
[Tue 11:06:55] *	manu here's the link https://docs.google.com/spreadsheets/d/1_c4mzoSYOqJAoBQLgDipJXamHU14qob5omVPDQyW27A/edit#gid=0
[Tue 11:07:06] <bsletten>	Manu: The good news here is that we have a number of new folks that responded to the recruiting drive. Eric Korb sent out a number of emails last week and the week before and we 29 affirmatives now which is good.
[Tue 11:07:27] <bsletten>	Manu: That's a strong feedback. That includes people we haven't really been working on. We have another 30 in the pipeline.
[Tue 11:08:14] <bsletten>	Manu: W3C is now kicking off internal discussions because we got the numbers above 25. Two staff contacts are pushing this heavily inside of W3C. Discussions about whether this should be handled at TPAC.
[Tue 11:08:58] *	erok210 (~eric.korb@ool-182d4d6d.dyn.optonline.net) has joined #credentials
[Tue 11:09:32] <bsletten>	Manu: We are hitting some friction from the Security folks. They are concerned about people being tracked across websites (ignoring email as it is currently used). We are going to have to be prepared to deal with this and show them that we do care about security and that people are already being tracked.
[Tue 11:10:10] <voip-cr>	19087694252 [SIP/69.71.222.196-00000112] has joined the conference.
[Tue 11:10:22] <voip-cr>	15087286074 [SIP/69.71.222.196-00000113] has joined the conference.
[Tue 11:11:08] <bsletten>	Manu: As of last week we have a number of new folks. Badge Alliance. Nate has verified they will be joining. We have Citrix. DQ Systems (John Foley is an ex-JP Morgan Chase individual). We have a yes from ETS. We have a yes from Pearson. Indiana University [several others] including Verisys. Eric and John are recruiting some other folks.
[Tue 11:11:11] <manu>	voip: 0112 is Eric
[Tue 11:11:11] <voip-cr>	Associated Eric with SIP/69.71.222.196-00000112.
[Tue 11:11:22] <manu>	voip: 0113 is Jim
[Tue 11:11:22] <voip-cr>	Associated Jim with SIP/69.71.222.196-00000113.
[Tue 11:11:40] *	NateOtto (~textual@c-71-237-170-49.hsd1.or.comcast.net) has joined #credentials
[Tue 11:12:05] <bsletten>	Manu: We need a big fish for W3C. A big new member. They would like to see a new multi-billion dollar organization join specifically because of this work.
[Tue 11:12:13] <bsletten>	Manu: Eric, any updates on recruiting?
[Tue 11:12:44] *	NateOtto has quit (Client Quit)
[Tue 11:12:59] <bsletten>	Eric: None other than what you've covered. People are giving me feedback about voting. Apparently a lot of them didn't get the original email. I don't know if I can find a billion dollar company, but if someone like Parchment comes on board, that would be good.
[Tue 11:13:23] <bsletten>	Manu: That would be difficult to ignore. When I say a billion I really mean "hundred million".
[Tue 11:13:26] *	NateOtto (~textual@c-71-237-170-49.hsd1.or.comcast.net) has joined #credentials
[Tue 11:13:33] <bsletten>	Eric: I can get a non-profit.
