[Tue 11:04:59] <manu>	Agenda: https://lists.w3.org/Archives/Public/public-credentials/2015Aug/0006.html
[Tue 11:05:00] <dlongley>	scribe: dlongley
[Tue 11:05:32] <manu>	Topic: Recruiting
[Tue 11:05:35] <dlongley>	Manu: We'll likely be having similar calls for the next month as we get these documents into shape.
[Tue 11:06:05] <dlongley>	manu: We had a couple of new organizations join thanks to the emails Mark Leuba and John Tibbetts sent out. Thanks very much for that, actually 8 or so more organizations due to that.
[Tue 11:06:19] <dlongley>	manu: I haven't had a chance to update the recruiting document yet.
[Tue 11:06:21] *	dlongley ok
[Tue 11:07:07] <voip-cr>	Dave Lehn [SIP/6003-00000028] has joined the conference.
[Tue 11:07:32] <dlongley>	manu: Maybe by mid this week, Eric, we might want to send another ping around to give people a last chance to say they want to participate.
[Tue 11:08:18] <dlongley>	manu: I'm trying to get in touch with the CEO of Dublin Core to get them onboard. I note that we still don't have many healthcare companies on here so we want to note that with our contacts.
[Tue 11:08:46] <dlongley>	Nate: I reached out to IBM, they are already a W3C member, but their team working on credentials is very interested in this work and hopefully they'll circulate this around.
[Tue 11:09:16] <dlongley>	manu: Are you speaking with Arnaud Lehore (sp)?
[Tue 11:09:22] <dlongley>	NateOtto: No, we've got another high level contact.
[Tue 11:09:36] <dlongley>	manu: We've got people in the Linked Data space interested and so that's good that we've got multiple contacts.
[Tue 11:10:03] <dlongley>	Richard: If someone is talking to IBM is that they own Kenexa which is training and HR stuff and they'll be very interested in that.
[Tue 11:10:07] <dlongley>	manu: Do you have any contacts there?
[Tue 11:10:18] <dlongley>	Richard: No, I just know they are interested in this kind of stuff.
[Tue 11:10:27] <manu>	ACTION: Manu to reach out to Arnaud and James Snell about Credentials and Conexa.
[Tue 11:10:45] <dlongley>	Stone: I know we're having a discussion with IBM right now about some badging stuff, maybe I can also find out who we're talking with over there and make some in roads.
[Tue 11:10:54] <dlongley>	manu: I'll try and send out an email after this call linking all the IBM contacts we know.

[Tue 11:11:18] <dlongley>	manu: I'll send out an email to the effect of "we need a central contact for this"
[Tue 11:13:22] <dlongley>	Eric: I had a conversation last week with Acclaim, and they're working on us with IMS Global, and ... I had a conversation with Peter Jansow from IMS yesterday and he's participating in that project. They said they'll participate in standards groups where they plan to incorporate it into their product. I presume that eventually they'll have to be looking at the standard [bad audio for me]. My sense is that they are a maybe with a capital M. Peter Jansow is the contact there, from Acclaim.
[Tue 11:18:47] <NateOtto>	I only saw two links -- are there 4 ready for internal viewing now?
