[Tue 11:06:11] <manu>	scribe: stonematt
[Tue 11:06:19] <manu>	Agenda: https://lists.w3.org/Archives/Public/public-credentials/2015Aug/0032.html
[Tue 11:07:13] <manu>	Topic: Recruiting
[Tue 11:08:04] <stonematt>	Richard: prometric is a "no" on joining W3C
[Tue 11:08:36] <stonematt>	Topic: IMS Global Update
[Tue 11:09:11] <stonematt>	manu: expect a full update next week after the conference
[Tue 11:09:14] <manu>	Topic: Capabilities Document
[Tue 11:09:23] *	manu http://manu.sporny.org/2015/credentials-retrospective/
[Tue 11:10:37] <stonematt>	manu: will review and introduce the details of the expected/desired capabilities of the standard.  picking up where we left off last week
[Tue 11:12:30] <manu>	q+ to elaborate on why storing public keys in a decentralized network is important - you don't need a domain to participate, and everyone can participate
[Tue 11:12:31] <voip-cr>	manu has been added to the queue: manu
[Tue 11:12:51] <retsej>	q+
[Tue 11:12:51] <voip-cr>	retsej has been added to the queue: manu, retsej
[Tue 11:12:54] <manu>	ack manu
[Tue 11:12:55] <voip-cr>	manu has the floor (to elaborate on why storing public keys in a decentralized network is important - you don't need a domain to participate, and everyone can participate).
[Tue 11:12:57] <NateOtto>	q+ to ask about the consequences of compromised keys
[Tue 11:12:58] <voip-cr>	NateOtto has been added to the queue: retsej, NateOtto
[Tue 11:13:16] *	pindarhk (uid105966@gateway/web/irccloud.com/x-nxxcwzmabndukgqj) has joined #credentials
[Tue 11:13:30] *	retsej manu is answering my question
[Tue 11:13:35] *	gkellogg_ (~gkellogg@156.39.191.244) has joined #credentials
[Tue 11:13:45] <retsej>	q-
[Tue 11:13:45] <voip-cr>	retsej has been removed from the queue: NateOtto
[Tue 11:13:51] <stonematt>	manu: web based PKI - allows individuals who don't own a domain (most people) to participate and have control of their own identity
[Tue 11:14:27] <stonematt>	q+
[Tue 11:14:27] <voip-cr>	stonematt has been added to the queue: NateOtto, stonematt
[Tue 11:15:13] <stonematt>	manu: far more accessible
[Tue 11:15:19] <pindarhk>	fwiw note https://letsencrypt.org/ for late this year
[Tue 11:15:19] <manu>	ack manu
[Tue 11:15:19] <voip-cr>	manu isn't on the speaker queue.
[Tue 11:15:36] <manu>	ack NateOtto
[Tue 11:15:36] <voip-cr>	NateOtto has the floor (to ask about the consequences of compromised keys).
