[Tue 11:05:47] <m4nu>	Agenda: https://lists.w3.org/Archives/Public/public-credentials/2015Nov/0014.html
[Tue 11:05:49] <dlongley>	scribe: dlongley
[Tue 11:06:25] <dlongley>	m4nu: Last week we talked about what happened at W3C TPAC. The good news is that the Web Payments IG wants to do something around Credentials; we're trying to figure out where to do the work and where to write the charter and tie up loose ends.
[Tue 11:07:52] <LauraFowler>	voip: 147 is LauraFowler
[Tue 11:08:36] <dlongley>	m4nu: There's an action item on me to propose a way forward for Credentials at W3C. We made a proposal; it had mixed feedback. We'll discuss that. We'll also be assigning tasks to folks. We'll give an update on our discussion with the SoLiD team as well. We chatted a bit with TimBL on the HTTP signatures stuff as well.
[Tue 11:08:45] <bblfish>	ah cool, interested about hearing the discussion on SoLiD
[Tue 11:08:47] <dlongley>	m4nu: Anything else we need to cover today?
[Tue 11:08:50] *	credly__ (~credly@pool-96-248-77-27.cmdnnj.fios.verizon.net) has joined #credentials
[Tue 11:08:51] <dlongley>	Present+ Laura
[Tue 11:09:02] <m4nu>	Topic: Credentials Task Force in WPIG Update
[Tue 11:09:13] <m4nu>	https://www.w3.org/Payments/IG/wiki/Main_Page/ProposalsQ42015/Credentials
[Tue 11:09:33] <dlongley>	m4nu: We have made some modifications to the proposal as a result of the call yesterday. I'll review what was proposed and then talk next steps.
[Tue 11:10:20] <dlongley>	m4nu: The goal is to determine whether or not a W3C Working Group should be created. The outcome of this task force will either be a charter for the W3C member to vote on to start the work or it's going to be a finding that we should not do the work at W3C. Clearly, the people in this group would like to see it started at W3C. There are some other people who feel the world isn't ready to see this work start.
[Tue 11:11:05] <dlongley>	m4nu: A lot of the proposal is based on the survey we did. 58 orgs filled it out; how they view a proper credential ecosystem. We had them rate capabilities. We kept it data driven and so it was difficult for people who are against the work to argue against.
[Tue 11:11:12] <m4nu>	https://www.w3.org/Payments/IG/wiki/Main_Page/ProposalsQ42015/Credentials#Concerns
[Tue 11:11:15] <dlongley>	m4nu: There were a number of concerns that were raised. The concerns were added to the wiki.
[Tue 11:11:50] <dlongley>	m4nu: Some of those concerns are questions we need to answer. Some of them we are in no position to answer. "What is the jurisdictional scope of a credential and how are they regulated?" Way too early to answer but it was raised as a question to answer at some point.
[Tue 11:12:15] <dlongley>	m4nu: In general, the IG said "Yes, we should do something about this and this proposal isn't offbase." Only +1's to say we should proceed with the work. The pushback was where the work would happen.
[Tue 11:12:28] <dlongley>	m4nu: The proposal was that this group (this CG) would just shift gears and work on the questions.
[Tue 11:13:13] <dlongley>	m4nu: There was almost immediate objection to that. Because there are people (some of whom we know, and some of whom we don't know) that feel that we don't have a neutral forum here. Meaning, we've worked on technology like the Open Badges stuff, technical implementations have been discussed and because of that, this group isn't neutral.
[Tue 11:13:29] <bblfish>	argh.
[Tue 11:13:33] <bblfish>	q?
[Tue 11:13:34] <voip-cr>	The speaker queue is empty.
[Tue 11:13:36] <bblfish>	q+
[Tue 11:13:36] <voip-cr>	bblfish has been added to the queue: bblfish
[Tue 11:13:37] <dlongley>	m4nu: A request was made for another group to be made that can't talk about the technology; and only talk about capabilities.
[Tue 11:15:38] <dlongley>	m4nu: Speaking as an individual, this is fantastically frustrating because we strive to be very neutral in this group and have a good track record of doing so. This group started out with use cases and no particular technology focus. We had two input specs. We didn't have a strong technical view, etc. we did discussions, found data, worked from there. There are people are saying (again, people we don't know who they are) that we aren't neutral and that they weren't involved. These people didn't join the work a year or so ago but now they are saying that their views weren't taken into account. We have identified a number of people that we *do* know and we've been talking with them and asking them to discuss things with us and that's great and is not an issue. The problem is the people who are only talking through W3C staff and we can't talk to them directly ... and the only solution seems to be creating a new group that is filled with the same people in this group, plus a few more, and that can't talk about technology solutions.
[Tue 11:15:59] <m4nu>	ack bblfish 
[Tue 11:16:00] <voip-cr>	bblfish has the floor.
[Tue 11:16:03] <dlongley>	m4nu: Please provide your input ... do you support a new Community Group focused only on capabilities and writing, no tech, etc. We need to hear opinions from this group.
[Tue 11:16:57] <dlongley>	Henry: If I look at the Linked Data Protocol group, which was headed by IBM. They had implementations, they had a lot of people, they had narrowed down the technology and the specifics and a proposal put forward. This seems suspicious to me; I don't know the process all that mutch, but it seems a bit weird.
[Tue 11:17:05] *	m4nu Arnaud
[Tue 11:17:45] <dlongley>	Henry: I'd like to speak with Arnaud and see what he said. I think you just need 20 members or some percentage to get people on board. The danger is if you get too many people on board then it's too general and becomes hard to succeed. That's me from an outsider's perspective.
[Tue 11:17:53] <dlongley>	Henry: You have more understanding, Manu, of the politics.
[Tue 11:18:59] <dlongley>	m4nu: I think you're right in that it's strange. I think there's a fair degree of misunderstanding. There is a mismatch between what we're trying to do and what people think we're doing here. Let me try and draw where the various points of confusion are. I think there's a misunderstanding on what we're working on. Like we're working on authentication protocols like FIDO. We're absolutely not doing that here. The tech we're using here could be used with authentication but that's not what we're primarily pushing here.
[Tue 11:19:08] <dlongley>	m4nu: So there's confusion and objection over that.
[Tue 11:19:28] *	AdrianHB has quit (Quit: My Mac has gone to sleep. ZZZzzz…)
[Tue 11:19:38] <dlongley>	m4nu: There's also confusion over where this group started. This group started with "we need to have verifiable claims/attributes" and we called them credentials and we were open to anyone to come and discuss at length.
[Tue 11:21:18] *	jonathanf__ (~jonathanf@pool-96-248-77-27.cmdnnj.fios.verizon.net) has joined #credentials
[Tue 11:21:28] *	credly__ (~credly@pool-96-248-77-27.cmdnnj.fios.verizon.net) has left #credentials ("Leaving")
[Tue 11:22:14] *	bblfish harry halpin has been pushing jose very loudly
[Tue 11:22:42] <dlongley>	m4nu: I think one problem is that there is some work going on at IETF that is similar; that group had already started and was already charted and once chartered they really push their world view. For example JOSE. There's nothing wrong with that there's a good technical implementation that fits their use cases. But their use cases aren't our use cases. And some people looked at this work and thought "nothing needs to be done." Now a year later, we have another group at W3C are backing doing work with Credentials. Now that other group is objecting because there would be two technical specs that conflict with one another. There are some things in common but I think the OpenID Connect, OAuth, IETF folks think there is more overlap than there is. For example, with the digital signature stuff, the JOSE folks are looking at that and saying "The Open Credentials folks are coming up with a new signature format" but they don't understand Linked Data; they aren't looking at the technology and they are just saying "We should just try to use their stuff before doing something new" without understanding that we already tried that. The mistake we made was not better documenting that effort.
[Tue 11:23:29] <dlongley>	m4nu: There are a couple of places where there is confusion: authentication vs. authorization, etc. and there are objections that our group is trying to do something that has been done before. There are people that don't understand the technology and some say we need to slow the process so people can understand that.
[Tue 11:24:11] <voip-cr>	Dave Lehn [SIP/6003-0000027d] has joined the conference.
[Tue 11:24:20] <bblfish>	yep makes sense
