[Fri 12:04:02] <dlongley>	scribe: dlongley
[Fri 12:04:31] <dlongley>	Agenda: https://lists.w3.org/Archives/Public/public-webpayments-ig/2016Jan/0016.html
[Fri 12:04:31] <dlongley>	Manu: Brad Hill has been a Security Engineer at PayPal, the FIDO Alliance, and is now at Facebook. He is also the co-Chair of the Web Application Security Working Group at W3C. He is here as an individual and is NOT representing WebApp Sec or his company in any capacity.
[Fri 12:05:09] <dlongley>	manu: We'd like to talk with you today about the Verifiable Claims Task Force proposal and your thoughts, the conversation will be driven by you, whatever you want to talk about, we'd like to hear about. If there are any key questions we think were missed we can go over at the end.
[Fri 12:05:23] <manu>	Brad: I've put down a lot of my thoughts here: https://docs.google.com/document/d/1aFAPObWUKEiSvPVqh9w1e6_L3iH4T08FQbJIOOlCvzU/edit#
[Fri 12:05:27] <voip-vctf>	17278084918 [SIP/69.71.222.196-0000057e] has joined the conference.
[Fri 12:05:32] <dlongley>	bhill: Sounds good. I've put down some of my thoughts in a Google doc, I've seen it's gotten a lot of readers and comments, it's as good of a way to start as any.
[Fri 12:05:50] <dlongley>	manu: Ok, let's go through the doc first then.
[Fri 12:06:01] <manu>	voip: 57e is DavidEzell
[Fri 12:06:01] <voip-vctf>	Associated DavidEzell with SIP/69.71.222.196-0000057e.
[Fri 12:06:53] <dlongley>	manu: Let's start with the problem statement.
[Fri 12:06:54] <manu>	Topic: Verifiable Claims Problem Statement
[Fri 12:07:04] <manu>	http://w3c.github.io/vctf/#problem
[Fri 12:07:52] <dlongley>	bhill: I think it's fine. The thing that stood out to me was the part about not changing service provider without losing digital identity. A lot of the claims that are interesting have canonical issuers and I can't port them anyway.
[Fri 12:07:58] <dlongley>	bhill: I'm not sure what's imagined by identity portability.
[Fri 12:08:13] <dlongley>	bhill: Which of the three parties that you're porting claims between is unclear.
[Fri 12:09:24] <voip-vctf>	Eric Korb [SIP/sip.linphone.org-0000057f] has joined the conference.
[Fri 12:09:34] <voip-vctf>	Eric Korb [SIP/sip.linphone.org-0000057f] has left the conference.
