[Wed 17:03:52] <manu>	scribe: collier-matthew
[Wed 17:04:51] <manu>	Agenda: https://lists.w3.org/Archives/Public/public-webpayments-ig/2016Jan/0062.html
[Wed 17:05:10] <collier-matthew>	manu: Thank Drummond for being here today.
[Wed 17:05:35] <collier-matthew>	manu: We're asking people who have been in identity space for decade+
[Wed 17:05:56] <manu>	http://w3c.github.io/vctf/
[Wed 17:06:02] <collier-matthew>	manu: the new initiative is called verifiable claims and W3C is trying to decide if we should do work there.
[Wed 17:06:20] <collier-matthew>	manu: we have a problem statement, scope of work
[Wed 17:06:40] <collier-matthew>	manu: we are trying to figure out if people like yourself feel the work is worthwhile and generally get your thoughts on the topic
[Wed 17:06:56] *	Guest (~textual@public.cloak) has joined #vctf
[Wed 17:06:57] <collier-matthew>	Topic: Problem Statement
[Wed 17:06:57] <collier-matthew>	manu: we're going to go over the problem statement and get your thoughts
[Wed 17:07:10] <manu>	http://w3c.github.io/vctf/#problem
[Wed 17:07:32] <collier-matthew>	manu: we start with assertion that there is no user-centric solution on the web right now.
[Wed 17:07:50] <collier-matthew>	manu: we believe that people want to create a user-centric ecosystem
[Wed 17:07:58] <collier-matthew>	... do you agree with that statement
[Wed 17:08:32] <collier-matthew>	Drummond: I strongly agree.  Existing solutions are heavily service-centric and there does not exist a user-centric system.
[Wed 17:09:02] <collier-matthew>	... any system where the identifier for the user is ... where the claims are not portable, is not user-centric
[Wed 17:09:30] <collier-matthew>	manu: we assert there are a number of problems with service-centric systems.
[Wed 17:10:03] <collier-matthew>	... people cannot easily change their identity provider or service provider without losing their digital identity.
[Wed 17:10:16] <collier-matthew>	... do you have any comments on that statement?
[Wed 17:10:28] <collier-matthew>	Drummond: if anything, that statement is not strong enought
[Wed 17:10:46] <collier-matthew>	... the issues you're pointing to are issues for users, not for service providers.
[Wed 17:11:43] <collier-matthew>	... systems that give users independence must be reflected in the protocols and standards
[Wed 17:11:56] <collier-matthew>	... openid, oAuth and OpenID do not address that issue.
[Wed 17:12:24] <collier-matthew>	...  it's hard to quantify what would happen in the marketplace if a user-centric standard exists
[Wed 17:12:54] <collier-matthew>	... credit cards could be used as an analogy.  No one could have predicted the impact that credit cards have had.
[Wed 17:13:09] <collier-matthew>	manu: how deeply involved were you in the OpenID process?
[Wed 17:13:19] <collier-matthew>	Drummond: I was one of the founding board members.
[Wed 17:14:21] <dlongley>	scribe: dlongley
[Wed 17:14:31] <dlongley>	Drummond: I was deeply involved with OpenID 1.0, and some of the early OAuth stuff, the InfoCard Foundation (Executive Director), and left at the beginning of OpenID Connect. 
[Wed 17:15:42] <dlongley>	Drummond: I was on the OpenID board until we transitioned to OpenID Connect. OpenID generation 1 was the original protocol, when it was started, the foundation then started to standardize OpenID 2 and that was to bring all the protocols together and make a standard and that was not succeeding the face of facebook/social login. Third generation leveraged OAuth because it had taken off and it became OpenID Connect. I wasn't involved in finalization of OpenID  Connect.
[Wed 17:16:17] <dlongley>	Manu: Do you think that OpenID Connect solves this problem and we can just use it to carry these claims or maybe just add an extension?
[Wed 17:16:23] <dlongley>	Drummond: No, we need a big architectural shift.
[Wed 17:16:27] <dlongley>	Drummond: I can try to articulate why...
[Wed 17:17:07] <dlongley>	Topic: OpenID Connect
[Wed 17:17:07] <dlongley>	Drummond: What OpenID Connect still doesn't address is portability of user's digital identity and their claims. I personally have been convinced some time now that we're only going to get there by moving to a semantic graph model for modeling identity and claims.
[Wed 17:17:32] <dlongley>	Drummond: If you don't take that step it's not adaptable, extensible enough to do it. Otherwise you're just going to get single-sign on at best.
[Wed 17:17:48] <dlongley>	Manu: Can you be more specific with technologies when you say semantic tech?
[Wed 17:18:24] <dlongley>	Drummond: The identifiers need to be portable and are supported with semantic graphs and linked to claims for the user or organizations and that will provide the technological basis for interop and portability for broad adoption.
[Wed 17:18:42] <dlongley>	Manu: So tech like the XDI work you've been involved in for a long time and Linked Data at W3C?
[Wed 17:18:47] <dlongley>	Drummond: Yes, those are the two things I would point to.
[Wed 17:19:29] <dlongley>	Manu: Moving to the second bullet point -- about no interop standard that cuts across industries. Industries create their own solutions and they are costly and don't work across lines. I think you've covered that but do you find any language in there to be long?
[Wed 17:20:04] <dlongley>	Drummond: I wouldn't change a word, I'd emphasize that if you break out of industry specific solutions you will enable a whole new level of not sure e-commerce but e-business; relationships that can take place online today but just can't today because of too much friction.
[Wed 17:20:24] <dlongley>	Manu: Third point, asserting qualifications on the Web is hard. Do you know of any tech that makes it easy to do today?
[Wed 17:21:37] <dlongley>	Drummond: That is an unsolved problem. There's been no adoption not even slight-adoption, only industry specific solutions, no standard. It was in scope for OpenID and OpenID attribute exchange, the center of the bowling alley for InfoCard and neither one made a dent in that part of the problem. I'm very close with the OpenID community and I don't want to go on record as saying it hasn't worked, as they are still working on it, but that doesn't change my mind that until you move to a semantic graph model or the claims and the sharing of the claims and make it portable you won't get over the hump.
