[Fri 14:15:56] <manu>	Agenda: https://lists.w3.org/Archives/Public/public-webpayments-ig/2016Jan/0068.html
[Fri 14:15:57] <dlongley>	scribe: dlongley
[Fri 14:16:05] *	dlongley sure
[Fri 14:16:15] *	dlongley note recording
[Fri 14:16:49] <dlongley>	manu: Hi Mike, thanks for joining us today. When we run these calls we minute and record them and we'll be reporting the result to the W3C and the VCTF, if you don't want audio recording just let us know we can turn that off if you're not ok.
[Fri 14:16:52] <dlongley>	Mike_Schwartz: No, that's fine.
[Fri 14:17:10] <dlongley>	manu: To start off, it would be good if you could give us a quick introduction about who you are and what you do.
[Fri 14:17:18] <dlongley>	manu: After that we can go through the agenda we have.
[Fri 14:17:54] <dlongley>	manu: Problem statement, system design, stakeholder benefits, etc. We just want to get your thoughts on this, this is just a proposed agenda, if you want to deviate or focus elsewhere that's great, talk about anything you think is interesting in this area.
[Fri 14:18:00] <manu>	Topic: Introduction
[Fri 14:19:33] *	manu Kantara
[Fri 14:20:15] <dlongley>	Mike_Schwartz: Sure. I'm the founder and CEO and Gluu. We are an open source software developer and we produce an identity provider product called a Gluu server to authenticate individuals. It integrates a number of open source components included Shibboleth SAML, we also have Ox and an Ox-based OpenID connect provider. We have a SAML proxy and LDAP server and it's really three different components for authenticating people with different mechanisms with APIs to leverage that. Over the years I've been active in implementing standards like SAML and OPenID Connect and Oauth 2 profiles, I'm currently chair of a Kanara group -- a WG that is trying to assign a new way for a central authority to vet organizations and the federation identity services they provide to drive down costs and technical and legal barriers to interdomain collaboration.
[Fri 14:20:48] <dlongley>	Mike_Schwartz: Before starting Gluu I was an identity management consulting for more than a decade and interested in giving users more control over their information and I have some thoughts in this area I'd be happy to share.
[Fri 14:21:17] <dlongley>	manu: I'm sure they will be helpful especially given your experience in this area. All of the techs you mentioned have come up so getting someone with direct experience is really helpful and we want to learn a lot from you. Thank you for being here.
[Fri 14:22:16] <dlongley>	manu: We'd like to start with the problem statement to set the stage for what we're trying to work on. The reason this series of interviews is happening is because we're trying to make sure we're not solving something that's already solved and that it's not a problem so sticky we'll fail. We are talking with people like Christopher Allen, Dick Hardt, Brad Hill, Drummond Reed.
[Fri 14:22:42] <manu>	Topic: Problem Statement
[Fri 14:22:49] <dlongley>	manu: We're getting all these peoples' input to determine if the problem statement is defined properly. We want to hear if any of the initiatives you're involved in would help solve the problem, etc.
[Fri 14:22:52] <manu>	http://w3c.github.io/vctf/#problem
