[Thu 11:04:22] <manu>	Agenda: https://lists.w3.org/Archives/Public/public-webpayments-ig/2016Feb/0041.html
[Thu 11:04:37] <gkellogg>	scribe: gkellogg
[Thu 11:04:37] <gkellogg>	manu: last prep meeting before F2F in San Francisco next week
[Thu 11:05:17] <voip-vctf>	16097341186 [SIP/69.71.222.196-00000839] has joined the conference.
[Thu 11:05:21] <manu>	Date: 2016-02-20
[Thu 11:05:21] <manu>	Topic: Current Status
[Thu 11:05:26] <manu>	voip: 839 is RichardVarn
[Thu 11:05:26] <voip-vctf>	Associated RichardVarn with SIP/69.71.222.196-00000839.
[Thu 11:05:52] <gkellogg>	manu: Presentation is done, final report as agood as it can be before F2F, as we need input from people at the meeting.
[Thu 11:06:04] *	Richard (~Richard@public.cloak) has joined #vctf
[Thu 11:06:48] <gkellogg>	… Ian responded in a way that might seem concerning/problematic. Basically, he thinks we should focus on a narrow set of things, and we’ve responded that we’re trying to gather data to make decisions.
[Thu 11:07:42] <gkellogg>	… Comments may appear to be obstructive, but he gets the benefit of the doubt right now.
[Thu 11:08:37] <gkellogg>	… The report covers what we’ve discussed in the interviews and surveys and makes a suggestion at the end. Nobody is saying we should not do work in this area, as SAML, OpenID-Connect don’t address our needs.
[Thu 11:09:14] <gkellogg>	… We’ve proposed to work on the data model and syntax and analyze if that fits into existing technlogies. That would be the first 1-1 1/2 years of work.
[Thu 11:09:49] <gkellogg>	… We have pushback that protocols exist, such as OpenID-Connect, but it’s not clear. We don’t want to be pulled into the protocol fight.
[Thu 11:10:23] <gkellogg>	… The charter is designed to put a foot into the ground and demonstrate that we can  use these protocols, or to clarify what the issues are with the existing protocols that need to be addressed.
[Thu 11:10:51] <gkellogg>	… I told Ian I would specifically ask the group if we do or do not have concensus on this direction.
[Thu 11:11:21] <JohnTib>	i agree with direction
[Thu 11:11:25] <Richard>	I agree
[Thu 11:11:33] *	dlongley we could also do a +1/-1 proposal
[Thu 11:12:12] <gkellogg>	ShaneM: If you’re looking for voices, I think a measured approach is reasonable. Specifying formats to see if they can be supported with existing technologies is a good first step.
[Thu 11:12:52] <gkellogg>	manu: We’re trying to see if we’re misrepresenting what people said in surveys or interviews.
[Thu 11:14:08] <gkellogg>	JohnTib: I think the direction is good. On the letter I wrote last week, he thought I had disagreed with our direction, as I indicated we should consider nouns and flows. I’m fine with the direction of starting with the data models/ontologies.
[Thu 11:15:08] <gkellogg>	manu: If this comes up again at the F2F and he claims there’s no concensus, as you didn’t discuss use cases with interviewees. We should create a charter to put forth the work and go back to the interviewees again for their concerns.
[Thu 11:15:25] <gkellogg>	q+
[Thu 11:15:25] <voip-vctf>	gkellogg has been added to the queue: gkellogg
[Thu 11:15:29] <manu>	ack gkellogg 
[Thu 11:15:29] <voip-vctf>	gkellogg has the floor.
[Thu 11:16:20] <manu>	Gregg: One thing that is clear that this is an area that has been fraught with problems and people are wary about folks coming into this space. That's the sense that I got from interviewees. I think an incremental approach, as frustrating as it may be, is really the only way to move forward a step at a time.
[Thu 11:16:42] <dlongley>	q+
[Thu 11:16:42] <voip-vctf>	dlongley has been added to the queue: dlongley
[Thu 11:16:47] <manu>	Gregg: That is what the charter of the group should be - only clear way to make progress. A number of interviewees were skeptical that we could do something, but hopeful that something could be done.
[Thu 11:16:49] <manu>	ack dlehn 
[Thu 11:16:50] <voip-vctf>	dlehn isn't on the speaker queue.
[Thu 11:16:51] <manu>	ack dlongley 
[Thu 11:16:51] <voip-vctf>	dlongley has the floor.
[Thu 11:17:24] <gkellogg>	dlongley: My view is that the interviewees were saying that “yes something should be done, and good luck doing it.” Everyone has different or narrower goals.
[Thu 11:17:47] <gkellogg>	… Problems may come from having a larger vision.
[Thu 11:18:20] <gkellogg>	… I agree we should take small steps, but do so with a larger vision in mind. Talking about data models and syntax allows us to grow in that direction without constraining ourselves to too small a vision.
[Thu 11:18:45] <gkellogg>	… I agree with Gregg, and think it’s the only way forward. But, it’s important what kind of steps we take, and this direciton is a good one.
[Thu 11:19:04] <gkellogg>	manu: I think it’s clear that the VCTF thinks we should go and send that info back to Ian and to the F2F.
[Thu 11:19:13] <manu>	Topic: Use Cases Document
[Thu 11:19:16] <ShaneM>	http://www.opencreds.org/specs/source/use-cases/
[Thu 11:19:28] <manu>	q+ to say how it may change it in the future.
[Thu 11:19:28] <voip-vctf>	manu has been added to the queue: manu
[Thu 11:19:30] <gkellogg>	ShaneM: I don’t think the new information changes the use cases right now.
[Thu 11:20:35] <gkellogg>	… The document has been re-structured based discussions here and elsewhere. Theirs basic boilerplate and introduction. I stress that even though we have terminology, we’re not talking about architecture.
[Thu 11:21:00] <gkellogg>	… The terminology section is based on a common terminology used elsewhere.
[Thu 11:22:12] <gkellogg>	… Section 3 Examples talks about flows. This may look like it describes a protocol, but it is not intended to. A simple flow for how we might create a Verifiable claim. The next section describes how Jane might prove her age using this without disclosing too much.
