[Tue 11:04:00] <manu>	scribe: bsletten
[Tue 11:04:08] <manu>	Agenda: https://lists.w3.org/Archives/Public/public-webpayments-ig/2016Mar/0043.html
[Tue 11:04:11] <voip-vctf>	John Tibbetts [SIP/sip2sip.info-0000096a] has joined the conference.
[Tue 11:04:12] <voip-vctf>	BillDeL [SIP/sip2sip.info-0000096b] has joined the conference.
[Tue 11:04:35] <voip-vctf>	John Tibbetts [SIP/sip2sip.info-0000096d] has joined the conference.
[Tue 11:04:38] <voip-vctf>	John Tibbetts [SIP/sip2sip.info-0000096a] has left the conference.
[Tue 11:04:45] *	dlongley JohnTib: strange ... several people having trouble connecting today, brian got in after several tries with the same problem, so perhaps try a few more times
[Tue 11:04:58] <bsletten>	Manu: Same agenda as last week. We need to discuss the Draft Charter and Use Case documents. We need to discuss if we are going to hand out a card next week and if we are ready to go.
[Tue 11:05:02] <voip-vctf>	John Tibbetts [SIP/sip2sip.info-0000096d] has left the conference.
[Tue 11:05:03] <voip-vctf>	John Tibbetts [SIP/sip2sip.info-0000096f] has joined the conference.
[Tue 11:05:06] <voip-vctf>	1Restricted [SIP/69.71.222.196-0000096e] has joined the conference.
[Tue 11:05:21] <mediaprophet>	I just dialed in
[Tue 11:05:23] <bsletten>	Manu: We need to make some decisions about names. (Issuer, Curator, etc.) The end of the call is going to be a bike shedding exercise.
[Tue 11:05:29] <voip-vctf>	John Tibbetts [SIP/sip2sip.info-0000096f] has left the conference.
[Tue 11:05:35] <manu>	Topic: Draft Charter Proposal
[Tue 11:05:43] <manu>	http://w3c.github.io/webpayments-ig/VCTF/charter/vcwg-draft.html
[Tue 11:05:46] <voip-vctf>	John Tibbetts [SIP/sip2sip.info-00000970] has joined the conference.
[Tue 11:05:52] <JohnTib>	now I'm in
[Tue 11:05:56] *	dlongley yay
[Tue 11:06:23] <bsletten>	Manu: We have had a really healthy amount of review. Thank you for everyone who did a review. We still have comments streaming in. The hope is to keep editing the editor's draft but we need to send it out at 3PM today.
[Tue 11:06:27] <ShaneM>	(3PM Eastern)
[Tue 11:06:56] <bsletten>	Manu: The Advisory Committee will do an initial review.
[Tue 11:08:02] *	ShaneM confesses he has not read it in a week
[Tue 11:08:09] <bsletten>	Manu: There have been some deep questions asked about the draft charter proposal, but are there any other questions and comments? How do people feel about the draft charter proposal? Is it ready to circulate for informal review?
[Tue 11:08:18] <JohnTib>	Good to go as far as I'm concerned
[Tue 11:08:20] <dlongley>	+1 for ready for informal review
[Tue 11:08:25] <bsletten>	Manu: A lot has changed in the last week.
[Tue 11:08:27] *	ottonomy confesses he hasn't followed the long thread on the mailing list, but general thumbs up.
[Tue 11:08:36] *	dlongley would like some of the comments that have come in added
[Tue 11:08:46] <manu>	http://w3c.github.io/webpayments-ig/VCTF/charter/vcwg-draft.html
[Tue 11:08:48] <ShaneM>	I am not afraid to circulate it for informal review.  But thank you for making LOTS of changes in response to people.
[Tue 11:08:49] <bsletten>	Manu: Let me be more clear about what has changed.
[Tue 11:09:11] <bsletten>	Manu: The Problem Statement hasn't been changed much, mostly editorial. Matt Stone had asked us to tie the problem statement to the goals. That has been done.
[Tue 11:09:55] <bsletten>	Manu: What we do now is take each bullet from the problem statement and say this is a goal. This is what we are trying to address.
[Tue 11:10:19] <bsletten>	Manu: We can't too much in the Problem Statement without upsetting people who have already signed off on it.
[Tue 11:10:57] <voip-vctf>	Carla Casilli [SIP/sip2sip.info-00000971] has joined the conference.
[Tue 11:11:04] <bsletten>	Manu: The Goal section can be modified as we see fit. The Deliverables follow the goals for at least the first stage.
[Tue 11:11:23] <bsletten>	Manu: The Security/Privacy section has been updated to flow more easily. The Internationalization section has been added.
[Tue 11:11:38] *	CarlaCasilli (~CarlaCasilli@public.cloak) has joined #vctf
[Tue 11:11:49] <ottonomy>	+1 on 4.1 deliverables
[Tue 11:11:52] <bsletten>	Manu: Deliverables (4.1): previously we had only planned to deliver data model but now it says we are producing a core vocabulary as well.
[Tue 11:14:08] <bsletten>	Tim: Do we vote on proposed changes in the Community Group?
[Tue 11:14:33] *	dlongley yes, brian, that was Tim Holborn
[Tue 11:15:44] <dlongley>	Manu: The documents are under control of the Web Payments IG, but if the VCTF says we have consensus to add X, I think that would carry a lot of weight.
[Tue 11:17:21] <dlongley>	q+ to say I think we're covered on that by saying we are working on core vocabs
[Tue 11:17:21] <voip-vctf>	dlongley has been added to the queue: dlongley
[Tue 11:17:24] <bsletten>	Tim: There are some privacy and data access rights that were originally discussed but may have been dropped. I don't want the timeline to prevent things that should be in from being excluded.
[Tue 11:17:25] <voip-vctf>	Shane McCarron [SIP/callcentric.com-00000963] has left the conference.
[Tue 11:17:52] <manu>	ack dlongley 
[Tue 11:17:52] <voip-vctf>	dlongley has the floor (to say I think we're covered on that by saying we are working on core vocabs).
[Tue 11:17:59] *	ShaneM is coming back - low tech crap
[Tue 11:18:09] <voip-vctf>	Shane McCarron [SIP/callcentric.com-00000972] has joined the conference.
[Tue 11:18:19] <bsletten>	Dlongley: We have sections on covering security and privacy. We should be able to cover those things in a WG.
[Tue 11:18:43] <bsletten>	Manu: Our window for updating the document is end of May. That's when we expect to have all comments in and have the document updated.
[Tue 11:18:57] <dlongley>	"The design of any data model and format should guard against the unwanted leakage of such data." + a deliverable of core vocabs = we are covered
[Tue 11:19:16] <bsletten>	Manu: If the comments drop off by the end of April, we can decide we can go forward. You still have four weeks.
[Tue 11:19:40] <ShaneM>	there is also a couple of use cases that explicitly require the ability to only disclose the attributes that are needed for a transaction.
[Tue 11:19:43] <bsletten>	Manu: Any other comments on the charter? Anything that is missing that clearly needs to be put in there?
[Tue 11:19:51] *	dezell congratulates the group on this work.
[Tue 11:20:01] <dezell>	q?
[Tue 11:20:01] <voip-vctf>	The speaker queue is empty.
[Tue 11:20:05] <dezell>	q+
[Tue 11:20:05] <voip-vctf>	dezell has been added to the queue: dezell
[Tue 11:20:07] <ShaneM>	But I agree that there is potential for leakage / unintentional disclosure of traceable information.
[Tue 11:20:26] <dlongley>	also: "From a privacy perspective it is important that information that is intended to remain private is handled appropriately."
[Tue 11:21:46] <manu>	Topic: Use Cases Document
[Tue 11:22:04] *	erkorb_rm (~eric.korb@public.cloak) has joined #vctf
[Tue 11:22:13] <bsletten>	ShaneM: We got some feedback on the document. It was all reasonable editorial stuff. We got a set of questions from Ian that I attempted to address.
[Tue 11:22:15] <ShaneM>	https://lists.w3.org/Archives/Public/public-webpayments-ig/2016Mar/0012.html
[Tue 11:22:27] <manu>	use cases are here: http://w3c.github.io/webpayments-ig/VCTF/use-cases/
[Tue 11:23:01] <bsletten>	ShaneM: He pointed out some wording issues and inconsistencies. He also asked a question about a fundamental of a tenet of the requirements that we put forth in the Use Cases. I wanted to touch on it here to see if I have the right understanding.
[Tue 11:24:24] <burn>	q+ on transformability of claims
[Tue 11:24:24] <voip-vctf>	burn has been added to the queue: dezell, burn
[Tue 11:24:39] <manu>	ack dezell 
[Tue 11:24:39] <voip-vctf>	dezell has the floor.
[Tue 11:24:51] <bsletten>	ShaneM: [Reads from the Jane alcohol purchase use case] Ian: "This seems hard to handle in general. How do you allow people to ask questions that allow people to ask arbitrary questions about arbitrary attributes."
[Tue 11:25:02] <ottonomy>	We cannot expose only certain attributes of a claim without invalidating the signature
[Tue 11:25:22] <manu>	That's not necessarily true, ottonomy - but we don't want to use the tech that allows for that, imho.
[Tue 11:25:42] <ottonomy>	Ok, granted. :)
[Tue 11:25:47] <bsletten>	ShaneM: I don't think this is a Use Case issue, but do we want to allow individual attributes to be asked for and how does that impact the signature/verifiability of the claims?
