[Tue 11:06:00] <manu>	Agenda: https://lists.w3.org/Archives/Public/public-webpayments-ig/2016Mar/0059.html
[Tue 11:06:47] <gkellogg>	scribe: gkellogg
[Tue 11:06:01] *	ShaneM and muted
[Tue 11:06:47] <gkellogg>	manu: talking about W3C meeting and SpecOps.
[Tue 11:07:12] <manu>	Topic: Introduction to Todd Albers
[Tue 11:07:24] <voip-vctf>	Matt Stone [SIP/sip.linphone.org-000009c1] has joined the conference.
[Tue 11:07:29] *	manu Todd Albers?
[Tue 11:07:45] <voip-vctf>	12125583175 [SIP/69.65.34.216-000009c2] has joined the conference.
[Tue 11:07:48] <gkellogg>	todd_a: I’m Todd Albers, work for US Federal Reserve Bank. I’m interested in the different use cases as it relates to credentials.
[Tue 11:08:08] <voip-vctf>	Carla Casilli [SIP/sip2sip.info-000009c3] has joined the conference.
[Tue 11:08:14] <gkellogg>	… My background is in web apps and have worked in SaaS with credit cards.
[Tue 11:08:42] *	CarlaCasilli (~CarlaCasilli@public.cloak) has joined #vctf
[Tue 11:08:50] <voip-vctf>	Carla Casilli [SIP/sip2sip.info-000009c3] has left the conference.
[Tue 11:09:00] <manu>	voip: connections?
[Tue 11:09:00] <voip-vctf>	Conference participants are: ColleenKennedy [SIP/69.65.34.216-000009b4], Gregg Kellogg [SIP/10.0.1.174-000009b5], DanBurnett [SIP/69.65.34.216-000009b6], Dave Longley [SIP/6002-000009b7], Manu Sporny [SIP/6000-000009b8], Rob Trainer [SIP/108.40.126.181-000009ba], Todd [SIP/69.65.34.216-000009b9], EricKorb [SIP/69.65.34.216-000009bc], Shane McCarron [SIP/Callcentric.com-000009be], RichardVarn [SIP/69.65.34.216-000009bf], Matt Stone
[Tue 11:09:00] <voip-vctf>	[SIP/sip.linphone.org-000009c1], 12125583175 [SIP/69.65.34.216-000009c2].
[Tue 11:09:02] <voip-vctf>	Carla Casilli [SIP/sip2sip.info-000009c5] has joined the conference.
[Tue 11:09:23] <manu>	Topic: W3C Advisory Committee Summary
