[Tue 11:04:25] <manu>	Agenda: https://lists.w3.org/Archives/Public/public-webpayments-ig/2016Apr/0035.html
[Tue 11:04:58] <manu>	scribe: burn
[Tue 11:05:33] <voip-vctf>	David I. Lehn [SIP/6003-000000d1] has joined the conference.
[Tue 11:05:35] <burn>	manu:  (reviews agenda)
[Tue 11:06:43] <manu>	Topic: Introductions to New Participants
[Tue 11:06:44] <burn>	manu:  United Nations meeting happening soon that we'll hear an update on.  That's the only addition I have to the agenda.
[Tue 11:07:11] <burn>	manu:  New participant from Estonian government.
[Tue 11:07:25] *	dlongley Kaspar is speaking
[Tue 11:08:19] <burn>	korjus:  Started program 18 months ago to give digital identities to everyone internationally who wants one.  Have done this domestically for 15 years.  Already have prescriptions, many other areas using digital ids.  Over 10000 eResidents so far.
[Tue 11:08:46] <burn>	... most from Asia so far.  Used heavily to be able to run businesses remotely.
[Tue 11:10:01] <voip-vctf>	Eric Korb [SIP/sip.linphone.org-000000d2] has joined the conference.
[Tue 11:10:08] <voip-vctf>	Eric Korb [SIP/sip.linphone.org-000000d2] has left the conference.
[Tue 11:10:27] <burn>	... Have experience with both problem and solution.  Want to share eResident information (if permission given) to other service providers (PayPal, BrainTree).  Here to learn more about what W3C is doing and how to use existing platforms and standards, as well as to give feedback on what Estonia has done.
[Tue 11:11:05] <burn>	manu:  Estonia is the leader in government-supplied e-identities, FYI.
[Tue 11:11:17] <manu>	Topic: United Nations ID2020 Initiative
[Tue 11:12:02] <manu>	https://github.com/WebOfTrustInfo/rebooting-the-web-of-trust
[Tue 11:12:59] <burn>	Allen:  In "rebooting web of trust", top crypto people looked at what decentralized identity means.  The ID2020 people were there a year ago and proposed a UN event.  It will be on May 20th.  First digital identity summit at UN.
[Tue 11:13:41] <burn>	... one-day event.  Not a design workshop, but followed by a 2-day design workshop to look at use cases from the policy people the prior day.
[Tue 11:14:00] <manu>	ID2020 Design Workshop: http://www.weboftrust.info/
[Tue 11:14:08] <burn>	Allen: There are 1.8 billion people without any form of identity, and the ID2020 people want to be able to provide that for them.
[Tue 11:15:47] <burn>	... One concern raised is abuse within or across countries where privacy is not paramount.  Also, many approaches rely on biometrics or other info tightly tied to individuals.  Just some perspectives being considered.
[Tue 11:16:41] <burn>	... One expected topic is something like verified credentials.
[Tue 11:16:53] <ChristopherA>	www.weboftrust.info
[Tue 11:17:00] <burn>	manu:  May 20th for the ID2020, then 21-22 for design summit
[Tue 11:17:13] <manu>	http://id2020summit.org/
[Tue 11:18:15] <burn>	christopherA: Working with Blockscreen (?), have recently joined W3C.  Interested in payments, other blockchain protocols.
[Tue 11:18:32] <burn>	manu:  who can come to summit and workshop?
[Tue 11:19:19] <burn>	allen:  need to apply at the summit website since attendance is limited.  The workshop requires a one or two page position/problem/solution paper to be submitted.
[Tue 11:19:58] <burn>	Kaspar:  I was invited but could not attend.  Aman Kumar will be there and can talk about eResident program.
[Tue 11:20:03] <ChristopherA>	I will also be at IIW next week.
[Tue 11:20:21] <ChristopherA>	I would be glad to meet with anyone. Unconference, so easy to meet.
[Tue 11:20:26] <burn>	manu:  Christopher and Drummond will be at IIW.
[Tue 11:20:35] <manu>	Topic: Review of Questionnaire Responses
[Tue 11:20:48] <manu>	https://docs.google.com/forms/d/1wS32QHfxeqVu32LyZt57fVjqnywdET2ytLcaHhVxbFY/viewform?c=0&w=1
[Tue 11:21:05] *	dezell started his questionnaire, but rebooted his laptop inadvertantly... starting over.
[Tue 11:21:17] <burn>	manu:  Please fill out this questionnaire if you haven't and want this work to proceed.
[Tue 11:21:45] <burn>	... if we do not get enough people the work will not start.
[Tue 11:22:46] <burn>	... we have asked around 65 people in this space already and have gotten 24 responses so far.  We are hoping for 50 responses total at least. Will be sending two more reminders.
[Tue 11:23:39] <burn>	... Feedback from payment/financial companies, educational sector, federal governments so far.  Heavy on education but could use more!
[Tue 11:24:11] <manu>	We asked "The Verifiable Claims Problem Statement is accurate" - 64% strongly agreeing, 36% mostly agreeing
[Tue 11:24:13] <burn>	... (Manu summarizes results for each question and will post into IRC)
[Tue 11:24:39] <manu>	We asked "The Goals proposed by the Verifiable Claims work are good goals to pursue": 72% strongly agreeing, 28% mostly agreeing
[Tue 11:25:06] <manu>	We asked "The Scope of Work and Deliverables would help address the Problem Statement": 32% strongly agree, 68% mostly agreeing
[Tue 11:25:25] <burn>	q+
[Tue 11:25:25] <voip-vctf>	burn has been added to the queue: burn
[Tue 11:25:53] <manu>	We asked "My organizations verifiable claims problems would be addressed if the use cases in the Use Cases document were addressed" 28% strongly agreeing, 48% mostly agreeing, 12% neutral, 4% mostly disagreeing, other
[Tue 11:26:16] <manu>	ack burn
[Tue 11:26:16] <voip-vctf>	burn has the floor.
[Tue 11:26:44] <dezell>	q+ to talk about the ISO29000 work.
[Tue 11:26:44] <voip-vctf>	dezell has been added to the queue: dezell
[Tue 11:27:14] <manu>	burn: seeing strongly agreeing and mostly agreeing is good - but it's obvious on the third question that there was a reversal - first two, predominantly, but that dropped to scope of work and deliverables - haven't seen results from the questionnaire - why do people feel scope of work and deliverables didn't get "strongly agree".
[Tue 11:27:21] <manu>	q+ to respond to why reversal happened.
[Tue 11:27:21] <voip-vctf>	manu has been added to the queue: dezell, manu
[Tue 11:27:23] <manu>	ack dezell 
[Tue 11:27:23] <voip-vctf>	dezell has the floor (to talk about the ISO29000 work.).
