[Tue 11:04:51] <NateOtto>	scribe: NateOtto
[Tue 11:05:00] <manu>	Agenda: https://lists.w3.org/Archives/Public/public-webpayments-ig/2016May/0009.html
[Tue 11:05:33] <NateOtto>	manu: Introduction to new participant, then go through deliverables and their status.
[Tue 11:06:00] <NateOtto>	manu: As some of you may have heard, we're currently talking with the credentials transparency initiative about some naming conflicts, but we'll delay putting that on the agenda until next week.
[Tue 11:06:07] *	manu NateOtto - reminder to put persons "name: what they said"
[Tue 11:06:14] <NateOtto>	manu: Any other items for the agenda to discuss today?
[Tue 11:06:27] <manu>	Topic: Introduction to Alok from Cambridge Blockchain
[Tue 11:06:43] *	manu Cambridge Blockchain
[Tue 11:08:07] <NateOtto>	Alok: I work for a company called Cambridge Blockchain; young company in the identity space. Our CTO has a lot of experience in blockchain as well as identity. He's not able to participate. I'm looking to participate in this primarily to learn about the push to standardize how identity is used on the Internet. I have a very limited background in identity and crypto. I have about 12 yrs experience designing/building/marketing telecom systems. Role at Cambridge Blockchain is VP of Product.
[Tue 11:08:15] <NateOtto>	manu: Welcome to the group, Alok
[Tue 11:08:22] <manu>	Topic: Review of Survey Status
[Tue 11:08:30] <manu>	http://manu.sporny.org/tmp/vctf/VerifiableClaimsResponses-2016-05-06.png
[Tue 11:08:33] <NateOtto>	manu: Next up on the agenda is a review of the survey status. Here is an image capture of the survey results.
[Tue 11:08:45] <NateOtto>	manu: We'll clean this up and put it into an HTML page at some point.
[Tue 11:08:52] *	bsletten (~bsletten@public.cloak) has joined #vctf
[Tue 11:09:42] <NateOtto>	manu: We have a very healthy number of responses at this point. We asked about 83 people to respond. That number of people responding is a good sign. We have responses from the financial sector, the education sector, healthcare, government, national institutions, NGOs, entertainment industry, mobile vendors. A very healthy set of people across multiple market vertcals.
[Tue 11:09:43] <voip-vctf>	Matt Stone [SIP/sip.linphone.org-000001c3] has joined the conference.
[Tue 11:09:50] <NateOtto>	manu: I'm going to start going down from the top.
[Tue 11:10:06] <NateOtto>	manu: Very good support for the problem statement.
[Tue 11:10:21] <NateOtto>	manu: Up to around 96% positively responding that the goals are good to pursue.
[Tue 11:10:53] <NateOtto>	manu: This is really good, because it means we have the language on the problem we're trying to address in the goals and scope of work down really well.
[Tue 11:11:16] <NateOtto>	manu: We asked if people's verifiable claims problems would be addressed if the use cases proposed were expressed.
[Tue 11:11:44] <NateOtto>	manu: we really limited, narrowed the use cases to ensure we had a narrow scope. Most people thought that more needed to be done beyond these to fully meet their needs.
[Tue 11:12:20] <NateOtto>	manu: We limited use cases because large scopes make people nervous, that you won't be able to achieve, or they would have too broad reaching grant of patent rights.
[Tue 11:12:47] <NateOtto>	manu: We asked if people would join and participate, and 44% of respondants said that they would join and partcipate in the work.
[Tue 11:13:16] <NateOtto>	manu: 34% put themselves as other in this space. They would mostly like to participate but don't know if they have the bandwidth right now.
[Tue 11:13:47] <NateOtto>	manu: We definitely have 16, and potentially 4-5 more if they find the time.
[Tue 11:13:59] <NateOtto>	manu: And typically as these things get officially started more orgs join up.
[Tue 11:14:11] <NateOtto>	manu: We did get some feedback that they would like to see more incubation of the work.
[Tue 11:14:22] <NateOtto>	manu: Some because they didn't see a specification, they weren't sure about the architecture...
[Tue 11:14:59] <NateOtto>	manu: We did speak with the Web Payments IG. We're getting close to the question of whether the WPIG would support the work going forward. One of the big questions is if the specification is created, who is going to implement it into their products.
[Tue 11:15:11] <NateOtto>	manu: We're going to go around calling people to see if we can put them down as implementers.
[Tue 11:15:33] <NateOtto>	manu: We're doing good with the survey. We found some other items that we have to create to make sure the vote goes well.
[Tue 11:15:38] <jasonweaver>	are more responses desired?
[Tue 11:15:43] <NateOtto>	manu: Any questions on survey status or where we are with the survey?
[Tue 11:16:20] <NateOtto>	manu: Are more responses desired? Yeah. If you haven't taken the time to fill out the survey, please do it. If you know an organization who really should have filled out the survey, get them to fill it out as soon as possible.
