[Tue 11:05:37] <manu>	Agenda: https://lists.w3.org/Archives/Public/public-webpayments-ig/2016May/0045.html
[Tue 11:08:50] <gkellogg> scribe: gkellogg
[Tue 11:06:01] *	jlaw (~jlaw@public.cloak) has joined #vctf
[Tue 11:07:56] <manu>	Topic: Introduction to New Participants
[Tue 11:08:13] *	dduane (~dduane@public.cloak) has joined #vctf
[Tue 11:08:21] *	dlongley name, org, why you're interested in the call
[Tue 11:08:34] *	manu Kiara Robles
[Tue 11:08:50] <gkellogg>	kiara: I’m interning at BlockChain; I’ve been involved with the design workshop and 2020; hoping to attened MIT workshop.
[Tue 11:08:57] *	dlongley Adam Lake, Digital Bazaar
[Tue 11:09:03] <gkellogg>	Adam: started with Digital Bazaar last week.
[Tue 11:09:39] <gkellogg>	dcrocker: I’ve been working on internet protocols and architecture for a long time, mostly email. Went to New York and found myself interested in your architecture and ways to improve it.
[Tue 11:10:00] <voip-vctf>	Shane McCarron [SIP/callcentric.com-000002d1] has left the conference.
[Tue 11:10:11] <voip-vctf>	Matt Stone [SIP/sip.linphone.org-000002e4] has joined the conference.
[Tue 11:10:12] <gkellogg>	Andrieu: I came because of IIW; I’m between startups but writing a book on requirements modeling.
[Tue 11:10:21] *	stone (~stone@public.cloak) has joined #vctf
[Tue 11:10:30] <gkellogg>	… The UN summit made me think I might have something to contribut here.
[Tue 11:10:39] <voip-vctf>	Shane McCarron [SIP/callcentric.com-000002e5] has joined the conference.
[Tue 11:10:49] <ShaneM>	voip: 2e5 is ShaneM
[Tue 11:10:49] <voip-vctf>	Associated ShaneM with SIP/callcentric.com-000002e5.
[Tue 11:11:10] <gkellogg>	madlin: I’m on the Accelerate team on the DHS SIR team on blockchain-based identity. I’ve been working a long time in government standards.
[Tue 11:11:26] <gkellogg>	… I spend most of my time working on cyber-security standards for fed and state governments
[Tue 11:11:52] <gkellogg>	Drummond: I’m founder of Respect Network; we were awarded a DHS grant on blockchain identityh.
[Tue 11:12:19] <gkellogg>	jLaw: Building a distributed legister dedicated to distributed identity.
[Tue 11:12:55] <gkellogg>	bonomo: I’m an independent consultant focusing on Block Chain and working on standards.
[Tue 11:13:19] <manu>	Topic: Self-Sovereign Identity Architecture
[Tue 11:13:49] <gkellogg>	manu: for the past 4 years, starting in WPCG, we’ve been talking about identity and exchanging claims (“attestations”)
[Tue 11:14:21] <gkellogg>	… These concepts have been around for a while, and been in the “Identity Ecosystem” over the last 10-15 years. Mainly in IIW and other forums.
[Tue 11:14:59] <gkellogg>	… Recently, it’s been called “self-soverign identity”. At the ID2020 event and rebooting web-of-trust workship, the concept of an architecture surfaced again.
[Tue 11:15:39] <gkellogg>	… During this, dcrocker and others took a look at our work. We’re going to show the W3C members in a couple of months, so we’re trying to get it in good shape. It’s not done, but it’s a first cut.
[Tue 11:15:59] <gkellogg>	… We need to quickly come to conensus.
[Tue 11:16:32] <gkellogg>	dcrocker: I want to stress my own view of archiecture diagrams is that they need to be simple and easy to understand.
[Tue 11:16:41] <gkellogg>	… Ballancing this, they need to be complete enough.
[Tue 11:17:05] <gkellogg>	… On average, diagrams are overly complicated. I was delighted with the diagrams from this work.
[Tue 11:17:40] <manu>	This is the paper that we submitted to the ID2020 Design Workshop: https://github.com/WebOfTrustInfo/ID2020DesignWorkshop/blob/master/topics-and-advance-readings/a-self-sovereign-identity-architecture.pdf
[Tue 11:17:41] <gkellogg>	… In the NY discussion, we looked at ways to enhance it (not replace). We explored this over hours and Manu circulated some diagrams based on these talks.
[Tue 11:18:19] <gkellogg>	… I realized that no where in the diagrams is there an indication of the identiy itself. Maybe there shouldn’t be, but we should think about that.
[Tue 11:18:55] <manu>	Here are the documents that we worked on at ID2020 - again *VERY PRELIMINARY / JUST FOR DISCUSSION*
