[Tue 11:05:29] <manu>	Agenda: https://lists.w3.org/Archives/Public/public-webpayments-ig/2016Jul/0056.html
[Tue 11:05:30] <voip-vctf>	14105315457 [SIP/69.65.34.216-00000561] has joined the conference.
[Tue 11:05:32] <voip-vctf>	Matthew Larson [SIP/sip.linphone.org-00000562] has joined the conference.
[Tue 11:05:33] <voip-vctf>	Jim Goodell [SIP/192.168.2.8-00000563] has joined the conference.
[Tue 11:05:48] <NateOtto>	scribe: NateOtto
[Tue 11:05:59] <voip-vctf>	Jim Goodell [SIP/192.168.2.8-00000563] has left the conference.
[Tue 11:06:03] <manu>	voip: 561 is LesChasen
[Tue 11:06:03] <voip-vctf>	Associated LesChasen with SIP/69.65.34.216-00000561.
[Tue 11:07:01] <NateOtto>	manu: On the Agenda today: Dissenting opinions have become public on the verifiable claims stuff; Some discussion on JOSE/JWT; Verifiable Claims Working Group F2F agenda prepping for success if it's approved; Any other business, including how we might coordinate with rebooting web of trust workshop and Internet Identity Workshop.
[Tue 11:07:07] *	JimG (~JimG@public.cloak) has joined #vctf
[Tue 11:07:09] <NateOtto>	manu: Any updates/ changes to the agenda?
[Tue 11:07:20] <manu>	Topic: Review All Dissenting Opinions
[Tue 11:07:26] *	stone (~stone@public.cloak) has joined #vctf
[Tue 11:07:57] <NateOtto>	manu: The good news as of two weeks ago was that Web Payments IG decided to push VCTF charter / entire proposal onto W3C Management to approve and send to W3C membership for a vote
[Tue 11:08:05] <voip-vctf>	Shane McCarron [SIP/callcentric.com-00000565] has joined the conference.
[Tue 11:08:11] <ShaneM>	present+ ShaneM
[Tue 11:08:12] <NateOtto>	manu: IG Passed it almost unanimously; there were three dissenting opinions
[Tue 11:08:35] <NateOtto>	manu: One came from Microsoft, strong; One came from Google, not as strong, around process/incubation; 3rd one came from W3C Staff that they couldn't support the charter as is.
[Tue 11:08:47] <NateOtto>	manu: Now that the minutes are public we can talk more about each company's objection
[Tue 11:08:52] <voip-vctf>	15087286074 [SIP/69.65.34.216-00000566] has joined the conference.
[Tue 11:08:58] <voip-vctf>	Matt Stone [SIP/sip.linphone.org-00000567] has joined the conference.
[Tue 11:09:26] <NateOtto>	manu: Microsoft: Mike Champion said MS's opinion is that the work is unnecessarily, overlaps too heavily with JOSE/JWT work; There are plenty of ways to express claims out there.
[Tue 11:10:15] <NateOtto>	manu: This was repeated at the blockchains/identity workshop where several MS employees expressed they hadn't heard from any of their clients that this was necessary. They expect industry verticals to figure out making claims work across those verticals instead of standardization.
[Tue 11:10:35] <NateOtto>	manu: There were also a few process concerns about whether this was incubated long enough and had enough cross-pollenation with JWT work.
[Tue 11:11:10] <NateOtto>	manu: This opinion is not unversally held across the Microsoft organization. But the people who are speaking up against the work have been heavily involved in JOSE/JWT work.
[Tue 11:11:15] <NateOtto>	manu: Any questions on MS's position?
[Tue 11:11:31] <NateOtto>	Drummond: Is there a particular opponent at Microsoft we should be aware of?
[Tue 11:11:58] <NateOtto>	manu: I think most of this is coming from Anthony Natalin (sp)? Mike Champion is largely repeating his concerns.
[Tue 11:12:13] <NateOtto>	manu: We are trying to set up a call with Anthony to see if we can get around this objection.
[Tue 11:12:31] <NateOtto>	manu: Mainly, what they're saying: whatever you build, you should just build it on top of JOSE/JWT
[Tue 11:12:38] <Erik>	JOSE/JWT doesnt support linked data. It must all be embedded in the JWT.
[Tue 11:12:55] <NateOtto>	manu: And just build it for the education sector, because that's who we have in the group
[Tue 11:13:29] <NateOtto>	manu: As Erik has pointed out, JWT isn't a perfect fit with Linked Data. Some financial services organizations and others in non-education verticals are pushing for a non-JWT solution
[Tue 11:13:36] <burn>	q+
[Tue 11:13:36] <voip-vctf>	burn has been added to the queue: burn
[Tue 11:13:53] <NateOtto>	manu: Also, you can use JOSE/JWT in the suggested spec, it's up to an industry vertical about what they want to use
[Tue 11:14:17] <NateOtto>	Drummond: I'm surprised, because when I met with Kim Cameron (sp), sounds like there was support within Microsoft
[Tue 11:14:28] <NateOtto>	manu: Sounds like Mike is unaware of Kim's position on this
[Tue 11:14:31] <burn>	q-
[Tue 11:14:31] <voip-vctf>	burn has been removed from the queue:
[Tue 11:14:46] <NateOtto>	manu: We should get them talking to one another; this might be enough to remove Microsoft's objection to the work
[Tue 11:15:37] *	Erik Opinions at large companies vary. Same in Microsoft.
