[Tue 11:04:03] <ShaneM>	Scribe: ShaneM
[Tue 11:04:13] <manu>	Agenda: https://lists.w3.org/Archives/Public/public-webpayments-ig/2016Sep/0003.html
[Tue 11:04:40] *	stone_ (~stone@public.cloak) has joined #vctf
[Tue 11:04:54] <voip-vctf>	Matt Stone [SIP/sip.linphone.org-000001c4] has joined the conference.
[Tue 11:06:07] *	sohkai (~sohkai@public.cloak) has joined #vctf
[Tue 11:06:13] *	les (~les@public.cloak) has joined #vctf
[Tue 11:06:33] <ShaneM>	Topic: Quick introduction from Pindar Wong
[Tue 11:06:53] <manu>	Pindar: Chairman of VeriFi Hong Kong
[Tue 11:06:56] <voip-vctf>	17278084918 [SIP/69.65.34.216-000001c7] has joined the conference.
[Tue 11:07:06] <voip-vctf>	14105315457 [SIP/69.65.34.216-000001c8] has joined the conference.
[Tue 11:07:07] <ShaneM>	... Long standing member of the Web Payments community group.  Interest here is convergence of Verifiable Claims and Blockchain stuff in Hong Kong.
[Tue 11:07:08] <ShaneM>	... Also interested in eid.cn
[Tue 11:07:15] <ShaneM>	Topic: F2F Meeting at IIW
[Tue 11:07:28] *	dezell (~dezell@public.cloak) has joined #vctf
[Tue 11:07:34] <manu>	voip: 1c7 is DavidEzell
[Tue 11:07:34] <voip-vctf>	Associated DavidEzell with SIP/69.65.34.216-000001c7.
[Tue 11:07:45] <manu>	voip: 1c8 is LesChasen
[Tue 11:07:45] <voip-vctf>	Associated LesChasen with SIP/69.65.34.216-000001c8.
[Tue 11:08:02] <ShaneM>	Manu: F2F meeting scheduled.
[Tue 11:08:13] <manu>	https://lists.w3.org/Archives/Public/public-credentials/2016Aug/0115.html
[Tue 11:08:19] <ShaneM>	... going to miss a couple of people because of various conflicts.
[Tue 11:08:31] *	pindarhk (~sid105966@public.cloak) has joined #vctf
[Tue 11:08:40] <ShaneM>	... Coinciding with IIW.  Oct 27 and 28.  Last day of IIW and the Friday.
[Tue 11:09:05] <ShaneM>	... Thanks to IIW people.  They are excited to have us there.  We are excited to be there.  Lots of common interests.
[Tue 11:09:14] <ChristopherA>	Also, #RebootingWebOfTrust is three days before http://www.weboftrust.info/
[Tue 11:09:27] <ShaneM>	Manu: they will be providing food etc.  All you need to do is buy a ticket.  There is a discount code there.  Use the links in the email to register.
[Tue 11:09:57] <ShaneM>	...Before IIW is the rebooting web of trust workshop.  1.5 weeks of claims / identity / blockchain stuff.  Good opportunity.
[Tue 11:10:11] <pindarhk>	Will it be livestreamed?
[Tue 11:10:20] <ChristopherA>	No.
[Tue 11:10:24] <pindarhk>	ok, thanks
[Tue 11:11:03] <ShaneM>	Manu: the thing we need to do by the time this rolls around is have the agenda down and presenters sorted.
[Tue 11:11:12] <ShaneM>	... Right now it will be open to the public.  No W3C Working Group yet.
[Tue 11:11:39] <voip-vctf>	Matt Stone [SIP/sip.linphone.org-000001c9] has joined the conference.
[Tue 11:11:54] *	les has quit ("Page closed")
[Tue 11:12:02] <burn>	is there any chance for remote participation for the two days of VCTF?
[Tue 11:12:04] *	les (~les@public.cloak) has joined #vctf
[Tue 11:12:07] <ShaneM>	Manu: Focus upon technical work.  We do have a 1 day F2F agenda so far.  Hoping to have 1.5 days through Friday at 3 PM so people can fly out on the Friday.
[Tue 11:12:31] <ShaneM>	manu: will try to have dial in numbers.  It may not be possible.  We don't know yet.
[Tue 11:12:39] <stone>	Ironic that connectivity is problematic...
[Tue 11:12:48] <ubiquitous>	google hangouts?
[Tue 11:13:06] <ChristopherA>	They don't have great connectivity unless the conferences pays a lot extra for it.
[Tue 11:13:14] <voip-vctf>	Rob Trainer [SIP/71.121.234.111-000001ca] has joined the conference.
[Tue 11:13:26] <ShaneM>	manu: the issue is not whether we want to do it.  We could set up something but connectivity can be a problem.
[Tue 11:13:41] <voip-vctf>	Rob Trainer [SIP/71.121.234.111-000001ca] has left the conference.
[Tue 11:13:58] *	Rob_Trainer (~Rob_Trainer@public.cloak) has joined #vctf
[Tue 11:13:58] <dcrocker>	404 on charter link:  The W3C page for this task force includes a link to the "widely socialized" charter that doesn't work: https://w3c.github.io/webpayments-ig/VCTF/charter/vcwg-draft.html
[Tue 11:14:49] <manu>	Dave Crocker, Sorry, this is the latest one - https://w3c.github.io/webpayments-ig/VCTF/charter/rc-2.html
[Tue 11:14:02] <manu>	Topic: Verifiable Claims Implementations to Demo
[Tue 11:14:29] <ShaneM>	ChristopherA: One of the goals of RWOT is to initially replicate what PGP does as far as web of trust is concerned.
[Tue 11:14:41] <ShaneM>	... with more modern technolgies / approaches.
[Tue 11:14:50] <ShaneM>	... One thing that PGP does is establish a peer chain.
[Tue 11:15:38] <ShaneM>	... we would like to get that implemented with some kind of self-signed claim.  Demonstrate validity.  Then talk about more difficult things like trust anchors, chain points, and other things that we would like to propose during RWOT
[Tue 11:16:15] <voip-vctf>	Rob Trainer [SIP/71.121.234.111-000001cb] has joined the conference.
[Tue 11:16:16] <ShaneM>	...  I have raised a little bit of funds.. there might be some interest.  if other people have time available or want to participate in different ways let ChristopherA know.
[Tue 11:16:24] <ShaneM>	... goal is a quick hack of self signed claims and peer attestations.
[Tue 11:16:37] <agropper>	I am interested
[Tue 11:16:42] <voip-vctf>	Rob Trainer [SIP/71.121.234.111-000001cb] has left the conference.
[Tue 11:16:42] <ubiquitous>	Perhaps post a note in https://www.w3.org/community/rww/ also - as it's a complimentary group, with additional people who are aware of linked-data
[Tue 11:16:52] <dlongley>	if we have time we can throw something together
[Tue 11:16:53] <ShaneM>	manu: anyone interested in doing thinking or implementation work?
[Tue 11:17:11] <ShaneM>	manu: digital bazaar is notionally interested.  Happy to help out.
[Tue 11:17:27] <ShaneM>	ShaneM: Spec-Ops is interested...
[Tue 11:17:27] <ChristopherA>	Thank you!
[Tue 11:18:05] <ShaneM>	manu: this is all to the good.  We need implementations for VC... and this is part of it,.
[Tue 11:18:08] <manu>	Topic: Verifiable Claims RC-2 Draft Charter Feedback
