[Tue 11:05:09] <manu>	Agenda: https://lists.w3.org/Archives/Public/public-webpayments-ig/2016Oct/0012.html
[Tue 11:05:10] <dlongley>	scribe: dlongley
[Tue 11:05:52] <dlongley>	manu: We've got very good news. The VC work is progressing at W3C in an official capacity now. We need to cover an after action report for everyone not at TPAC. We will also remind folks to register for the F2F meeting, early bird registration ends in 2 days, costs go up considerably after that.
[Tue 11:05:52] <voip-vctf>	Shane McCarron [SIP/callcentric.com-000002cc] has joined the conference.
[Tue 11:05:56] <ShaneM>	present+ ShaneM
[Tue 11:06:19] <dlongley>	manu: We need to cover the F2F agenda and get commitments for people to present and we will want to dive into presentations. Ideally we want them done in ~10 days.
[Tue 11:06:27] <dlongley>	manu: In mid october, roughly.
[Tue 11:06:27] <voip-vctf>	15308203418 [SIP/69.65.34.216-000002cd] has joined the conference.
[Tue 11:06:33] <dlongley>	manu: Any other changes or updates to the agenda?
[Tue 11:06:43] <voip-vctf>	15308203418 [SIP/69.65.34.216-000002cd] has left the conference.
[Tue 11:06:55] <dlongley>	none
[Tue 11:06:55] <manu>	Topic: After Action Report - W3C TPAC
[Tue 11:07:01] <manu>	https://lists.w3.org/Archives/Public/public-webpayments-ig/2016Oct/0011.html
[Tue 11:07:11] <voip-vctf>	15308203418 [SIP/69.65.34.216-000002ce] has joined the conference.
[Tue 11:07:34] <dlongley>	manu: There's a link to the public minutes. In general, the discussions around VC happened in 4 venues. First was a discussion in a breakout session, full room, really good outcome for a breakout session.
[Tue 11:07:44] <voip-vctf>	15413668863 [SIP/69.65.34.216-000002cf] has joined the conference.
[Tue 11:07:47] <manu>	voip: 2ce is BrianSletten
[Tue 11:07:47] <voip-vctf>	Associated BrianSletten with SIP/69.65.34.216-000002ce.
[Tue 11:07:48] <dlongley>	manu: We still haven't gotten minutes up for that yet, hope to do that later on in the week.
[Tue 11:07:55] <manu>	voip: 2cf is NateOtto
[Tue 11:07:56] <voip-vctf>	Associated NateOtto with SIP/69.65.34.216-000002cf.
[Tue 11:08:10] *	Guest (~textual@public.cloak) has joined #vctf
[Tue 11:08:38] <dlongley>	manu: We two sessions in the Web Payments IG that covered VC topic. One minor discussion in the advisory committee forum that happened that is member confidential, can't talk about that on the call, but if you're a W3C member you can read the minutes.
[Tue 11:10:05] *	burn (~burn@public.cloak) has joined #vctf
[Tue 11:10:14] <dlongley>	manu: Web Payments IG met to discuss where the work was going, W3M was there, specifically Wendy Seltzer, she needs to give thumbs up for the work to start. We did the same presentation we did in July to show the rest of the WPIG and bring them up to speed with where we were. Towards the end Wendy noted that she had remaining concerns and she was unconvinced that the work should proceed. When asked for specific concerns she said the security community, in particular, Jeff Hodges from Paypal had concerns. She suggested that the Web App Sec group chime in.
[Tue 11:10:35] <dlongley>	manu: It looked like the work was going to stall. We would continue incubating in this group but it seemed like it was a no go on Thursday.
[Tue 11:10:47] <voip-vctf>	14074213242 [SIP/69.65.34.216-000002d0] has joined the conference.
[Tue 11:11:07] <burn>	voip: 2d0 is DanBurnett
[Tue 11:11:07] <voip-vctf>	Associated DanBurnett with SIP/69.65.34.216-000002d0.
[Tue 11:11:35] <dlongley>	manu: The day after (Friday), the Web App Sec attended the WPIG meeting and it was noted that people thought that they had concerns, and they were asked what the security concerns with the VC work was. The outcome was that they were concerned with the VC work when it was time to integrate with the browser, but since we're not doing that in the charter, they had no concerns with the charter as is.
[Tue 11:12:08] <dlongley>	manu: The Web App Sec WG did not want to be viewed as either an enabler or as a blocker for the work. They said there will be security and privacy review as the work goes along and that's not an issue (and we agreed).
[Tue 11:12:47] <dlongley>	manu: There were concerns with Web App Sec WG saying they agreed to the work starting and then that being used against them in 2 years when integrating with the browser. But that's not what was being discussed, so the result was there was no issues raised by the group.
[Tue 11:13:17] <dlongley>	manu: Wendy then said she would prep a transition to do advanced notice that the work was approved by management and would be going out to the membership.
[Tue 11:13:21] <manu>	https://lists.w3.org/Archives/Public/public-new-work/2016Oct/0001.html
[Tue 11:14:54] <webber>	great news!
[Tue 11:14:56] <dlongley>	manu: To remind of the process -- we've been incubating work for the past few years and the WPIG picked up that work to do due diligence on whether the work should proceed. That work was reviewed during TPAC and the consensus was that it was ready. We are in the charter in development stage right now. There is an advance notice sent out to the W3C membership as a public notice saying that W3M is working on a charter and the AC reps for the 400+ membership gets this. This is a heads up for anyone that cares about standards on the Web that this work is going through the W3C process.
[Tue 11:15:37] <dlongley>	manu: Feedback will be public feedback and W3C member feedback will close out by November, at which point, if there isn't strong concern/push back or scope issues, which we aren't expecting because we've circulated this quite a bit before. THen there will be W3C membership vote probably in November.
[Tue 11:15:43] <dlongley>	manu: The minimum period the vote can run is 4 weeks.
[Tue 11:15:50] <dlongley>	manu: We should expect 4-6 weeks, 8 weeks tops for the vote to be done.
[Tue 11:16:11] <voip-vctf>	14105315457 [SIP/69.65.34.216-000002d2] has joined the conference.
[Tue 11:16:12] <dlongley>	manu: They are doing this on a bit of an accelerated time frame because we've already done a lot of work and circulation (work is well known).
[Tue 11:16:15] <voip-vctf>	14105315457 [SIP/69.65.34.216-000002d2] has left the conference.
[Tue 11:16:15] <voip-vctf>	12143842284 [SIP/69.65.34.216-000002d3] has joined the conference.
[Tue 11:16:16] <voip-vctf>	15308203418 [SIP/69.65.34.216-000002d4] has joined the conference.
[Tue 11:16:23] <ShaneM>	q?
[Tue 11:16:23] <voip-vctf>	The speaker queue is empty.
[Tue 11:16:29] <dlongley>	manu: So this is all great news. I'll stop here if there are any questions on what happened at TPAC or where we are.
[Tue 11:16:33] <dlongley>	manu: Any comments?
[Tue 11:16:57] *	Richard_Varn (~Richard_Varn@public.cloak) has joined #vctf
[Tue 11:16:59] <voip-vctf>	14074213242 [SIP/69.65.34.216-000002d6] has joined the conference.
[Tue 11:17:04] <voip-vctf>	16179245273 [SIP/69.65.34.216-000002d7] has joined the conference.
[Tue 11:17:12] <burn>	voip: 2d6 is DanBurnett
[Tue 11:17:12] <voip-vctf>	Associated DanBurnett with SIP/69.65.34.216-000002d6.
[Tue 11:17:22] *	burn also lost audio
[Tue 11:17:22] <dlongley>	ShaneM: Congrats to the group.
[Tue 11:17:32] <voip-vctf>	14103367698 [SIP/69.65.34.216-000002d8] has joined the conference.
[Tue 11:17:35] *	burn is back now with audio
[Tue 11:17:44] *	dlongley manu^ some people lost audio may want to tell them they can comment/question on what happened at TPAC again
[Tue 11:18:06] <voip-vctf>	16106179300 [SIP/69.65.34.216-000002d9] has joined the conference.
[Tue 11:18:08] <dlongley>	no other comments/questions.
[Tue 11:18:16] <voip-vctf>	15152298984 [SIP/69.65.34.216-000002da] has joined the conference.
[Tue 11:18:25] <dlongley>	manu: We're having a F2F meeting on 27th-28th of October.
[Tue 11:18:25] <voip-vctf>	15413668863 [SIP/69.65.34.216-000002db] has joined the conference.
[Tue 11:18:26] <manu>	Topic: Registering for VC Face-to-Face
[Tue 11:18:35] <manu>	https://lists.w3.org/Archives/Public/public-webpayments-ig/2016Oct/0008.html
[Tue 11:18:36] *	Guest is now known as NateOtto
[Tue 11:18:43] <NateOtto>	voip 02db is NateOtto
[Tue 11:18:48] <NateOtto>	voip:02db is NateOtto
[Tue 11:18:48] <voip-vctf>	Unknown command: is NateOtto
[Tue 11:19:03] <NateOtto>	voip: 02db is NateOtto
[Tue 11:19:03] <voip-vctf>	Associated NateOtto with SIP/69.65.34.216-000002db.
[Tue 11:19:05] <gkellogg>	q+
[Tue 11:19:05] <voip-vctf>	gkellogg has been added to the queue: gkellogg
[Tue 11:19:27] <dlongley>	manu: There is a link in IRC for registering, if you want to be at the F2F please go to the link right now. If you are only going to be at the F2F meeting you only need the one ticket, but if you will be there for all four days please by a regular ticket.
[Tue 11:19:37] <dlongley>	manu: The regular ticket covers the F2F meeting as well.
[Tue 11:19:52] <dlongley>	gkellogg: This is registration for IIW and VC is taking place coincidentally with that. There is no specific VC registration.
[Tue 11:19:56] <dlongley>	gkellogg: Just to clarify.
[Tue 11:20:00] <dlongley>	manu: Correct, we're co-locating with IIW.
