[Tue 11:04:11] <manu>	scribe: ottonomy
[Tue 11:04:22] <burn>	Topic: Agenda Review
[Tue 11:04:35] *	nage (~nathan.george@public.cloak) has joined #vctf
[Tue 11:04:48] <burn>	Agenda is https://lists.w3.org/Archives/Public/public-credentials/2017Jan/0024.html
[Tue 11:04:48] <ottonomy>	burn: comments or suggestions on the agenda?
[Tue 11:04:48] <ottonomy>	No changes.
[Tue 11:04:55] <manu>	Agenda:  https://lists.w3.org/Archives/Public/public-credentials/2017Jan/0024.html
[Tue 11:04:56] <voip-vctf>	nage [SIP/sip2sip.info-0000006f] has joined the conference.
[Tue 11:05:06] <burn>	Topic: Status of Verifiable Claims WG Vote
[Tue 11:05:24] <ottonomy>	burn: Manu, can you give us an update on the Working Group vote status?
[Tue 11:05:35] <voip-vctf>	Unknown [SIP/69.65.34.216-00000070] has joined the conference.
[Tue 11:05:40] *	dezell (~dezell@public.cloak) has joined #vctf
[Tue 11:05:48] <ottonomy>	manu: The vote is over; we did well. The W3C staff is now talking to the organizations that formally objected. They asked for some information from us, particularly around privacy.
[Tue 11:05:56] <JoeAndrieu>	voip: 06f is JoeAndrieu
[Tue 11:05:56] <voip-vctf>	Associated JoeAndrieu with SIP/sip2sip.info-0000006f.
[Tue 11:06:12] <voip-vctf>	16179245273 [SIP/69.65.34.216-00000071] has joined the conference.
[Tue 11:06:16] <ottonomy>	manu: Have we responded to privacy concerns, will we continue to respond etc. We sent them a list of links going back to 2011 where we have worked to address privacy concerns.
[Tue 11:06:28] <ottonomy>	manu: Don't know when this process will be over.
[Tue 11:06:57] <manu>	voip: 0071 is AdrianGropper
[Tue 11:06:57] <voip-vctf>	Associated AdrianGropper with SIP/69.65.34.216-00000071.
[Tue 11:07:05] <manu>	voip: 0070 is JoeAndrieu
[Tue 11:07:09] <voip-vctf>	Associated JoeAndrieu with SIP/69.65.34.216-00000070.
[Tue 11:07:12] <nage>	voip: 06f is nage
[Tue 11:07:12] <voip-vctf>	Associated nage with SIP/sip2sip.info-0000006f.
[Tue 11:07:13] <manu>	voip: 006f is NathanGeorge
[Tue 11:07:13] <voip-vctf>	Associated NathanGeorge with SIP/sip2sip.info-0000006f.
[Tue 11:07:16] <ottonomy>	burn: Any other questions on the status of the creation of the Verifiable Claims Working Group?
[Tue 11:07:17] <burn>	Topic: Use Cases Narratives and Revocation/Privacy
[Tue 11:07:18] *	manu thx nage :)
[Tue 11:07:23] <voip-vctf>	17278084918 [SIP/69.65.34.216-00000072] has joined the conference.
[Tue 11:07:27] <dezell>	voip:   072 is me
[Tue 11:07:27] <voip-vctf>	Unknown command:   072 is me
[Tue 11:07:29] <burn>	https://github.com/opencreds/vc-use-cases/issues/33
[Tue 11:07:33] <manu>	voip: 0072 is dezell
[Tue 11:07:33] <voip-vctf>	Associated dezell with SIP/69.65.34.216-00000072.
[Tue 11:07:40] *	manu dezell - voipbot hates spaces :P
[Tue 11:07:40] *	dezell I tried!
[Tue 11:07:50] *	manu will have to update the regex.
[Tue 11:07:56] <ottonomy>	burn: We'll time-limit this discussion. Manu and Joe are the two who are going to have the first comments here.
[Tue 11:07:58] <dezell>	Present+ dezell
[Tue 11:08:18] *	MattLarson (~MattLarson@public.cloak) has joined #vctf
[Tue 11:08:26] <voip-vctf>	14105315457 [SIP/69.65.34.216-00000074] has joined the conference.
[Tue 11:08:52] *	les (~les@public.cloak) has joined #vctf
[Tue 11:08:55] <ottonomy>	JoeAndrieu: This started out as simply another way to represent the tasks in the use cases. Specifically to upgrade and expand the "sequences" we have. This is how I do it in my practice. What came out of this exercise for me were some questions about architecture and protocol. These are somewhat outside our charter, but the questions were hard to answer without at least a strawman.
[Tue 11:09:08] <manu>	voip: 0074 is LesChasen
[Tue 11:09:08] <voip-vctf>	Associated LesChasen with SIP/69.65.34.216-00000074.
[Tue 11:09:32] <ottonomy>	JoeAndrieu: From a requirements standpoint, it seemed like a distributed ledger would at some point be necessary, made it seem like an architecture section is necessary
[Tue 11:09:53] <ottonomy>	manu: The idea of converting sequences to essential narratives seems good. Waiting on you, Joe, to take the next step
[Tue 11:10:33] <ottonomy>	manu: On revocation, there has to be some work on the data model side on how to express revocation. Some work has been done on this. Nate Otto (ottonomy) and Badge Alliance/Open Badges have done some work on RevocationLists as one method.
[Tue 11:10:47] <ottonomy>	manu: Do we want as part of the verifiable claims work to specify how revocation is handled?
[Tue 11:11:03] <ottonomy>	manu: One thing we can put in a credential is a "place to look up revocation information".
[Tue 11:11:31] <ottonomy>	manu: One approach is to say this is out of scope, to say that here's a revocation url but it's up to you to figure out what's at the end of that list.
[Tue 11:11:41] <burn>	q+ what do you mean by an object for revocation?
[Tue 11:11:41] <voip-vctf>	burn has been added to the queue: burn
[Tue 11:11:43] <dlongley>	q+ to say that we should specify how to at least express how revocation will work
[Tue 11:11:43] <voip-vctf>	dlongley has been added to the queue: burn, dlongley
[Tue 11:11:59] <ottonomy>	manu: Those are at least two of the questions in front of us about revocation? Do we want to express it in the group / do we specify a specific protocol?
[Tue 11:12:08] <burn>	q?
[Tue 11:12:08] <voip-vctf>	The current speaker queue is: burn, dlongley
[Tue 11:12:17] <ottonomy>	manu: I think you got the descriptions right in the narrative got it right.
[Tue 11:12:59] <burn>	ack burn
[Tue 11:12:59] <voip-vctf>	burn has the floor (what do you mean by an object for revocation?).
[Tue 11:13:08] <ottonomy>	manu: I'll stop there. We have a couple decisions about what we want to support in the group and how far we want to spec this out. My company will be implementing ledger-based revocation and url/http-based revocation in the next 6 months. We'll have experimental proposals for the group to see if they want to bring any of these approaches in.
[Tue 11:13:28] <ottonomy>	burn: Could you say a little bit more about how to point to an external object for revocation?
[Tue 11:13:36] <jonnycrunch>	q+
[Tue 11:13:36] <voip-vctf>	jonnycrunch has been added to the queue: dlongley, jonnycrunch
[Tue 11:14:18] <burn>	ack dlongley
[Tue 11:14:18] <voip-vctf>	dlongley has the floor (to say that we should specify how to at least express how revocation will work).
[Tue 11:14:20] <ottonomy>	manu: In the current certificate authority system we have a system for certificate revocation lists. This is a format for certs that have been revoked by a CA. We're effectively talking about the same thing, so part of this is to see if we can use the same format. Or if a new format that's a better fit for VCs.
[Tue 11:14:24] <ottonomy>	...would be better
[Tue 11:14:59] <burn>	ack jonnycrunch
[Tue 11:14:59] <voip-vctf>	jonnycrunch has the floor.
[Tue 11:15:03] <ottonomy>	dlongley: We shouldn't assume that there is just one way to do revocation. There may be varying needs for different levels of privacy or etc. What we should be able to do is express information in the credential itself to describe what type of revocation method is used.
[Tue 11:15:23] <nage>	+1
[Tue 11:15:29] <amigus>	q?
[Tue 11:15:29] <voip-vctf>	The speaker queue is empty.
[Tue 11:15:33] <amigus>	q+
[Tue 11:15:33] <voip-vctf>	amigus has been added to the queue: amigus
[Tue 11:15:40] <burn>	ack amigus
[Tue 11:15:40] <voip-vctf>	amigus has the floor.
[Tue 11:15:42] <ottonomy>	jonnycrunch: I pitched this to the american board of medical specialities. There's some differences about how this would like to be expressed...
[Tue 11:16:05] <ottonomy>	amigus: I agree with everyone here. I don't think we've done a complete job if we "scope out" revocation. Need to have at least one way in scope for the project.
[Tue 11:16:20] <ottonomy>	burn: I'm not hearing any disagreement with putting revocation into scope.
[Tue 11:16:33] <manu>	q+ to ask Nate his thoughts and scribe for him while he talks.
[Tue 11:16:33] <voip-vctf>	manu has been added to the queue: manu
[Tue 11:16:35] <ottonomy>	burn: I think we knew that anyway, but it's nice to have it reviewed here that we agree that it's in scope.
[Tue 11:16:54] <ottonomy>	manu: I do want to hear from Nathan George and Nate Otto
[Tue 11:17:35] <ottonomy>	manu: The next steps for issue #33 is about converting sequences to essential narratives: Let Joe convert the doc to this format.
[Tue 11:17:47] <ottonomy>	manu: We should take this revocation thing and move it to its own issue.
[Tue 11:18:15] <ottonomy>	manu: We need to create an issue in the data model to add a section on revocation.
[Tue 11:18:21] <ottonomy>	q+
[Tue 11:18:21] <voip-vctf>	ottonomy has been added to the queue: manu, ottonomy
[Tue 11:18:28] <manu>	ack manu
[Tue 11:18:28] <voip-vctf>	manu has the floor (to ask Nate his thoughts and scribe for him while he talks.).
[Tue 11:18:29] <burn>	ack ottonomy
[Tue 11:18:29] <voip-vctf>	ottonomy has the floor.
[Tue 11:18:48] <manu>	ottonomy: Yes, Badge Alliance and Open Badges Spec, moved to IMS Global, we do have a notion of revocation list, and hosted revocation.
[Tue 11:19:27] <manu>	ottonomy: We have two ways of verification of revocation... ID that is HTTP based for revocation... go fetch document, use whatever you found as canonical document, if there is a property revoked=true, then it's been revoked. Most people only publish that property.
[Tue 11:20:07] <burn>	q?
[Tue 11:20:07] <voip-vctf>	The speaker queue is empty.
[Tue 11:20:24] <manu>	ottonomy: There is also a signed assertion version, you can use a revocation list where there is a Linked Data document that contains an array of revoked assertions, if you find a revoked assertion, then you can assume it's revoked. you can find revocation reason. From this experience, not all platforms are going to want to use the same method of revocation, we wanted to keep spec open to things like ledger-based revocation in the future. 
[Tue 11:20:47] <manu>	ottonomy: If they are using signed verification - they may be sensitive to hosting costs, so ledger based may be the way to go in the future there.
[Tue 11:20:54] <burn>	q?
[Tue 11:20:54] <voip-vctf>	The speaker queue is empty.
[Tue 11:21:49] <ottonomy>	nage: A lot of our revocation story is centered around the idea of anonymous credentials. About whether data is included or not included in a specific claim. We can extend that story to cover credentials that are not presented as an anonymous credential. Would like to cover how revocation is covered in a "did"-like object.
[Tue 11:22:11] <burn>	q?
[Tue 11:22:11] <voip-vctf>	The speaker queue is empty.
[Tue 11:22:17] <ottonomy>	burn: Manu, you had volunteered to create a new issue for the data model?
[Tue 11:22:47] <ottonomy>	manu: Sounds like we are creating a new section in the data model for revocation. Sounds like we don't want to say there must be only one way. I'll volunteer to write this section.
[Tue 11:22:59] <ottonomy>	otto: Yes, I can help put that together
[Tue 11:23:12] <ottonomy>	burn: Make sure to put forward and back references to what we have.
[Tue 11:23:22] <ottonomy>	burn: When you create the issue, link to #33 and from #33
[Tue 11:23:27] <ottonomy>	manu: will do.
[Tue 11:23:48] <ottonomy>	burn: Any other questions/comments/discussion on either issue #33 or the topic of revocation, creating a new revocation section.
[Tue 11:23:57] <burn>	Topic: Correlation Analysis and Prevention
[Tue 11:24:06] <burn>	https://github.com/opencreds/vc-data-model/issues/12
[Tue 11:24:22] <ottonomy>	burn: I think it was the same two people on this one.
[Tue 11:24:35] *	manu added Revocation issue - https://github.com/opencreds/vc-data-model/issues/34
[Tue 11:25:00] <ottonomy>	JoeAndrieu: This started out initially as an open question about how we deal with correlation in the privacy section. I made some notes, but I'll skip them, because they're not what the issue became. Adrian added what I call a "use domain".
[Tue 11:25:22] <ottonomy>	JoeAndrieu: How do you talk about these usages that are really several transactions in a system.
[Tue 11:26:03] *	erkorb_rm (~eric.korb@public.cloak) has joined #vctf
[Tue 11:26:04] <ottonomy>	JoeAndrieu: What came out was a discussion about correlation. Questions for me came up like, "What's the architecture?" How can we talk about correlation of different entities in these transactions. Adrian's language didn't necessarily break it out in terms of architecture and components.
[Tue 11:26:28] <voip-vctf>	19082515759 [SIP/69.65.34.216-00000075] has joined the conference.
[Tue 11:26:44] <burn>	q?
[Tue 11:26:44] <voip-vctf>	The speaker queue is empty.
[Tue 11:26:44] <voip-vctf>	Associated Eric Korb with SIP/69.65.34.216-00000075.
[Tue 11:26:46] <ottonomy>	JoeAndrieu: We still have this open issue for how we want to talk about the architecture in this document? How do we want to talk about correlation (and preventing correlation) in our data model so we can nail down privacy impacts of verifiable claims?
[Tue 11:27:37] <ottonomy>	manu: I think the use case was super helpful from Adrian to help narrow down all the types of anti-correlation that we want to build into the system. It's also clear that we can't do anti-correlation in some of these scenarios. Pure URL approaches will correlate strongly... other approaches like using pseudonymous signatures in other cases will preserve your privacy.
