[Tue 11:03:57] <burn>	Scribe: jonnycrunch
[Tue 11:04:04] *	amigus (~Adam@public.cloak) has joined #vctf
[Tue 11:04:36] <voip-vctf>	14432803624 [SIP/69.65.34.216-00000130] has joined the conference.
[Tue 11:04:41] <amigus>	voip: 130 is amigus
[Tue 11:04:41] <voip-vctf>	Associated amigus with SIP/69.65.34.216-00000130.
[Tue 11:04:42] <burn>	Topic: Agenda Review and Introductions
[Tue 11:05:05] <burn>	Agenda: https://lists.w3.org/Archives/Public/public-credentials/2017Feb/0016.html
[Tue 11:05:19] *	ottonomy (~ottonomy@public.cloak) has joined #vctf
[Tue 11:05:42] *	JoeAndrieu (~JoeAndrieu@public.cloak) has joined #vctf
[Tue 11:05:53] *	colleen (~colleen@public.cloak) has joined #vctf
[Tue 11:06:08] <voip-vctf>	15409614469 [SIP/69.65.34.216-00000132] has joined the conference.
[Tue 11:06:16] <voip-vctf>	16106179300 [SIP/69.65.34.216-00000133] has joined the conference.
[Tue 11:06:55] <manu>	voip: 133 is ColleenKennedy
[Tue 11:06:55] <voip-vctf>	Associated ColleenKennedy with SIP/69.65.34.216-00000133.
[Tue 11:07:00] <manu>	voip: 132 is jonnycrunch
[Tue 11:07:00] <voip-vctf>	Associated jonnycrunch with SIP/69.65.34.216-00000132.
[Tue 11:07:21] <jonnycrunch>	Burn:  Any changes to Agenda?
[Tue 11:07:38] *	MattLarson (~MattLarson@public.cloak) has joined #vctf
[Tue 11:07:43] <jonnycrunch>	Burn:  Adding item, Pull Request discussion wrt. Revocation.
[Tue 11:07:55] <manu>	voip: 134 is MattLarson
[Tue 11:07:55] <voip-vctf>	Associated MattLarson with SIP/sip.linphone.org-00000134.
[Tue 11:08:03] *	manu assuming that's you MattLarson ?
[Tue 11:08:09] <burn>	Topic: Status of Verifiable Claims WG Creation
[Tue 11:08:25] *	manu MattLarson you'll want to set your Name field in your SIP client... so you don't show up as "unknown".
[Tue 11:08:52] <jonnycrunch>	Burn:  Status of WG.  Not much changed, some discussion about charter.  Phil proposed change, unsure if it is necessary.
[Tue 11:09:09] <burn>	Topic: Status of Face to Face in March
[Tue 11:09:20] <manu>	q+ to note current state of thinking on F2F.
[Tue 11:09:21] <voip-vctf>	manu has been added to the queue: manu
[Tue 11:09:28] <voip-vctf>	15412315822 [SIP/69.65.34.216-00000135] has joined the conference.
[Tue 11:09:33] <ottonomy>	voip: 135 is ottonomy
[Tue 11:09:33] <voip-vctf>	Associated ottonomy with SIP/69.65.34.216-00000135.
[Tue 11:10:30] <jonnycrunch>	Burn:  The was a possibility of a F2F in March.   Turns out 2/3 chairs can not make it.  Burn sent a request to schedule the meeting and asked if anyone can attend.  No reply.  Time is close.  Chairs want to know the feeling of people to attend.
[Tue 11:10:34] *	dezell (~dezell@public.cloak) has joined #vctf
[Tue 11:10:39] <burn>	potential date is March 21st
[Tue 11:10:55] <jonnycrunch>	Date for f2F is march 21st
[Tue 11:11:29] <jonnycrunch>	This is for Chicago assoc with web payments meeting
[Tue 11:11:34] <voip-vctf>	17278084918 [SIP/69.65.34.216-00000136] has joined the conference.
[Tue 11:11:40] <dezell>	voip: 0136 is me
[Tue 11:11:40] <voip-vctf>	Associated dezell with SIP/69.65.34.216-00000136.
[Tue 11:11:58] *	manu matt speaking
[Tue 11:12:03] <jonnycrunch>	Matt:  need time to plan.
[Tue 11:12:32] <manu>	q?
[Tue 11:12:32] <jonnycrunch>	Burn:  issue is that someone new to the group needs time to plan meeting
[Tue 11:12:32] <voip-vctf>	The current speaker queue is: manu
[Tue 11:12:56] <jonnycrunch>	Burn:  objections?
[Tue 11:13:14] <jonnycrunch>	Manu:  perhaps we should delay a F2F
[Tue 11:13:22] <manu>	https://www.w3.org/2017/02/06-wpay-minutes.html#item03
[Tue 11:13:44] <jonnycrunch>	Manu:  We brought up the VC WG up yesterday.  Still possible to hold a meeting.
[Tue 11:14:46] <jonnycrunch>	... as discussed with w3C in the past, we had the option for a formal meeting, but without chairs, difficult.
[Tue 11:15:10] <ottonomy>	Some more time between official word that we'll start and first face to face would improve chances of me being able to get my org to join W3C by the meeting.
[Tue 11:15:22] <jonnycrunch>	... the question becomes, when should we have a meeting?  usually 2 months after the w3c group.  Brings us to the June time frame.
[Tue 11:15:34] <stonematt>	q+
[Tue 11:15:34] <voip-vctf>	stonematt has been added to the queue: manu, stonematt
[Tue 11:15:40] <stonematt>	q?
[Tue 11:15:40] <voip-vctf>	The current speaker queue is: manu, stonematt
[Tue 11:15:41] <manu>	https://lists.w3.org/Archives/Member/w3c-ac-members/2015JulSep/0058.html
[Tue 11:15:42] <jonnycrunch>	... the may not be a good time.  we should do a doodle poll. and where, when.
[Tue 11:15:43] <stonematt>	ack manu
[Tue 11:15:43] <voip-vctf>	manu has the floor (to note current state of thinking on F2F.).
[Tue 11:15:47] <stonematt>	q?
[Tue 11:15:47] <voip-vctf>	The current speaker queue is: stonematt
[Tue 11:16:19] <stonematt>	q?
[Tue 11:16:19] <voip-vctf>	The current speaker queue is: stonematt
[Tue 11:16:21] <jonnycrunch>	Burn:  we haven't discussed next steps.  We don't have to wait until official, need feedback from w3c.
