[Tue 11:05:54] <manu>	scribe: manu
[Tue 11:06:27] <manu>	Agenda: https://lists.w3.org/Archives/Public/public-credentials/2017Feb/0042.html
[Tue 11:06:55] <manu>	stone: Light agenda today, IMS Badge Summit is tomorrow.
[Tue 11:07:00] <manu>	stone: Any additions to Agenda?
[Tue 11:07:15] *	JoeAndrieu has quit (Ping timeout: 180 seconds)
[Tue 11:07:18] <manu>	Topic: Introduction to Kim Duffy from BlockCerts
[Tue 11:08:15] <manu>	duffy: Hi Kim Duffy from BlockCerts, we're building a Blockchain verification extension to Open Badges, that led me to Verifiable Claims. I've also been interested in other initiatives that this gorup is involved in, like Proof of Publication, identity profile model. I wanted to become a more active lurker. Hear about updates.
[Tue 11:08:19] *	manu welcome Kim!
[Tue 11:08:22] <manu>	q+
[Tue 11:08:24] <voip-vctf>	manu has been added to the queue: manu
[Tue 11:08:28] *	dlongley welcome Kim!
[Tue 11:09:34] <dlongley>	manu: Kim had some pretty interesting use cases that we've been discussing offline and maybe Kim and I can coordinate this week and get some clarity around the use case and put it forward to the group so we can have some discussion. The plan being introducing it to the group here, hash it out as a VC and then take it to the RWoT workshop in April and work on it F2F. Your thoughts, Kim?
[Tue 11:09:47] <manu>	Kim: That sounds great, didn't want to bring it up today, wanted a more fully formed proposal.
[Tue 11:10:09] <manu>	ACTION: Manu to work with Kim on Blockchain Open Badges use case.
[Tue 11:10:58] <manu>	Topic: Status of Verifiable Claims WG Creation
[Tue 11:11:28] <dlongley>	manu: No new insight from W3M, the chairs need to reach out and ask where we are no WG creation. We need to get some better status updates on where things are. If the chairs could reach out that would be good.
[Tue 11:11:36] <stonem___>	action: Chairs contact W3C membership re: WG creation
[Tue 11:12:01] <manu>	Topic: Update on Verifiable Claims Playground
[Tue 11:12:07] <voip-vctf>	17278084918 [SIP/69.65.34.216-00000203] has joined the conference.
[Tue 11:12:11] <manu>	https://w3c-vc.github.io/playground/
[Tue 11:12:22] <dezell>	voip: 0203 is me
[Tue 11:12:22] <voip-vctf>	Associated dezell with SIP/69.65.34.216-00000203.
[Tue 11:12:36] <manu>	stone: Playground is relatively new in the last week or two.
[Tue 11:12:42] <dezell>	present+ dezell
[Tue 11:12:43] <manu>	stone: Any actions to take out of this
[Tue 11:12:47] <manu>	q+ to report on Playground
[Tue 11:12:47] <voip-vctf>	manu has been added to the queue: manu, manu
[Tue 11:12:53] <manu>	q-
[Tue 11:12:53] <voip-vctf>	manu has been removed from the queue: manu
[Tue 11:12:54] <manu>	q-
[Tue 11:12:54] <voip-vctf>	manu has been removed from the queue:
[Tue 11:13:00] *	amigus_ (~Adam@public.cloak) has joined #vctf
[Tue 11:13:30] <jonnycrunch>	Sorry, checked it out, but didn't play in the sand yet.
[Tue 11:13:45] <amigus_>	manu: it's live but barely operational; we're going to add more examples over the next few weeks inclduing ones from different market verticals
[Tue 11:13:58] <MattLarson>	q+
[Tue 11:13:58] <voip-vctf>	MattLarson has been added to the queue: MattLarson
[Tue 11:14:21] <stonem___>	manu: have pulled in a intern to work on the playgound
[Tue 11:14:25] <amigus_>	manu: we can take Kims example; financial services, a loyalty card. we also have a developer helping us clean up the code -- it's their semester project
[Tue 11:14:29] <voip-vctf>	12066188530 [SIP/69.65.34.216-00000204] has joined the conference.
[Tue 11:14:36] <dlongley>	manu: Not much has happened since it went live, which is fine. It is barely operational :). It needs a lot of love. I think what we're going to try and do over the next couple of weeks is add more examples. Christopher Allen had a desire to start getting a collection of examples together in different market verticals. It's fairly easy to add those. That's why ... I think ... trying to get multiple things done at the same time, maybe we can take Kim's use
[Tue 11:14:37] <dlongley>	case and boil it down into an example. Financial industry and loyalty card use cases we can put in there. We're going to be doing that. We've also pulled a dev in to clean up the spaghetti code. PRs are very welcome. Please don't hesitate to jump in and fix something that's wrong with it, a lot to be fixed.
[Tue 11:14:38] <stonem___>	manu: need/plan to add more examples, have several
[Tue 11:14:40] <manu>	ack MattLarson 
[Tue 11:14:40] <voip-vctf>	MattLarson has the floor.
[Tue 11:14:40] <amigus_>	manu: pull requests are desired; if you want to help please do
[Tue 11:14:54] *	amigus_ is scribing now! 
[Tue 11:14:56] <manu>	larson: I messed around with it a bit, can I put in my own RSA key and see it come out?
[Tue 11:14:56] *	dlongley letting you take over scribing now amigus :)
[Tue 11:14:59] *	manu thanks amigus !
[Tue 11:15:14] *	amigus has quit ("Bye")
[Tue 11:15:15] *	drummond (~drummond@public.cloak) has joined #vctf
[Tue 11:15:17] *	amigus_ is now known as amigus
[Tue 11:15:54] <manu>	Manu: Yes, that should work.
[Tue 11:15:46] <manu>	scribe: amigus
[Tue 11:15:54] <stonem___>	q?
[Tue 11:15:54] <voip-vctf>	The speaker queue is empty.
[Tue 11:15:56] <voip-vctf>	16097341186 [SIP/69.65.34.216-00000205] has joined the conference.
[Tue 11:15:59] *	manu hands scribing over to amigus.
[Tue 11:16:17] *	Varn (~Varn@public.cloak) has joined #vctf
[Tue 11:16:41] <amigus>	stone: any action items for the playground that we should track as actions?
[Tue 11:17:14] <manu>	voip: 205 is Varn
[Tue 11:17:16] <voip-vctf>	Associated Varn with SIP/69.65.34.216-00000205.
[Tue 11:17:18] <amigus>	manu: no but work will continue with our developers and other volunteers over the next few months
[Tue 11:17:20] <stonem___>	q?
[Tue 11:17:20] <voip-vctf>	The speaker queue is empty.
[Tue 11:17:49] <amigus>	stone: next topic; old pull requests
[Tue 11:17:55] <stonem___>	https://github.com/opencreds/vc-use-cases/pulls
[Tue 11:18:02] *	manu amigus dlongley is stone :)
[Tue 11:18:04] <stonem___>	https://github.com/opencreds/vc-data-model/pulls
[Tue 11:18:14] <manu>	q+ to ask if Joe is here
[Tue 11:18:14] <voip-vctf>	manu has been added to the queue: manu
[Tue 11:18:27] <amigus>	stone: there are some old requests sitting around; lets have a quick discussion about how to handle these
[Tue 11:18:28] <stonem___>	q?
[Tue 11:18:28] <voip-vctf>	The current speaker queue is: manu
[Tue 11:18:32] <stonem___>	ack manu
[Tue 11:18:32] <voip-vctf>	manu has the floor (to ask if Joe is here).
[Tue 11:18:46] <manu>	https://github.com/opencreds/vc-data-model/pull/37
[Tue 11:19:28] <burn>	q+
[Tue 11:19:29] <voip-vctf>	burn has been added to the queue: burn
[Tue 11:19:45] <amigus>	manu: it should happen like this: we discuss it in the group; have a review, repeat as necessary until complete and after around 7 days the editors will merge it in.
