[Tue 12:02:34] <manu>	Agenda: https://lists.w3.org/Archives/Public/public-credentials/2017May/0035.html
[Tue 12:02:45] <manu>	scribe: manu
[Tue 12:02:47] *	manu I'm up
[Tue 12:03:09] <manu>	Topic: Introduce New Chairs
[Tue 12:03:20] <manu>	ChristopherA: Manu put out a call for new chair nominations, have we received any?
[Tue 12:03:27] <manu>	Manu: Nope, no new nominations.
[Tue 12:03:48] <manu>	ChristopherA: We're going to leave that open for now, if someone else gets nominated, let us know. At present it's Kim Hamilton and myself.
[Tue 12:04:50] <manu>	ChristopherA: My name is Christopher Allen, I've been involved in Internet Cryptography work for a while. I co-authored TLS. I've been involved in ad-hoc standards at IETF... been involved in Verifiable Claims for 2 years or so. Also AC rep for Blockstream.
[Tue 12:06:04] <manu>	kimhd: I'm Kimberly Duffy, lead designer for BlockCerts. I've been participating in Verifiable Claims for a while, we're finding ourselves turning into a working prototype of the work here. We've been involved in Rebooting Web of Trust as well, very interested in expanding on that work as well.
[Tue 12:06:12] <manu>	Topic: New Members
[Tue 12:06:33] <manu>	ChristopherA: Are there any new members?
[Tue 12:06:38] <manu>	No new members at this meeting.
[Tue 12:07:04] <manu>	Topic: Review of Credentails CG Mission Statement
[Tue 12:07:35] <manu>	ChristopherA: This work started in 2014... with more work before that in Web Payments CG. We have successfully established a Verifiable Claims WG, so now is the time to review what we've been doing and will do.
[Tue 12:07:37] <ChristopherA_>	https://www.w3.org/community/credentials/
[Tue 12:07:46] <manu>	ChristopherA: A quick recap of our mission statement... (at link above)
[Tue 12:08:23] <manu>	ChristopherA: There is one thing in here that's core to me - the Credentials CG is to discuss, research, document, prototype credential systems for the Web... that's the core of this.
[Tue 12:08:47] <manu>	ChristopherA: If there is some other aspect of that longer paragraph that we should keep ... or something we should remove.
[Tue 12:11:15] <JoeAndrieu>	q+
[Tue 12:11:15] <voip-vctf>	JoeAndrieu has been added to the queue: JoeAndrieu
[Tue 12:11:40] <dlongley>	manu: That mission statement hasn't been updated in 2 years and it was put together in a rush. We should update it and make it simpler and more concise. One thing about it that most of the folks don't know about is that we wrote it understanding that there were multiple groups that were hostile to the work at the time. Anyone that was working on things like JWTs/JOSE/SAML/etc may have viewed the work/at least the discussions at the time were "you are reinventing the wheel don't do it". Much of that statement was about allowing us to have the discussion around whether the existing tech could meet the use cases we had. We've come to the conclusion since then that existing tech doesn't but we've tried to integrate the parts that do. I think we should update that mission statement to reflect what we want to do over the next 2 years. I think the environment isn't as hostile as it used to be, the other procedural thing ... we can't change the mission statement without contacting W3C staff and having them update it. We should be absolutely sure with the text we want before approaching them so we don't make them cranky. All that to say, the best thing for that mission statement is to get something on the table and have people nitpick it. Get it into a Google doc and have people comment and have chairs try and capture the essence.
[Tue 12:11:46] *	dlongley sorry, was scribing that christopher :)
[Tue 12:11:46] *	manu thx dlongley 
[Tue 12:12:04] <manu>	ChristopherA: I'd like more comments, but no proposals just yet.
[Tue 12:12:15] <burn_>	ack JoeAndrieu
[Tue 12:12:15] <voip-vctf>	JoeAndrieu has the floor.
[Tue 12:12:22] *	David_C (~David_C@public.cloak) has joined #vctf
[Tue 12:12:24] <manu>	JoeAndrieu: Reading this, the first thing that pops up is that credential didn't seem quite right.
[Tue 12:12:26] <burn_>	q?
[Tue 12:12:26] <voip-vctf>	The speaker queue is empty.
[Tue 12:12:37] <manu>	JoeAndrieu: The credential isn't a statement about a fact, it's an assertion about something by an authority.
[Tue 12:12:44] <manu>	Manu: +1 to what Joe just said.
[Tue 12:12:52] *	jonnycrunch has quit (jonnycrunch)
[Tue 12:13:17] <stonematt>	+1 to JoeAndrieu comment
[Tue 12:13:21] <manu>	ChristopherA: We need to consider something that happened six months ago - a number of the specs that the Task Force was working on got moved over to the Digital Verification CG.
[Tue 12:13:24] <ChristopherA_>	https://www.w3.org/community/digital-verification/
