[Tue 12:03:01] <dlongley>	scribe: dlongley
[Tue 12:03:29] <voip-vctf>	18057058651 [SIP/69.65.34.216-00000150] has joined the conference.
[Tue 12:03:31] <dlongley>	kimhd goes over the agenda
[Tue 12:03:48] *	manu make sure to assign people to phone lines so we know who is here.
[Tue 12:03:50] *	Moses (~Moses@public.cloak) has joined #vctf
[Tue 12:03:56] *	manu MOSES! :)
[Tue 12:04:05] <dlongley>	kimhd: I'm going to talk to some of the signatures suites to give an overview of what's in those suites. Manu isn't able to make it today but Dave Longley may be able to fill in for some questions while that's happening.
[Tue 12:04:06] <JoeAndrieu>	voip: 0150 is JoeAndrieu
[Tue 12:04:06] <voip-vctf>	Associated JoeAndrieu with SIP/69.65.34.216-00000150.
[Tue 12:04:23] *	manu doesn't know if Moses is on the call yet.
[Tue 12:04:30] *	manu he just joined IRC.
[Tue 12:05:07] <voip-vctf>	14155694979 [SIP/69.65.34.216-00000151] has joined the conference.
[Tue 12:05:15] <dlongley>	grempe: I'm the vice president of Engineering with Tierion
[Tue 12:06:38] <dlongley>	kimhd: We're talking about having a remote hackathon in July, 2nd or 3rd week. Ryan and Christopher and I are interested in getting some code and more detailed specs out related to that.
[Tue 12:07:00] <dlongley>	kimhd: Next week we'll have Jan Camenisch presenting on selective disclosure, CL signatures, etc.
[Tue 12:07:16] <dlongley>	kimhd: We haven't had much time to discuss those work items much so far, looking forward for that.
[Tue 12:08:01] <dlongley>	kimhd: We're getting a lot of responses on the poll -- decentralized IDs is in the lead, lots of interest there. VC related items getting interest. Privacy and security requirements doing well. Data minimization and selective disclosure.... we'll be snapshotting these results next week and going ahead with identifying which work items to start on first.
[Tue 12:08:09] <dlongley>	kimhd: Let's jump into the work items.
[Tue 12:08:13] <dlongley>	Topic: Bitcoin DID Method (BTCR)
[Tue 12:08:13] <dlongley>	kimhd: Ryan?
[Tue 12:08:48] <dlongley>	Ryan: I'm talking about BTCR method specific implementation of distributed identity. This falls under the DID spec format.
[Tue 12:08:49] <ChristopherA>	did:btcr:tx-5678-678-6789-678
[Tue 12:08:59] <dlongley>	Ryan: It's a way to control an identity and prove that you control it using the bitcoin blockchain.
[Tue 12:09:39] <dlongley>	Ryan: Basically, we have a spec to follow under the DID master spec and our task is to define how an identity is controlled and changed using entries on the bitcoin blockchain and tie that to a DDO (a description of what the identity is).
[Tue 12:09:53] <ChristopherA>	did(decentralized identitier):btcr(bitcoin refererence):tx-kddk...(a bech32 encoded transaction ID)
[Tue 12:10:23] <rgrant>	https://github.com/WebOfTrustInfo/rebooting-the-web-of-trust-spring2017/blob/master/event-documents/group-abstracts/work-abstract-did-methods-btcr-pgpr.md
[Tue 12:10:24] <dlongley>	Ryan: And then get that implemented in some software. That's what we'll be working on at the hackathon and that's what the topic is. What's done is that we have a clear spec to meet with the DID spec, we have an implementation plan that we outlined at the latest RWoT conference in the Spring.
[Tue 12:10:29] <dlongley>	Ryan: Summary page in IRC.
[Tue 12:10:37] <dlongley>	Ryan: Dead link in there that needs to be fixed.
[Tue 12:11:26] <dlongley>	Ryan: We have a clear outline of the work we need to do and fleshing out that doc into a draft spec. What we're aiming for going forward is in October, Boston conference we'd like to have a draft spec and operating software. Couple of questions we need to answer about whether we're using two transactions or one transaction with a special OP code in the bitcoin scripting system.
[Tue 12:11:29] <ChristopherA>	The October conference is https://www.eventbrite.com/e/rebootingweboftrust-design-workshop-v-fall-2017-in-boston-area-usa-tickets-34984665075
[Tue 12:11:36] <dlongley>	Ryan: We'd like to make some progress on that at the hackathon.
[Tue 12:11:36] <kimhd>	q+ to ask about DDOs
[Tue 12:11:36] <voip-vctf>	kimhd has been added to the queue: kimhd
[Tue 12:11:40] <dlongley>	Ryan: Any questions?
[Tue 12:11:46] <dlongley>	ack kimhd
[Tue 12:11:46] <voip-vctf>	kimhd has the floor (to ask about DDOs).
[Tue 12:11:50] <squarfed>	q+
[Tue 12:11:50] <voip-vctf>	squarfed has been added to the queue: squarfed
[Tue 12:12:01] <ChristopherA>	q+
[Tue 12:12:01] <voip-vctf>	ChristopherA has been added to the queue: squarfed, ChristopherA
[Tue 12:12:14] <dlongley>	kimhd: About the DDOs, I talked to Christopher briefly, is the assumption that the DDO is stored in IPFS or could be URLs or content at one, or what?
[Tue 12:13:18] <kimhd>	q?
[Tue 12:13:18] <voip-vctf>	The current speaker queue is: squarfed, ChristopherA
[Tue 12:13:19] <dlongley>	Ryan: Are we pointing to external DDOs? (DID description object). The DID record is a pointer to the information that you want to present for your identity and you can change that at any time. And that's contained in the DDO. We're going to try and support both. Links out to IPFS as well as a new idea about a fully deterministic DDO that is implied by the set of transactions that have occurred with the DID itself.
[Tue 12:13:37] <manu>	voip: connections?
[Tue 12:13:37] <voip-vctf>	Conference participants are: Glen Braun [SIP/sip2sip.info-00000139], Unknown [SIP/69.65.34.216-0000013e], squarfed [SIP/69.65.34.216-00000141], 13125222321 [SIP/69.65.34.216-00000143], 393409684362 [SIP/69.65.34.216-00000146], 14156131653 [SIP/69.65.34.216-00000147], kimhd [SIP/69.65.34.216-00000148], Dave Longley [SIP/6002-0000014a], ChristopherA [SIP/69.65.34.216-00000149], David I. Lehn [SIP/6003-0000014c], 16462345693
