[Tue 12:07:46] <manu>	scribe: rgrant
[Tue 12:07:56] <voip-ccg>	Chris Webber [SIP/sip.linphone.org-000001ad] has joined the conference.
[Tue 12:08:20] <manu>	Agenda: https://lists.w3.org/Archives/Public/public-credentials/2017Aug/0073.html
[Tue 12:08:21] <voip-ccg>	Chris Webber [SIP/sip.linphone.org-000001ad] has left the conference.
[Tue 12:08:25] <kimhd>	voip: connections?
[Tue 12:08:25] <voip-ccg>	Conference participants are: Michael Lodder [SIP/evernym.onsip.com-0000018f], David I. Lehn [SIP/6003-00000190], ChristopherA [SIP/10.0.1.4-00000192], KimHD [SIP/73.193.23.65-00000193], nage [SIP/sip2sip.info-00000194], DanBurnett [SIP/69.65.34.216-00000195], 15409614469 [SIP/69.65.34.216-00000197], Dave Longley [SIP/6002-00000199], 15409614469 [SIP/69.65.34.216-0000019a], Manu Sporny [SIP/6000-0000019b], amigus [SIP/69.65.34.216-0000019e], MosesMa
[Tue 12:08:25] <voip-ccg>	[SIP/69.65.34.216-000001a1], Adam Lake [SIP/Adam-000001a5], squarfed [SIP/69.65.34.216-000001a4], 14154972900 [SIP/69.65.34.216-000001a6], rgrant [SIP/69.65.34.216-000001ab].
[Tue 12:08:42] <manu>	voip: 1a6 is EdBice
[Tue 12:08:48] <voip-ccg>	Associated EdBice with SIP/69.65.34.216-000001a6.
[Tue 12:08:50] <rgrant>	ChristopherA: today is a joint meeting of W3C verifiable claims (members only), and credentials comminuty group.
[Tue 12:08:56] *	kimhd who is area code 415?
[Tue 12:09:00] <rgrant>	ChristopherA: David Chadwick presenting
[Tue 12:09:03] <voip-ccg>	972545664271 [SIP/69.65.34.216-000001ae] has joined the conference.
[Tue 12:09:26] *	dlongley has changed the topic to: The W3C Credentials Community Group Agenda: https://lists.w3.org/Archives/Public/public-credentials/2017Aug/0073.html
[Tue 12:09:27] <manu>	Topic: Introductions
[Tue 12:09:36] <rgrant>	Simmonds: Hi, I'm Paul Simmonds from the Global Identity Foundation. We want a safer world where all entities can interact using a single digital identity; that provides them enhanced security and privacy, and which is completely under their control; enabling an eco-system of assured trust for all digital transactions. There is a lot in common between our work and the work being done here.
[Tue 12:09:36] <rgrant>	Simmonds: More on us here... http://www.globalidentityfoundation.org/index.html
[Tue 12:09:56] *	manu Paul Simmonds from GIF
[Tue 12:10:23] <manu>	q+ to make sure Ed intorduces himself
[Tue 12:10:23] <voip-ccg>	manu has been added to the queue: manu
[Tue 12:10:37] <ChristopherA>	voip: connections?
[Tue 12:10:37] <voip-ccg>	Conference participants are: Michael Lodder [SIP/evernym.onsip.com-0000018f], David I. Lehn [SIP/6003-00000190], ChristopherA [SIP/10.0.1.4-00000192], KimHD [SIP/73.193.23.65-00000193], nage [SIP/sip2sip.info-00000194], DanBurnett [SIP/69.65.34.216-00000195], 15409614469 [SIP/69.65.34.216-00000197], Dave Longley [SIP/6002-00000199], 15409614469 [SIP/69.65.34.216-0000019a], Manu Sporny [SIP/6000-0000019b], amigus [SIP/69.65.34.216-0000019e], MosesMa
[Tue 12:10:38] <voip-ccg>	[SIP/69.65.34.216-000001a1], Adam Lake [SIP/Adam-000001a5], squarfed [SIP/69.65.34.216-000001a4], EdBice [SIP/69.65.34.216-000001a6], rgrant [SIP/69.65.34.216-000001ab], 972545664271 [SIP/69.65.34.216-000001ae].
[Tue 12:10:47] <manu>	q-
[Tue 12:10:47] <voip-ccg>	manu has been removed from the queue:
[Tue 12:10:57] *	amigus_ (~Adam@public.cloak) has joined #ccg
[Tue 12:11:26] <rgrant>	Bice: Hi Ed Bice from Meedan. Meedan builds digital tools for global journalism and translation. We are a team of designers, technologists and journalists who focus on open source investigation of digital media and crowdsourced translation of social media. We are based in San Francisco and are doing work on collaborative fact checking with our Check product. We have been dealing with the Fake News problem since before it was called that. We heard about this group through Evan Sandhaus of the NYT and would like to explore if we can use Verifiable Claims to address some of our use cases. Here to learn more.
[Tue 12:11:26] <rgrant>	Bice: More on us here... https://meedan.com/en/
[Tue 12:11:28] <manu>	q+ to note that Ed is here because of the Fake news discussion we had a few weeks ago.
[Tue 12:11:28] <voip-ccg>	manu has been added to the queue: manu
[Tue 12:11:33] *	amigus has quit ("Going offline, see ya! (www.adiirc.com)")
[Tue 12:11:40] *	amigus_ is now known as amigus
[Tue 12:11:46] *	manu rgrant remember... NAME: what they said
[Tue 12:11:49] *	kimhd manu should we pause to identify people?
[Tue 12:12:07] *	manu kimhd up to you... we have lots of folks on the call... 
[Tue 12:12:15] *	manu rgrant no, just their last name, or anything really
[Tue 12:12:23] *	manu Bice: he's currently talking...
[Tue 12:12:48] <voip-ccg>	16175713857 [SIP/69.65.34.216-000001b4] has joined the conference.
[Tue 12:12:48] *	kimhd rgrant here is the cheat sheet :) https://github.com/w3c-ccg/w3c-ccg.github.io/blob/master/irc_ref.md
[Tue 12:12:53] *	manu kimhd lots of folks, meaning, you may not want to take more time... you can quickly ask throughout the call... though.
[Tue 12:13:04] *	kimhd manu agree
[Tue 12:13:05] *	manu sorry kimhd, I'm being indecisive... :)
[Tue 12:13:10] *	agropper (~agropper@public.cloak) has joined #ccg
[Tue 12:13:17] *	kimhd me too, we wasted lots of time with SIP
[Tue 12:13:18] <manu>	voip: 1b4 is AdrianGropper
[Tue 12:13:18] <voip-ccg>	Associated AdrianGropper with SIP/69.65.34.216-000001b4.
[Tue 12:13:26] *	dlongley if you're in IRC and you don't see your name in the connections list i'm about to make show up here, please let us know in IRC
[Tue 12:13:28] <dlongley>	voip-ccg: connections?
