[Tue 12:04:21] <manu>	scribe: mike-lodder
[Tue 12:04:30] <manu>	voip: 000f is RyanGrant
[Tue 12:04:30] <voip-ccg>	Associated RyanGrant with SIP/69.65.34.216-0000000f.
[Tue 12:04:48] <kimhd_>	agenda: https://lists.w3.org/Archives/Public/public-credentials/2017Oct/0116.html
[Tue 12:04:52] <voip-ccg>	18013765464 [SIP/69.65.34.216-00000016] has joined the conference.
[Tue 12:05:02] *	MarkusSabadello (~MarkusSabadello@public.cloak) has joined #ccg
[Tue 12:05:08] *	Suedonym (~Suedonym@public.cloak) has joined #ccg
[Tue 12:05:19] <manu>	voip: 0016 is Suedonym 
[Tue 12:05:19] <voip-ccg>	Associated Suedonym with SIP/69.65.34.216-00000016.
[Tue 12:05:39] <voip-ccg>	15409614469 [SIP/69.65.34.216-00000018] has joined the conference.
[Tue 12:05:58] *	DavidC (~DavidC@public.cloak) has joined #ccg
[Tue 12:06:07] *	manu mike-lodder - make sure to put  --- name: what they said
[Tue 12:06:26] <voip-ccg>	15409614469 [SIP/69.65.34.216-00000019] has joined the conference.
[Tue 12:06:35] *	manu mike-lodder what you typed above would have /me/ as saying "will cover his slides before TPAC"... what you wanted was "kimhd: Manu will cover his slides before TPAC"
[Tue 12:06:43] <JoeAndrieu>	voip: 19 is JoeAndrieu
[Tue 12:06:43] <voip-ccg>	Associated JoeAndrieu with SIP/69.65.34.216-00000019.
[Tue 12:06:43] <manu>	Topic: Status of Action Items
[Tue 12:06:51] <mike-lodder>	Kimhd: will cover the DID PR
[Tue 12:07:12] *	manu good mike-lodder - that's it! 
[Tue 12:07:18] <mike-lodder>	DavidC: Lifecycle document - haven't updated the document to Markdown yet.
[Tue 12:08:13] <mike-lodder>	ChristopherA: need more clarity on the webpage about what's been reviewed work items as opposed to what still needs to be reviewed
[Tue 12:08:53] *	rgrant (~rgrant@public.cloak) has joined #ccg
[Tue 12:09:36] *	manu ChristopherA your echo cancellation is probably not turned on :)
[Tue 12:09:40] <ChristopherA>	Also not sure about WoT items having been approved / voted
[Tue 12:09:45] *	manu +1 to what kim suggested
[Tue 12:09:47] <rgrant>	+1
[Tue 12:09:50] <mike-lodder>	kimhd: I will clarify work items that have been voted on vs approved
[Tue 12:09:52] <dlongley>	+1
[Tue 12:10:35] <mike-lodder>	Kimhd: deadline passed last week for DID PR
[Tue 12:10:39] <JoeAndrieu>	can we get the PR url?
[Tue 12:10:55] <rgrant>	q+ i read the changes
[Tue 12:10:55] <voip-ccg>	rgrant has been added to the queue: rgrant
[Tue 12:11:16] <mike-lodder>	Manu: we just want to know if the new set of changes are a step in the right direction. We still need to fix some language things from RWOT
[Tue 12:11:22] <ChristopherA>	+1
[Tue 12:11:32] <kimhd>	pr: https://github.com/w3c-ccg/did-spec/pull/22
[Tue 12:11:37] <mike-lodder>	Manu: does everyone believe that the PR overall improves the spec?
[Tue 12:12:16] <manu>	q+ rgrant
[Tue 12:12:17] <voip-ccg>	manu has been added to the queue: rgrant, rgrant
[Tue 12:12:22] <manu>	q- rgrant
[Tue 12:12:22] <voip-ccg>	rgrant has been removed from the queue: rgrant
[Tue 12:13:00] <mike-lodder>	ChristopherA: no issues with PR but I haven't done a formal review
[Tue 12:13:11] <manu>	q+ to note URN issues...
[Tue 12:13:11] <voip-ccg>	manu has been added to the queue: rgrant, manu
[Tue 12:13:22] <mike-lodder>	rgrant: believe the PR is ok with direction
[Tue 12:13:36] <manu>	ack rgrant
[Tue 12:13:36] <voip-ccg>	rgrant has the floor.
[Tue 12:13:54] <dlongley>	i recommend +1 for merging -- and outstanding problems get a new, specific github issue
[Tue 12:14:05] <mike-lodder>	+1 dlongley
[Tue 12:14:39] <rgrant>	it doesn't have "//" that results in a location
[Tue 12:14:46] <mike-lodder>	manu: DID are URL's, maybe introduce the concept of DID needs to be redone
[Tue 12:15:46] <mike-lodder>	Topic: Credential Handler API
[Tue 12:15:46] <mike-lodder>	kimhd: DavidC should take the lead on discussing API spec
[Tue 12:15:48] *	MarkusSabadello_ (~MarkusSabadello@public.cloak) has joined #ccg
[Tue 12:15:55] <dlongley>	+1 reword introduction, more focus on stable ID vs. "new" thing that isn't quite a URL (which it isn't)
[Tue 12:16:23] <dlongley>	https://docs.google.com/presentation/d/1qk9-6dpsZttrFr4qV-aID2L2OFTcKHL1epkzRgB8pZc/edit#slide=id.p3 <-- slides from David Chadwick
[Tue 12:16:44] <kimhd>	Credential API github issue: https://github.com/w3c-ccg/credential-handler-api/issues/1
[Tue 12:17:07] <mike-lodder>	DavidC: FIDO protocol was used and keys are stored not the smartphones and computers
[Tue 12:17:07] <mike-lodder>	davidC: Presented to others from JOSE / Web Authentication and they say its now out of date
[Tue 12:17:37] <mike-lodder>	DavidC: to look at other specs at W3C
[Tue 12:18:30] <mike-lodder>	DavidC: the interface is easy to use and tested with hospital patients
[Tue 12:18:45] <mike-lodder>	DavidC: hospital patients like it much better
[Tue 12:18:49] <dlongley>	q+
[Tue 12:18:49] <voip-ccg>	dlongley has been added to the queue: manu, dlongley
[Tue 12:19:02] <kimhd_>	q?
[Tue 12:19:02] <voip-ccg>	The current speaker queue is: manu, dlongley
[Tue 12:19:04] <manu>	q-
[Tue 12:19:06] <voip-ccg>	manu has been removed from the queue: dlongley
[Tue 12:19:15] <rgrant>	q+
[Tue 12:19:15] <voip-ccg>	rgrant has been added to the queue: dlongley, rgrant
[Tue 12:19:17] <mike-lodder>	DavidC: with his interface users didn't need to enter usernames or passwords
[Tue 12:19:45] <dlongley>	https://w3c-ccg.github.io/credential-handler-api/
[Tue 12:19:48] *	kimhd_ I'm back
[Tue 12:20:00] <mike-lodder>	dlongley: web authentication should be viewed as complementary vs alternative to credential handler api
[Tue 12:20:03] *	MarkusSabadello has quit (Ping timeout: 180 seconds)
[Tue 12:20:09] <kimhd_>	q?
[Tue 12:20:09] <voip-ccg>	The current speaker queue is: dlongley, rgrant
[Tue 12:20:14] <kimhd_>	ack dlongley
