[Tue 12:05:55] <manu>	scribe: Lionel
[Tue 12:06:25] <manu>	Agenda: https://lists.w3.org/Archives/Public/public-credentials/2017Nov/0032.html
[Tue 12:06:52] <Lionel>	Agenda review
[Tue 12:06:54] <Lionel>	1. Agenda Review (2 minutes) 2. Introductions & Re-Introduction (3 minutes)  3. Status of Current Action Items (5 minutes) 4. Review and discussion of status of DID spec 0.7, post #RebootingWebOfTrust, #IIW & #TPAC, with goal to advance the specification to 0.8 by end of year. (50 minutes)
[Tue 12:06:59] <manu>	Topic: Introduction to Mark Miller (Google)
[Tue 12:07:09] *	ottonomy (~ottonomy@public.cloak) has joined #ccg
[Tue 12:07:16] *	manu ottonomy ! :)
[Tue 12:07:21] <Lionel>	Miller: Google research in ECMA script. Advancing object capabilities security model
[Tue 12:07:43] <Lionel>	... at RWoT went through a revolution of reorienting a lot of stuff with the object model
[Tue 12:07:48] <Lionel>	... made a lot of progress
[Tue 12:07:49] <manu>	voip: a6 is NateOtto
[Tue 12:07:49] <voip-ccg>	Associated NateOtto with SIP/24.90.228.42-000000a6.
[Tue 12:07:53] <Drummond>	Mark was able to attend the Rebooting the Web of Trust #5 conference and gave us fantastic guidance about using the object capabilities security model there.
[Tue 12:07:59] <Drummond>	Very glad to have him here.
[Tue 12:08:04] <voip-ccg>	NateOtto [SIP/24.90.228.42-000000a6] has left the conference.
[Tue 12:08:07] <Lionel>	Squarfed: Hi, Frederico Sportini
[Tue 12:08:14] <Lionel>	... CTO of ____
[Tue 12:08:18] *	ChristianLundkvist has quit (Ping timeout: 180 seconds)
[Tue 12:08:30] <Lionel>	... developing an app on the Android Store implementing spidchain.
[Tue 12:08:50] <voip-ccg>	15413668863 [SIP/69.65.34.216-000000a8] has joined the conference.
[Tue 12:09:33] <manu>	voip: a8 is NateOtto
[Tue 12:09:34] <voip-ccg>	Associated NateOtto with SIP/69.65.34.216-000000a8.
[Tue 12:09:39] <squarfed>	https://play.google.com/store/apps/details?id=com.spidchain.app
[Tue 12:09:41] *	ChristianLundkvist (~ChristianLundkvist@public.cloak) has joined #ccg
[Tue 12:09:51] <Lionel>	Skipping action items for today. Need to improve this and make it more easily available. 
[Tue 12:09:59] <squarfed>	it's a late alpha more than a beta :D
[Tue 12:10:13] <squarfed>	still lots of features missing
[Tue 12:13:02] <Lionel>	Spidchain app description: Spidchain is a next generation identity system. It protects your privacy because you are the owner of all the data that identifies you.  With spidchain you can login with one click to websites that requires certified information.
[Tue 12:13:31] <Lionel>	Spidchain implements btcr, bitcoin testnet
[Tue 12:10:14] <manu>	Topic: DID Spec Review
[Tue 12:10:17] <Lionel>	... move spec number back to conform with W3C conventions.
[Tue 12:10:19] <manu>	https://w3c-ccg.github.io/did-spec/
[Tue 12:10:27] <Lionel>	... 0.7 was update from RWoT and other
[Tue 12:10:48] <Lionel>	... Discuss TPAC and other discussions, to move the spec up to a revision and become v0.8
[Tue 12:11:26] <Lionel>	Manu: DID spec link above
