[Thu 13:06:04] <manu>	Agenda: https://docs.google.com/document/d/1je9Bnhe-1tLgP1bfCSUjvbQ_qllwCz042aGncWX7Uio/edit
[Thu 13:06:35] *	manu \o
[Thu 13:07:12] *	ChristianLundkvist (~ChristianLundkvist@public.cloak) has joined #ccg
[Thu 13:07:21] <cwebber2>	present+ Chris_Webber
[Thu 13:07:45] <manu>	Present+ SamSmith, dlongley, cwebber, sabadello, lundkvist, buchner
[Thu 13:08:20] <manu>	scribe: manu
[Thu 13:08:20] <manu>	Chair: drummond
[Thu 13:08:20] <manu>	Topic: DID Hardening Proposal v3
[Thu 13:08:25] <drummond>	DID Spec Hardening Proposal V3: https://docs.google.com/document/d/1je9Bnhe-1tLgP1bfCSUjvbQ_qllwCz042aGncWX7Uio/edit
[Thu 13:09:19] <manu>	drummond: This is the second of a series of calls on the DID Spec...
[Thu 13:09:31] *	dlongley will backup scribe for you manu
[Thu 13:09:38] *	manu thx
[Thu 13:10:03] <manu>	drummond: Manu and Dave weren't able to be on the call last week - our goal here is to close on the DID spec, this proposal is the next stage of discussion.
[Thu 13:10:37] <manu>	drummond: Last CG call made it seem like these are competing proposals, but that's not the case, it's just a continuation of the conversation.
[Thu 13:11:04] <manu>	drummond: We have six items we could get to consensus on with folks that were on the call last time, there are two items that are new-ish don't have consensus
[Thu 13:11:39] <manu>	drummond: Haven't had much time to move those thigns forward - interested in sync'ing w/ Manu, Dave, and anyone else that hasn't been a part of this yet to talk about first six things.
[Thu 13:12:16] <dlongley>	manu: It's a post-Rebooting version which I actually got PRs in on. Hopefully over the next couple of weeks I'll get that finalized so we can layer this work on top of that. Steady stream of PRs from now on.
[Thu 13:12:52] <manu>	drummond: Let's talk through the issues in order, questions, answers, ideally come to some sort of agreement on it.
[Thu 13:13:02] <manu>	manu: Sounds good
[Thu 13:13:06] <manu>	dlongley: Good to me.
[Thu 13:13:11] <manu>	Topic: Format Independence
