[2018-07-17T16:00:19.199Z]	<drabiv>	voip: 298 is drabiv
[2018-07-17T16:00:36.079Z]	<MosesMa>	q+
[2018-07-17T16:00:42.130Z]	<nage>	voip: 29c is nage
[2018-07-17T16:01:11.425Z]	<JoeAndrieu_>	voip: 2a1 is JoeAndrieu_
[2018-07-17T16:01:20.019Z]	<JoeAndrieu_>	present+ JoeAndrieu
[2018-07-17T16:02:03.019Z]	<agropper>	present+ AdrianGropper
[2018-07-17T16:02:09.139Z]	<gannan>	present+ gannan
[2018-07-17T16:02:22.987Z]	<heathervescent>	present+
[2018-07-17T16:02:33.499Z]	<mike-lodder>	present+
[2018-07-17T16:02:38.026Z]	<chase>	present+
[2018-07-17T16:02:45.579Z]	<dlongley>	present+
[2018-07-17T16:02:45.856Z]	<manu>	present+ chase
[2018-07-17T16:02:49.916Z]	<manu>	present+
[2018-07-17T16:04:19.627Z]	<burn>	present+ burn
[2018-07-17T16:05:08.210Z]	<cwebber2>	present+ Chris_Webber
[2018-07-17T16:05:28.757Z]	<markus_sabadello_>	present+
[2018-07-17T16:05:35.140Z]	<ChristopherA>	present+ ChristopherA
[2018-07-17T16:05:48.419Z]	<manu>	scribe: jungly
[2018-07-17T16:06:38.068Z]	<ChristopherA>	voip: 2b0 is ChristopherA
[2018-07-17T16:06:48.427Z]	<cycryptr_>	present+ AnthonyRonning
[2018-07-17T16:06:48.887Z]	<kimhd>	present+
[2018-07-17T16:06:48.889Z]	<kimhd>	AGENDA: https://lists.w3.org/Archives/Public/public-credentials/2018Jul/0038.html
[2018-07-17T16:06:50.440Z]	<manu>	Topic: Agenda Review and Introductions
[2018-07-17T16:06:54.958Z]	<kimhd>	voip: connections?
[2018-07-17T16:07:21.692Z]	<jungly>	Joe: We aren't gonna get closure on the DID charter, but we work towards it.
[2018-07-17T16:08:14.606Z]	<jungly>	Andrieu: Calling for Introductions and re-introductions. Richard can you introduce yourself?
[2018-07-17T16:09:13.072Z]	<jungly>	kezike: My name is Kayode Ezike. Working in the AI group at MIT
[2018-07-17T16:09:15.938Z]	<burn>	voip: 2ad is DanBurnett
[2018-07-17T16:09:27.302Z]	<JoeAndrieu_>	https://w3c-ccg.github.io/announcements/
[2018-07-17T16:09:29.482Z]	<kimhd>	q+ for ids
[2018-07-17T16:09:45.759Z]	<burn>	q+ to reintroduce myself
[2018-07-17T16:09:54.621Z]	<jungly>	Andrieu: Announcements: Midst of summer BTCR hackathon.
[2018-07-17T16:09:58.577Z]	<kezike>	Name is Kayode Ezike (not Carl Davis) in the Decentralized Information Group at MIT CSAIL
[2018-07-17T16:10:08.659Z]	<ChristopherA>	Not too late to participate!
[2018-07-17T16:10:18.913Z]	<ChristopherA>	After this call.
[2018-07-17T16:10:50.079Z]	<chase>	have we tried ryerson for toronto?
[2018-07-17T16:11:01.211Z]	<jungly>	Andrieu: RWOT - 24-26 Toronto. Challenges getting a venue there. Potentially a hackathon for DIDs of various methods.
[2018-07-17T16:11:19.809Z]	<ChristopherA>	q?
[2018-07-17T16:11:39.530Z]	<ChristopherA>	q+
[2018-07-17T16:11:46.032Z]	<jungly>	MosesMa: Reiterate call for support for DID virtual summit
[2018-07-17T16:11:52.505Z]	<ChristopherA>	URL?
[2018-07-17T16:12:15.645Z]	<jungly>	MosesMa: Free event, GSMI co-producing, spending 1000s of dollars. Plan to be a component of bigger conference.
[2018-07-17T16:12:19.566Z]	<MosesMa>	This is the URL to share: https://businessofblockchain.com/web/virtual-summits/blockchain-id
[2018-07-17T16:12:32.330Z]	<jungly>	MosesMa: Doing something on Tuesday to bump up traction rates
[2018-07-17T16:12:34.720Z]	<manu>	ack MosesMa
[2018-07-17T16:12:56.400Z]	<jungly>	MosesMa: Free event. Please email me with questions
[2018-07-17T16:13:17.657Z]	<JoeAndrieu_>	q?
[2018-07-17T16:13:21.801Z]	<JoeAndrieu_>	ack kimhd
[2018-07-17T16:13:58.318Z]	<jungly>	Grant: Might be me
[2018-07-17T16:13:58.926Z]	<JoeAndrieu_>	q?
[2018-07-17T16:14:03.677Z]	<JoeAndrieu_>	ack burn
[2018-07-17T16:14:04.202Z]	<kimhd>	voip: 2ae is rgrant
[2018-07-17T16:14:49.820Z]	<jungly>	burn: reintroductions.. got some news.. background, one of the co-chairs on the VC Working Group. Got involved with personal interest as it leads to world that the individuals of the world want
[2018-07-17T16:15:04.201Z]	<jungly>	burn: joined the standards team with consensys
[2018-07-17T16:15:13.537Z]	<jungly>	burn: will be more involved with ccg
[2018-07-17T16:15:22.278Z]	<JoeAndrieu_>	q?
[2018-07-17T16:15:28.928Z]	<JoeAndrieu_>	ack ChristopherA
[2018-07-17T16:15:46.859Z]	<ChristopherA>	https://decentralizedweb.net/
[2018-07-17T16:15:54.218Z]	<jungly>	ChristopherA: End of July, first few days of Aug is the decentralised web summit of internet archive
[2018-07-17T16:16:18.204Z]	<jungly>	ChristopherA: Kim and I agreed to a booth thing, showing off BTCR and VCs
