[2018-12-18T16:59:46.090Z]	<agropper_>	present+ Adrian_Gropper
[2018-12-18T17:00:02.384Z]	<JoeAndrieu>	voip: 20f is JoeAndrieu
[2018-12-18T17:00:07.926Z]	<JoeAndrieu>	present+ JoeAndrieu
[2018-12-18T17:00:17.498Z]	<rgrant>	Present+
[2018-12-18T17:00:21.472Z]	<brentz>	present+ Brent_Zundel
[2018-12-18T17:00:30.399Z]	<TallTed>	present+
[2018-12-18T17:00:34.883Z]	<ChristopherA>	present+
[2018-12-18T17:00:51.078Z]	<ChristopherA>	agenda: https://lists.w3.org/Archives/Public/public-credentials/2018Dec/0068.html
[2018-12-18T17:01:21.208Z]	<JoeAndrieu>	thanks, Chris!
[2018-12-18T17:01:21.208Z]	<rhiaro>	present+
[2018-12-18T17:01:22.353Z]	<burn>	present+
[2018-12-18T17:01:25.069Z]	<manu>	present+
[2018-12-18T17:01:26.633Z]	<heathervescent>	present+
[2018-12-18T17:01:34.341Z]	<manu>	Agenda: https://lists.w3.org/Archives/Public/public-credentials/2018Dec/0068.html
[2018-12-18T17:01:49.160Z]	<bigbluehat>	present+
[2018-12-18T17:02:40.247Z]	<manu>	scribe: Lionel_Wolberger
[2018-12-18T17:02:55.012Z]	<ken>	present+ Ken_Ebert
[2018-12-18T17:03:01.279Z]	<manu>	ChristopherA: Please take note of the IPR policy, anyone can join, but to contribute you must agree to the IPR policy.
[2018-12-18T17:03:14.193Z]	<manu>	ChristopherA: Instructions for joining are here -- https://w3c-ccg.github.io/
[2018-12-18T17:03:16.331Z]	<rhiaro>	present+
[2018-12-18T17:03:17.499Z]	<isaac>	present+
[2018-12-18T17:03:18.219Z]	<lparker>	present+ Lucas Parker
[2018-12-18T17:03:25.712Z]	<Lionel_Wolberger>	present+ Lionel Wolberger
[2018-12-18T17:03:31.732Z]	<jarlath>	present+ Jarlath O'Carroll
[2018-12-18T17:03:33.299Z]	<samchase>	present+
[2018-12-18T17:03:33.659Z]	<kimhd>	present+
[2018-12-18T17:03:34.571Z]	<burn>	present+ Dan_Burnett
[2018-12-18T17:03:40.449Z]	<chrisboscolo>	present+ Chris Boscolo
[2018-12-18T17:04:01.899Z]	<kimhd>	scribe list: https://docs.google.com/document/d/1LkqZ10z7FeV3EgMIQEJ9achEYMzy1d_2S90Q_lQ0y8M/edit?usp=sharing)
[2018-12-18T17:04:09.050Z]	<manu>	scribe: Lionel_Wolberger
[2018-12-18T17:04:14.327Z]	<Lionel_Wolberger>	Agenda:
[2018-12-18T17:04:14.801Z]	<kimhd>	Note scribe list has been updated for freshness
[2018-12-18T17:04:52.159Z]	<manu>	Topic: Introductions
[2018-12-18T17:04:52.387Z]	<Lionel_Wolberger>	Isaac Patka: First meeting, introducing himself
[2018-12-18T17:04:55.419Z]	<Lionel_Wolberger>	Working for Bloom
[2018-12-18T17:05:01.905Z]	<Lionel_Wolberger>	Decentralized identity solution in fintech
[2018-12-18T17:05:09.911Z]	<Lionel_Wolberger>	interested in being compliant with the proposed standards here.
[2018-12-18T17:05:32.013Z]	<Lionel_Wolberger>	Welcome, Isaac (ditto)
[2018-12-18T17:05:43.600Z]	<Lionel_Wolberger>	Intro: Benjamin Young, working for Wiley & Sons
[2018-12-18T17:06:01.927Z]	<Lionel_Wolberger>	Always had credentialing issues. Wiley interested in VCs and the ecosystem to solve publishing related issues.
[2018-12-18T17:06:10.199Z]	<Lionel_Wolberger>	Welcome, Benjamin!
[2018-12-18T17:06:15.384Z]	<ChristopherA>	 https://w3c-ccg.github.io/announcements/
[2018-12-18T17:06:20.488Z]	<manu>	Topic: Announcements and Reminders
