[2019-03-19T15:57:10.064Z]	<brent>	present+ Brent_Zundel
[2019-03-19T15:57:41.241Z]	<JoeAndrieu>	present+ Joe_Andrieu
[2019-03-19T15:59:29.874Z]	<rhiaro>	present+
[2019-03-19T16:00:21.503Z]	<andrea>	present+
[2019-03-19T16:00:45.821Z]	<rhiaro>	voip: 8d9 is rhiaro
[2019-03-19T16:00:49.811Z]	<achughes>	present+
[2019-03-19T16:00:50.963Z]	<mwherman2000>	present+
[2019-03-19T16:02:06.033Z]	<JeffO-StL>	present+
[2019-03-19T16:02:10.777Z]	<yancy>	present+
[2019-03-19T16:02:11.654Z]	<Justin_R>	I'm here in the text but not on audio
[2019-03-19T16:02:26.847Z]	<MosesMa>	present+
[2019-03-19T16:02:28.765Z]	<dlongley>	present+
[2019-03-19T16:02:35.439Z]	<agropper>	present+
[2019-03-19T16:02:45.042Z]	<dmitriz>	present+
[2019-03-19T16:02:45.782Z]	<samchase>	present+
[2019-03-19T16:03:29.666Z]	<kimhd>	Agenda: https://lists.w3.org/Archives/Public/public-credentials/2019Mar/0032.html
[2019-03-19T16:03:29.706Z]	<ChristopherA>	@manu I’m unable to dial in again. “the subscriber is not available. Error wa000256”
[2019-03-19T16:04:39.385Z]	<ChristopherA>	@manu third week in a row from my T-Mobile cell
[2019-03-19T16:04:40.819Z]	<TallTed>	present+
[2019-03-19T16:05:28.202Z]	<ken>	present+ Ken_Ebert
[2019-03-19T16:05:37.121Z]	<chrisboscolo>	present+
[2019-03-19T16:05:53.406Z]	<rhiaro>	I can scribe
[2019-03-19T16:05:59.478Z]	<rhiaro>	scribenick: rhiaro
[2019-03-19T16:06:15.939Z]	<dlehn>	voip-ccg: number?
[2019-03-19T16:06:20.960Z]	<kimhd>	present+
[2019-03-19T16:06:27.039Z]	<jonathan>	present+ jonathan_holt
[2019-03-19T16:06:27.039Z]	<rhiaro>	Topic: intros
[2019-03-19T16:06:27.091Z]	<markus_sabadello>	present+ markus_sabadello
[2019-03-19T16:06:30.248Z]	<rhiaro>	JoeAndrieu: anyone here who is new?
[2019-03-19T16:06:38.951Z]	<rhiaro>	JoeAndrieu: who is bengo?
[2019-03-19T16:06:52.793Z]	<rhiaro>	... chrisboscolo, have you introduced yourself?
[2019-03-19T16:07:18.749Z]	<rhiaro>	chrisboscolo: I have, but I can reintroduce myself. I've been aprticipating for a little over a year. Founded lifeID, building an open source version of a ssi platform
[2019-03-19T16:07:24.993Z]	<rhiaro>	JoeAndrieu: Last chance for anyone new?
[2019-03-19T16:07:36.457Z]	<rhiaro>	... don't be shy
[2019-03-19T16:08:03.639Z]	<rhiaro>	Topic: announcements and reminders
[2019-03-19T16:08:31.120Z]	<rhiaro>	JoeAndrieu: First, if yo haven't seen the emails, the folks who have been focussed on the DID spec and DID resolution have more calls on thursdays, one on the DID spec itself which is 1-2pm PDT
[2019-03-19T16:08:40.120Z]	<rhiaro>	... which is currently 20 UTC, that's not gonna be true in a week, we'll update this
[2019-03-19T16:08:58.071Z]	<rhiaro>	... And then the DID resolutions spec call will follow on that, every week. The zoom is in the agenda. Please join if you want to
[2019-03-19T16:09:08.382Z]	<rhiaro>	... The other announcements: the KNOW conference is coming up
[2019-03-19T16:09:23.703Z]	<JoeAndrieu>	https://www.gbaglobal.org/event/know-las-vegas-2019/
[2019-03-19T16:09:30.625Z]	<rhiaro>	... We look forward to reports if any of you are attending
[2019-03-19T16:09:38.529Z]	<rhiaro>	... And IIW is april 30 - may 2, a lot of us will be there
[2019-03-19T16:09:38.638Z]	<JoeAndrieu>	https://www.internetidentityworkshop.com
[2019-03-19T16:09:47.154Z]	<rhiaro>	... Any other announcements?
[2019-03-19T16:09:48.581Z]	<JoeAndrieu>	q?
[2019-03-19T16:10:08.069Z]	<JoeAndrieu>	https://github.com/w3c-ccg/community/issues?q=is%3Aopen+is%3Aissue+label%3A%22action%3A+review+next%22
[2019-03-19T16:10:12.128Z]	<rhiaro>	Topic: Action items
[2019-03-19T16:10:27.140Z]	<rhiaro>	JoeAndrieu: Thanks kimhd for processing this work in the background
[2019-03-19T16:10:51.198Z]	<rhiaro>	... These are the items the chairs pulled out on friday
[2019-03-19T16:11:09.352Z]	<rhiaro>	kimhd: Number 59, DID methods in the registry without specs
[2019-03-19T16:11:15.439Z]	<kimhd>	https://github.com/w3c-ccg/community/issues/59
[2019-03-19T16:11:29.090Z]	<rhiaro>	kimhd: when that started we had 4 DID methods without an associated spec
[2019-03-19T16:11:36.479Z]	<rhiaro>	... one of them had been addressed adn I think it's jolocoms
[2019-03-19T16:11:38.482Z]	<rhiaro>	... That one is good
[2019-03-19T16:11:49.820Z]	<rhiaro>	... We still have missing specs for domino'd(?), uPort and consent(?)
[2019-03-19T16:12:05.904Z]	<rhiaro>	... I think dominode was added without a spec and I don't have a contact
[2019-03-19T16:12:25.720Z]	<rhiaro>	... uPort and consent(?) were probably just overlooked. We do have individual issues tracking those
[2019-03-19T16:12:36.385Z]	<rhiaro>	... maybe drummond and manu can track those down
[2019-03-19T16:12:40.107Z]	<kimhd>	w3c-ccg/did-method-registry#29 w3c-ccg/did-method-registry#31 w3c-ccg/did-method-registry#32
[2019-03-19T16:13:02.251Z]	<Identitywoman>	I am in touch with Dominode folks and will ask them to be in touch
[2019-03-19T16:13:13.010Z]	<JoeAndrieu>	q?
[2019-03-19T16:13:14.950Z]	<JoeAndrieu>	q+
[2019-03-19T16:13:16.986Z]	<mwherman2000>	PSA (unrelated to the current topic of conversation): I've launched the INDY ARM (Architecture Reference Model) Interactive Explorer yesterday. Checkout https://github.com/mwherman2000/indy-arm/blob/master/README.md#indy-arm-interactive-explorer
[2019-03-19T16:13:21.004Z]	<rhiaro>	... I think what we're going to do here is pull in the editors of that DID method registry to make sure of the process but I think that we're gonna have to start clamping down at some point and saying 1) we have to enforce for a PR you have to link to a spec and that spec has to have certain minimal properties. I've noticed drummond is enforcing that recently. But for these ones that got in there without a link we have to figure out what to do with
[2019-03-19T16:13:21.004Z]	<rhiaro>	them
[2019-03-19T16:13:29.230Z]	<rhiaro>	... There' sprobably a spec somewhere that has to be pointed to
[2019-03-19T16:13:30.041Z]	<JoeAndrieu>	ack JoeAndrieu
[2019-03-19T16:14:16.267Z]	<rhiaro>	JoeAndrieu: Process-wise, I'm trying to take a lesson from IANA's handling of when DNS records go bad, whichi s to be very slow about pulling things out becuase of failure to communicate
[2019-03-19T16:14:18.140Z]	<drummond>	Voip: connections?
[2019-03-19T16:14:39.671Z]	<rhiaro>	... It was mentioned in one of our calls we should just delete those.. but these people may not know they're on the verge of being deleted. I don't want to take them out until we've gone through some process and tried to reach them and given them an opportunity to participate
[2019-03-19T16:14:42.600Z]	<mwherman2000>	Also launched the SOVRIN ARM Interactive Explorer: https://github.com/mwherman2000/sovrin-arm/blob/master/README.md#current-scope
[2019-03-19T16:14:47.123Z]	<rhiaro>	... If they're old and out of date we will remove them. Want to give them some time
[2019-03-19T16:14:54.688Z]	<rhiaro>	... Thanks Kaliya for offering to reach out to the dominode folks
[2019-03-19T16:15:02.301Z]	<drummond>	voip: 8f7 is drummond
[2019-03-19T16:15:08.479Z]	<drummond>	present+
[2019-03-19T16:15:12.413Z]	<rhiaro>	... I'd love to see the specs from these folks. We don't want to kick people out, just make sure the methods that are securing names are in fact viable at some level
