[2019-07-30T15:54:39.000Z]	<kimhd> Agenda: https://lists.w3.org/Archives/Public/public-credentials/2019Jul/0074.html
[2019-07-30T15:54:39.592Z]	<wmclaxton>	voip: 707 is wmclaxton
[2019-07-30T16:00:37.360Z]	<aljones15_db>	+present Andrew Jones DB
[2019-07-30T16:00:41.567Z]	<TallTed>	present+ Ted_Thibodeau
[2019-07-30T16:01:18.296Z]	<wmclaxton>	present+ wmclaxton
[2019-07-30T16:01:46.086Z]	<jonathan_holt>	present+ jonathan_holt
[2019-07-30T16:01:46.316Z]	<manu>	JoeAndrieu: The call today is going to focus on what comes after DIDs?
[2019-07-30T16:01:48.435Z]	<brent>	present+ Brent_Zundel
[2019-07-30T16:02:15.797Z]	<agropper>	present+ Adrian_Gropper
[2019-07-30T16:02:21.402Z]	<manu>	JoeAndrieu: We're looking for what's the next big chunk - it'll take 4-5 years to incubate, work on a WG, take it through W3C process. We want to explore in an open ended way... what's worth our time?
[2019-07-30T16:02:27.655Z]	<manu>	JoeAndrieu: That's going to be our conversation today.
[2019-07-30T16:02:50.896Z]	<manu>	Joe provides Public IP Note - please sign the CCG Contribution Agreement, or don't make substantive contributions.
[2019-07-30T16:02:56.322Z]	<rhiaro>	present+
[2019-07-30T16:03:08.743Z]	<aljones15_db>	present+
[2019-07-30T16:03:15.853Z]	<Shivam_sethi>	Present+
[2019-07-30T16:03:16.013Z]	<manu>	scribe: rhiaro
[2019-07-30T16:03:18.633Z]	<Justin>	present+
[2019-07-30T16:03:25.947Z]	<charlie>	present+
[2019-07-30T16:03:30.632Z]	<ChristopherA>	present+
[2019-07-30T16:03:52.767Z]	<rhiaro>	JoeAndrieu: if for some reason you're only on irc, please q+ anyway
[2019-07-30T16:04:06.532Z]	<Shivam_sethi>	q+
[2019-07-30T16:04:08.278Z]	<rhiaro>	Topic: intros and reintros
[2019-07-30T16:04:14.456Z]	<JoeAndrieu>	q?
[2019-07-30T16:04:14.833Z]	<rhiaro>	JoeAndrieu: anyone who for this is their first call?
[2019-07-30T16:04:24.362Z]	<JoeAndrieu>	ack Shivam_sethi
[2019-07-30T16:04:29.496Z]	<rhiaro>	Shivam_sethi: I was part of the DID calls but for the CCG this is the first call I am joining
[2019-07-30T16:04:37.544Z]	<rhiaro>	... I'm from an Indian based company (?)
[2019-07-30T16:04:42.467Z]	<rhiaro>	JoeAndrieu: Anyone else new?
[2019-07-30T16:04:57.632Z]	<rhiaro>	... How about a reintro
[2019-07-30T16:05:21.756Z]	<dlongley>	present+
[2019-07-30T16:05:39.578Z]	<rhiaro>	JoeAndrieu: invokes stonematt to reintro?
[2019-07-30T16:05:50.496Z]	<dmitriz>	present+
[2019-07-30T16:05:54.104Z]	<yancy>	present+
[2019-07-30T16:06:11.714Z]	<dlehn>	present+
[2019-07-30T16:06:36.780Z]	<rhiaro>	agropper: I'm CTO of a nonprofit called patient privacy rights, my role in this community is because there's an open source project that I'd like to think is a reference implementation ofhow VCs and DIDs can be used to manage health records
[2019-07-30T16:06:55.546Z]	<rhiaro>	... We've implemented uPort about 3 years ago and are looking forward to aligning with the standard
[2019-07-30T16:07:01.543Z]	<rhiaro>	... at the rate our developer (one person) can adapt
[2019-07-30T16:07:11.358Z]	<rhiaro>	... One interesting tidbit, for 3 years I've been involved in the health records infrastructure for India
