[2019-10-17T20:04:25.854Z]	<jonathan_holt>	present+ jonathan_holt
[2019-10-17T20:05:16.080Z]	<markus_sabadello>	present+
[2019-10-17T20:05:51.495Z]	<dmitriz>	(DID resolution meeting starting)
[2019-10-17T20:20:25.973Z]	<burn>	q?
[2019-10-17T20:21:49.840Z]	<burn>	q+
[2019-10-17T20:23:05.596Z]	<markus_sabadello>	ack burn
[2019-10-17T20:24:34.922Z]	<SamS>	I agree with Dan.  step one is confusing to be part of dereferencing section
[2019-10-17T20:29:30.328Z]	<SamS>	q+
[2019-10-17T20:29:51.803Z]	<markus_sabadello>	ack SamS
[2019-10-17T20:40:35.488Z]	<burn>	voip-ccg: who is here?
[2019-10-17T20:41:12.071Z]	<burn>	present+
