[2020-02-13T21:13:20.758Z]	<markus_sabadello>	present+
[2020-02-13T21:14:37.058Z]	<kdenhartog>	present+
[2020-02-13T21:15:00.670Z]	<Justin>	present+
[2020-02-13T21:16:46.537Z]	<kdenhartog>	markus_sabadello: There's a close overlap between did-core and did resolution
[2020-02-13T21:18:16.907Z]	<kdenhartog>	... trying to figure out how the overlap can be done and this was discussed at the did WG F2F meeting
[2020-02-13T21:18:58.402Z]	<kdenhartog>	... the main conclusion from that discussion was that the did-core spec should talk more about resolution and should include did resolution as a topic to some extent
[2020-02-13T21:19:33.101Z]	<kdenhartog>	... It [did-core spec] should include the contract of did resolution
[2020-02-13T21:20:23.262Z]	<kdenhartog>	... DID resolution would continue to exist, but would be more about the resolution implementation details where dereferencing process would fall in line with did resolution spec
[2020-02-13T21:21:29.333Z]	<kdenhartog>	Justin: There's a few places where this contract interface would be used. One is did and did urls. The second is dids and derefencing in did documents
[2020-02-13T21:22:25.387Z]	<kdenhartog>	... There's a lot of defined decisions in implementations today, but the spec would define these things so new implementations could also be defined
[2020-02-13T21:23:07.229Z]	<kdenhartog>	... this is in line with how did methods can specify the CRUD operations, but don't specify how that should be done. A similar pattern will be followed with did resolution
[2020-02-13T21:23:11.098Z]	<burn>	present+
[2020-02-13T21:24:54.253Z]	<kdenhartog>	tplooker: Dereferencing is more of a client side functionality and having resolvers calling other resolvers could start to break these contracts
[2020-02-13T21:25:07.095Z]	<kdenhartog>	markus_sabadello: these topics are related to the first contract
[2020-02-13T21:26:04.409Z]	<kdenhartog>	... I don't think it's accurate to say dereferencing is always a local operation
[2020-02-13T21:27:02.077Z]	<kdenhartog>	tplooker: Yeah you're probably right. I don't think I was being clear in what I meant by dereferencing.
[2020-02-13T21:27:54.739Z]	<kdenhartog>	markus_sabadello: we need to work on this disctinction more in the did resolution spec. We have some discussion about this in the spec regarding dereferencing the primary resource vs dereferencing the secondary resource
[2020-02-13T21:28:42.488Z]	<kdenhartog>	... this probably still requires more work because we don't discuss a did dereferencer yet
[2020-02-13T21:29:36.276Z]	<kdenhartog>	tplooker: what happens when a resolver is passed a did-url? would I be returned something other than a did document
[2020-02-13T21:29:53.019Z]	<dmitriz>	present_
[2020-02-13T21:29:59.682Z]	<dmitriz>	present+
[2020-02-13T21:30:01.914Z]	<kdenhartog>	Justin: that's the exact thing that the contract needs to further define
[2020-02-13T21:30:36.772Z]	<tplooker>	present+
[2020-02-13T21:31:21.356Z]	<kdenhartog>	dmitriz: in regards to the did:web method, can there be more than one did:web per domain? The reason I bring this up is because if two did:urls have separate paths do they count as the same resource?
[2020-02-13T21:32:17.259Z]	<kdenhartog>	markus_sabadello: Ivan would probably have some strong opinions about this. He's been wanting us to be more specific about some of these things and we can't override basic web architecture.
[2020-02-13T21:32:36.696Z]	<kdenhartog>	... my answer would be if you have different urls then you have different identifiers
[2020-02-13T21:33:18.961Z]	<kdenhartog>	... I believe there's nothing in web architecture that have multiple identifiers reference the same resource
[2020-02-13T21:34:00.579Z]	<kdenhartog>	... I dont think that would be defined by these specifications, but this could be specified by method specs with matrix params
[2020-02-13T21:38:37.803Z]	<kdenhartog>	kdenhartog: this relates to the thinking I had around reference chaining in did documents
[2020-02-13T21:38:54.251Z]	<kdenhartog>	dmitriz: yeah that's a property of json-ld so it should be possible
[2020-02-13T21:39:16.575Z]	<kdenhartog>	kdenhartog: I wasn't sure if that holds true with JSON syntaxes though
[2020-02-13T21:46:21.149Z]	<kdenhartog>	continued discussion between markus_sabadello dmitriz and tplooker regarding derefencing (scribe missed some of it)
[2020-02-13T21:46:58.897Z]	<kdenhartog>	tplooker: I think it depends on what level of autonomy we leave to the did methods and implementors
[2020-02-13T21:48:14.179Z]	<kdenhartog>	markus_sabadello: is the authority the did or the entire url
[2020-02-13T21:48:32.108Z]	<kdenhartog>	dmitriz: I think that's correct
[2020-02-13T21:48:47.067Z]	<kdenhartog>	markus_sabadello: I think that's invalid regarding language around did-core spec
[2020-02-13T21:49:35.560Z]	<kdenhartog>	dmitriz: can the id be the full did-url?
[2020-02-13T21:50:44.455Z]	<kdenhartog>	johnnycrunch: Joe would likely argue that it's not self sovereign
[2020-02-13T21:50:56.172Z]	<kdenhartog>	dmitriz: the keys could be used
[2020-02-13T21:51:15.000Z]	<kdenhartog>	johnnycrunch: then this gets into what sam has been talking about self certifying identifier
[2020-02-13T21:51:39.746Z]	<kdenhartog>	dmitriz: controlling path states who controls keys
[2020-02-13T21:52:36.987Z]	<kdenhartog>	only control of that resource is needed
