[2020-02-20T21:13:17.003Z]	<markus_sabadello> Agenda: https://docs.google.com/document/d/1qYBaXQMUoB86Alquu7WBtWOxsS8SMhp1fioYKEGCabE/
[2020-02-20T21:13:17.003Z]	<sumita>	present+
[2020-02-20T21:16:07.752Z]	<jonathan_holt>	present+ jonathan_holt
[2020-02-20T21:16:14.894Z]	<tplooker>	present+
[2020-02-20T21:16:32.343Z]	<jonathan_holt>	scribe: jonathan_holt
[2020-02-20T21:17:02.113Z]	<jonathan_holt>	markus_sabadello: discussion about did resolution and thought on bringing to did core spec
[2020-02-20T21:17:41.796Z]	<jonathan_holt>	... what are the inputs and outputs and expect from dereference, etc.  continuing discussion from last time
[2020-02-20T21:18:09.986Z]	<jonathan_holt>	dmitriz:  I'd love to discuss stuff about paths from WG.
[2020-02-20T21:18:21.671Z]	<jonathan_holt>	... on origins of that discussion
[2020-02-20T21:18:39.873Z]	<Tom_S__USAA_>	present+
[2020-02-20T21:18:57.596Z]	<jonathan_holt>	markus_sabadello:  when did we discuss this last?
[2020-02-20T21:19:34.487Z]	<jonathan_holt>	markus_sabadello: might have been on the CCG call.  what would you like to discuss?
[2020-02-20T21:20:10.119Z]	<markus_sabadello> Topic: JSON Pointers in fragments
[2020-02-20T21:20:10.119Z]	<jonathan_holt>	tobias:  concern about JSON pointers.  spec stated should not exclude.  what was the context?
[2020-02-20T21:20:36.928Z]	<jonathan_holt>	... if you use json pointer, need a preceeding '/'
[2020-02-20T21:20:51.895Z]	<jonathan_holt>	markus_sabadello:  we have two different thread.  paths and json pointers
[2020-02-20T21:21:05.526Z]	<jonathan_holt>	dmitriz : strike that, let's come back to paths.
[2020-02-20T21:21:29.816Z]	<jonathan_holt>	markus_sabadello: let's talk about tobias point first
[2020-02-20T21:22:11.811Z]	<jonathan_holt>	tobias:  really just a point from F2F, we wanted a natural data model with lossless conversion between solution, and should not exclude json pointers
[2020-02-20T21:23:19.219Z]	<jonathan_holt>	... my concern is that if i have an element in the DID doc that has a fully qualified URI, if i use json pointers, need the full '/' before and not by the position if it is in an array.  JSON-LD has a well-defined way to expand contract graphs.
[2020-02-20T21:23:47.072Z]	<jonathan_holt>	... not sure how to have lossless conversion, any examples.
[2020-02-20T21:24:34.882Z]	<jonathan_holt>	markus_sabadello: i don't think it is about lossless conversion, but even if you can covert, you are really asking about the nature of the fragment after you deref the url.
[2020-02-20T21:24:49.720Z]	<jonathan_holt>	... and the nature of the frag is determined by the MIME type.
[2020-02-20T21:25:24.488Z]	<jonathan_holt>	... if you have a DID URL in JSON-LD then it is well-defined.  and not conducive to JSON-pointers.
[2020-02-20T21:26:17.060Z]	<jonathan_holt>	... not sure if the conversion will work.  if you use JSON application/json MIME type, there is something missing to imply semantics.
[2020-02-20T21:26:57.618Z]	<jonathan_holt>	tobias: that is also my concern, standardized way across syntax and is quite different.
[2020-02-20T21:27:32.591Z]	<jonathan_holt>	justin:  are links in the document, links across the DID.  reading the DID spec, not sure how that are intepreted.
[2020-02-20T21:27:44.069Z]	<jonathan_holt>	tobias:  exactly my point.
[2020-02-20T21:28:09.442Z]	<jonathan_holt>	dmitriz :  my comment as well. the format of the links are determined by the representation, i.e. JSON, CBOR etc
[2020-02-20T21:28:26.810Z]	<jonathan_holt>	tobias: sharing screen with examples. JSON samples.
[2020-02-20T21:28:36.700Z]	<jonathan_holt>	... first one is JSON-LD.
[2020-02-20T21:29:02.465Z]	<jonathan_holt>	... are we going to use @id in the JSON example?
[2020-02-20T21:29:40.375Z]	<jonathan_holt>	.. example in JSON pointer using #
[2020-02-20T21:30:53.039Z]	<jonathan_holt>	... as compared to JSON-LD referenced.
[2020-02-20T21:31:05.085Z]	<jonathan_holt>	jonathan:  we use json pointers in IPLD
[2020-02-20T21:31:35.676Z]	<jonathan_holt>	dmitriz:  since other things other than JSON-LD not sure how to do it.
[2020-02-20T21:32:15.489Z]	<jonathan_holt>	justin:  may be substantive contribution that needs discussing in WG of CCG?
[2020-02-20T21:32:28.489Z]	<jonathan_holt>	tobias:  overlaying the namespace,
[2020-02-20T21:33:14.050Z]	<jonathan_holt>	justin:  defrencing the fragment is defined by the resource type as determined by the URI, like html,  different in JSON, vs JSON-LD
[2020-02-20T21:33:24.069Z]	<jonathan_holt>	... IPLD can do something else.
[2020-02-20T21:33:46.108Z]	<jonathan_holt>	tobias: does that couple the identifier with the document?
[2020-02-20T21:34:39.125Z]	<jonathan_holt>	justin:  yes, and we could (DID WG) could define as universal way to use fragments across all difference document representation as there is not defined MIME type.
[2020-02-20T21:35:13.099Z]	<jonathan_holt>	tobias:  eventhough they represent same doc but in deferent syntax,  you could losslessly convert.
[2020-02-20T21:35:46.992Z]	<jonathan_holt>	... i can see this turning into a mess
[2020-02-20T21:36:08.141Z]	<jonathan_holt>	... just as a REST API expecting json
[2020-02-20T21:38:52.102Z]	<jonathan_holt>	jonathan: not getting deterministic results
[2020-02-20T21:39:37.294Z]	<jonathan_holt>	markus_sabadello:  agree with tobias, concern about @id interpretation, depends on representation and how those options are passed to the resolver
[2020-02-20T21:41:23.405Z]	<jonathan_holt>	... even though in URI the MIME type, may require meta data.  this may rule out JSON pointer as it may not make sense in other syntax.  the abstract data model, with different syntax, have to define different @id and if they can be linked.
[2020-02-20T21:41:34.312Z]	<jonathan_holt>	... they could be defined in each representations.
[2020-02-20T21:41:51.533Z]	<jonathan_holt>	dmitriz :  this is interesting
[2020-02-20T21:41:58.848Z]	<jonathan_holt>	tobias: i can raise an issue
[2020-02-20T21:42:30.914Z]	<dmitriz>	scribe: dmitriz
[2020-02-20T21:43:12.148Z]	<dmitriz>	markus_sabadello: So maybe each DID Document needs to encode the link format?
[2020-02-20T21:43:40.881Z]	<dmitriz>	jricher: that would mess with parsers, though - you need to know the format before parsing the document
[2020-02-20T21:44:06.831Z]	<dmitriz>	s/markus_sabadello: So/jonathan_holt: So/
[2020-02-20T21:44:25.078Z]	<dmitriz>	jonathan_holt: IPLD uses multiformat etc, so that it's self-describing
[2020-02-20T21:45:02.654Z]	<dmitriz>	markus_sabadello: so maybe some DID Methods will have strong opinions on the link format, but other methods, that don't have strong preferences, may negotiate with the DID Resolver for this
[2020-02-20T21:45:12.462Z]	<markus_sabadello> Topic: DID Resolution contract
[2020-02-20T21:45:12.462Z]	<dmitriz>	… I'd like to share some slides
[2020-02-20T21:45:24.850Z]	<dmitriz>	… and I'd like some feedback
