[2020-08-04T15:59:10.066Z]	<oliver_>	present+ oliver_terbu
[2020-08-04T15:59:50.962Z]	<wayne>	present+
[2020-08-04T15:59:57.304Z]	<wayne>	justin_r: indeed it is
[2020-08-04T15:59:58.135Z]	<heathervescent>	present+
[2020-08-04T16:00:06.391Z]	<justin_r>	present+
[2020-08-04T16:00:41.172Z]	<burn>	present+
[2020-08-04T16:00:58.158Z]	<dmitriz>	present+
[2020-08-04T16:01:02.039Z]	<rhiaro>	present+
[2020-08-04T16:01:31.723Z]	<agropper>	present+
[2020-08-04T16:01:38.960Z]	<Orie_>	present+
[2020-08-04T16:01:39.270Z]	<dlongley>	present+
[2020-08-04T16:01:42.801Z]	<kimhd>	Agenda: https://lists.w3.org/Archives/Public/public-credentials/2020Aug/0014.html
[2020-08-04T16:01:52.221Z]	<manu>	present+
[2020-08-04T16:02:42.734Z]	<econnell>	present+
[2020-08-04T16:02:43.487Z]	<Kerri_Lemoie>	present+
[2020-08-04T16:02:57.969Z]	<rgrant>	present+
[2020-08-04T16:02:59.490Z]	<kimhd>	https://www.w3.org/community/credentials/join
[2020-08-04T16:03:07.308Z]	<kimhd>	https://www.w3.org/accounts/request
[2020-08-04T16:03:16.325Z]	<kimhd>	https://www.w3.org/community/about/agreements/cla/
[2020-08-04T16:03:29.233Z]	<Balazs>	present+
[2020-08-04T16:04:14.982Z]	<javaservlets>	present+
[2020-08-04T16:04:17.294Z]	<Ed_Eykholt>	present+
[2020-08-04T16:04:32.236Z]	<Geun-Hyung_>	present+
[2020-08-04T16:04:46.823Z]	<javaservlets>	<aka Robbie Jones @ ForgeRock> present+
[2020-08-04T16:05:22.442Z]	<kimhd>	https://docs.google.com/document/d/1LkqZ10z7FeV3EgMIQEJ9achEYMzy1d_2S90Q_lQ0y8M/edit?usp=sharing
[2020-08-04T16:05:53.047Z]	<ChristopherA>	present+
[2020-08-04T16:06:07.561Z]	<tayken>	present+
[2020-08-04T16:06:09.290Z]	<T3-Phil>	present+
[2020-08-04T16:06:21.682Z]	<JoeAndrieu>	present+
[2020-08-04T16:06:30.766Z]	<kimhd>	Scribe: JoeAndrieu
[2020-08-04T16:06:48.888Z]	<kimhd>	Topic: Introductions and Reintroductions
[2020-08-04T16:07:22.034Z]	<Anil_John>	present+
[2020-08-04T16:07:42.671Z]	<kimhd>	Ed_Eykholt irespond global (?)
[2020-08-04T16:07:44.143Z]	<adamjlemmon>	present+
[2020-08-04T16:07:55.281Z]	<JoeAndrieu>	Ed_Eykholt: I'm with XXX service provider. We have a birth attestation project that will be generating identifiers & QR codes for credentials
[2020-08-04T16:09:12.244Z]	<ChristopherA>	q+
[2020-08-04T16:09:22.343Z]	<kimhd>	ack ChristopherA
[2020-08-04T16:09:22.395Z]	<jonathan_holt>	present+ jonathan_holt
[2020-08-04T16:09:31.508Z]	<Ed_Eykholt>	Yes, I'm with iRespond Global, a biometric service provider
[2020-08-04T16:09:35.772Z]	<John_Callahan>	i'll be happy to re-introduce - John Callahan Veridium CTO
[2020-08-04T16:09:44.188Z]	<John_Callahan>	q+
[2020-08-04T16:09:44.812Z]	<JoeAndrieu>	ChristopherA: Good morning. Last time I talked with you, I was a co-chair. Moving from an administrative talker to a doer.
[2020-08-04T16:09:51.122Z]	<JoeAndrieu>	... With Blockchain Commons
[2020-08-04T16:10:07.982Z]	<JoeAndrieu>	... Trying to create a basis under Wyoming law "what is identity" that is able to express SSI principles
[2020-08-04T16:10:17.576Z]	<JoeAndrieu>	... Also trustless, self-sovereign identity solutions
[2020-08-04T16:10:29.070Z]	<identitywoman_>	wondering are you actually working with actual lawyers in the community? like Elizabeth R.
[2020-08-04T16:10:38.233Z]	<JoeAndrieu>	... BTCR was our baseline, but that hasn't kept up with BTC innovations, so we are puzzling through how to leverage that
[2020-08-04T16:10:57.413Z]	<JoeAndrieu>	... along with peer-to-peer and newer bitcoin techniques (meaning lightning and its kind)
[2020-08-04T16:11:00.245Z]	<kimhd>	q?
[2020-08-04T16:11:11.905Z]	<JoeAndrieu>	... Putting head down to coding and working with coders. Blockchain Commons
[2020-08-04T16:11:28.454Z]	<kimhd>	ack John_Callahan
[2020-08-04T16:11:54.671Z]	<JoeAndrieu>	John_Callahan: I got by Jack, CTO of XXX. We have a new CEO, who has recommited us to self-sovereign identity
[2020-08-04T16:12:07.894Z]	<John_Callahan>	Veridium
[2020-08-04T16:12:17.395Z]	<kimhd>	Topic: Announcements & Reminders
[2020-08-04T16:12:21.970Z]	<burn>	+1 Jack yay for commitment to SSI
[2020-08-04T16:12:25.147Z]	<kimhd>	https://w3c-ccg.github.io/announcements/
[2020-08-04T16:12:25.648Z]	<JoeAndrieu>	s/CTO of XXX/CTO of Veridium/
[2020-08-04T16:12:54.495Z]	<kimhd>	http://www.cvent.com/d/fhqnf3/4W
[2020-08-04T16:13:00.984Z]	<identitywoman_>	IIW is only 11 weeks away :)
[2020-08-04T16:13:07.062Z]	<JoeAndrieu>	kimhd: identiverse is happening
[2020-08-04T16:13:15.002Z]	<JoeAndrieu>	... weekly calls such as the one we're on now
[2020-08-04T16:13:20.002Z]	<JoeAndrieu>	... plus two others
[2020-08-04T16:13:36.673Z]	<JoeAndrieu>	... Credentials for Education every other Monday
[2020-08-04T16:13:37.362Z]	<kimhd>	https://github.com/w3c-ccg/vc-ed/blob/gh-pages/README.md
[2020-08-04T16:13:37.950Z]	<Orie_>	can't wait for IIW, highly recommend
[2020-08-04T16:13:55.422Z]	<JoeAndrieu>	... I run that group; email for an invite and you'll get the updates
[2020-08-04T16:14:08.655Z]	<kimhd>	Meeting page: https://docs.google.com/document/d/1qYBaXQMUoB86Alquu7WBtWOxsS8SMhp1fioYKEGCabE/
[2020-08-04T16:14:09.346Z]	<JoeAndrieu>	... also DID Resolution, weekly on Monday 1PM PDT / 4 PM EDT
[2020-08-04T16:14:25.467Z]	<JoeAndrieu>	... lastly, the secure data storage callson Thursday
[2020-08-04T16:14:29.026Z]	<kimhd>	https://forms.gle/HGGiFtgASUqWRqTLA
[2020-08-04T16:14:34.791Z]	<identitywoman_>	http://www.internetidentityworkshop.com - registration has opened up for early bird registration October 20-22.
[2020-08-04T16:14:37.811Z]	<JoeAndrieu>	... jointly run with DIF 1 pm PDT / 4 pm EDT
[2020-08-04T16:15:19.890Z]	<JoeAndrieu>	... Adjustment to agenda. Manu will be doing a "nontechnical" introduction to CBOR. Then we'll be doing a jitsi meeting.
[2020-08-04T16:15:47.213Z]	<JoeAndrieu>	... Prior to that, we'll do a presentation on election integrity after action items and work items
[2020-08-04T16:16:02.870Z]	<kimhd>	https://github.com/w3c-ccg/community/issues?q=is%3Aopen+is%3Aissue+label%3A%22action%3A+review+next%22
[2020-08-04T16:16:24.251Z]	<JoeAndrieu>	... every week, chairs review the action items and try to see how we can help, remove blockers, etc.
[2020-08-04T16:16:35.952Z]	<kimhd>	Topic: Progress on Action Items
[2020-08-04T16:16:43.130Z]	<kimhd>	https://github.com/w3c-ccg/community/issues/97
[2020-08-04T16:16:45.874Z]	<JoeAndrieu>	... two issues today
[2020-08-04T16:16:49.726Z]	<kimhd>	https://github.com/w3c-ccg/community/issues/88
[2020-08-04T16:17:17.222Z]	<JoeAndrieu>	... Issue 97 is about hosting schemas
[2020-08-04T16:17:31.333Z]	<JoeAndrieu>	... For both 97 and 88 the conversation kind of snaked around a little bit
[2020-08-04T16:17:46.091Z]	<JoeAndrieu>	... the main lurking issue seems to be uncertainty for developers as they get exposed to JSON-LD
[2020-08-04T16:18:00.002Z]	<JoeAndrieu>	... Questions about how to construct contexts and where to host them
[2020-08-04T16:18:38.842Z]	<JoeAndrieu>	... Orie proposed a way forward: to ensure that editors of any CCG specs with JSON-LD are listed as contacts so when people have JSON-LD issues, there is a list to ask for help
[2020-08-04T16:19:13.743Z]	<JoeAndrieu>	... Without a focused working group, it's not clear how best to make progress, but listing contacts seems like a good start
[2020-08-04T16:19:47.768Z]	<manu>	+1 to the approach Orie is mentioning.
[2020-08-04T16:20:01.168Z]	<jonathan_holt>	q+
[2020-08-04T16:20:11.246Z]	<JoeAndrieu>	Orie_: we don't have lots of time, so let's do something simple
[2020-08-04T16:20:38.171Z]	<JoeAndrieu>	kimhd: The idea of designating some editors... this is something the chairs can take on to figure out where such information should go
[2020-08-04T16:21:02.353Z]	<kimhd>	q?
[2020-08-04T16:21:08.189Z]	<JoeAndrieu>	... the only issue is whether or not there are strong objections. If you are an editor and don't want to be contacted, let us know. However, the better option is better documentations
[2020-08-04T16:21:09.468Z]	<kimhd>	ack jonathan_holt
[2020-08-04T16:21:54.662Z]	<JoeAndrieu>	jonahtan_holt: I would welcome external experts to review. There are schemas in from w3id.org inventing new things, or naming things that don't exist
[2020-08-04T16:22:24.825Z]	<JoeAndrieu>	kimhd: that's a good idea. Can you provide some links?
[2020-08-04T16:22:36.691Z]	<kimhd>	q?
[2020-08-04T16:23:06.175Z]	<JoeAndrieu>	... Since these aren't formal work items (they are issues). We can just close these out with these resolutions.
[2020-08-04T16:23:14.635Z]	<JoeAndrieu>	... updating issue 97 now
[2020-08-04T16:23:18.974Z]	<by_caballero>	present+
[2020-08-04T16:23:19.545Z]	<JoeAndrieu>	... feel free to add comments
[2020-08-04T16:23:22.403Z]	<kimhd>	Security vocab needs >1 codeowner
[2020-08-04T16:23:49.741Z]	<JoeAndrieu>	... There were a few work items that got grandfathered in, but they are missing code owners
[2020-08-04T16:23:57.643Z]	<manu>	+1 to Orie (Transmute) or Tobias (Mattr) being the other code owners for all security-related things that don't have two owners already.
[2020-08-04T16:24:00.503Z]	<JoeAndrieu>	... and only have one owner, which is not current process.
[2020-08-04T16:24:05.311Z]	<kimhd>	https://github.com/w3c-ccg/community/issues/146
[2020-08-04T16:24:07.382Z]	<manu>	q+
[2020-08-04T16:24:10.225Z]	<JoeAndrieu>	... so we'd like to get that fixed to current process
[2020-08-04T16:24:20.755Z]	<JoeAndrieu>	... Orie had proposed himself and Tobias
[2020-08-04T16:24:21.964Z]	<kimhd>	ack manu
[2020-08-04T16:24:33.109Z]	<JoeAndrieu>	manu: +1 to that proposal (Orie & Tobias)
[2020-08-04T16:24:49.302Z]	<JoeAndrieu>	kimhd: ok, this should be closable once we get that noted
[2020-08-04T16:25:02.668Z]	<JoeAndrieu>	... next up, Heather to present
[2020-08-04T16:25:07.774Z]	<heathervescent>	Deep Fakes, Digital Identity & Democracy (aka Hacking US elections using Maskirovka) https://drive.google.com/file/d/1V5iMLHESjyfB7aWeoX7LeO5JKmOR7aY8/view?usp=sharing
[2020-08-04T16:25:15.726Z]	<kimhd>	Topic: Deep Fakes, Digital Identity & Democracy (aka Hacking US elections using Maskirovka)
[2020-08-04T16:25:25.825Z]	<chriswinc>	present+
[2020-08-04T16:25:38.450Z]	<JoeAndrieu>	heathervescent: Please let me know if you can't access that presentation (it's a PDF)
[2020-08-04T16:25:52.147Z]	<JoeAndrieu>	... It might seem a bit random to present this information, but there are reasons I think it is important
[2020-08-04T16:26:00.583Z]	<JoeAndrieu>	... What you should be doing is just sit back and take it all in
[2020-08-04T16:26:05.570Z]	<JoeAndrieu>	... Many thanks to Anil John.
[2020-08-04T16:26:19.150Z]	<JoeAndrieu>	... He asked my team to look into securing election data
[2020-08-04T16:26:35.165Z]	<JoeAndrieu>	... Separatly an area of interest (for decades) has been misinformation
[2020-08-04T16:26:41.686Z]	<heathervescent>	Maskirovka
[2020-08-04T16:26:42.805Z]	<JoeAndrieu>	... Maskarovka
[2020-08-04T16:26:54.084Z]	<JoeAndrieu>	... goes into some more detail
[2020-08-04T16:27:10.449Z]	<JoeAndrieu>	... My experience with crafting narratives comes from my art and culture jamming in the late 90s
[2020-08-04T16:27:26.048Z]	<JoeAndrieu>	... I organized a bunch of culture jamming that challenged peoples views of what reality is
[2020-08-04T16:27:34.709Z]	<JoeAndrieu>	... not necessarily lie, but challenge thinking
[2020-08-04T16:27:43.556Z]	<JoeAndrieu>	... on of the "pranks" that we would do would be protesting
[2020-08-04T16:28:05.408Z]	<JoeAndrieu>	... the group would split into two subgroups: one for and one against, to show the absurdity of the topic at hand
[2020-08-04T16:28:11.267Z]	<kimhd>	https://drive.google.com/file/d/1V5iMLHESjyfB7aWeoX7LeO5JKmOR7aY8/view?usp=sharing
[2020-08-04T16:28:13.226Z]	<JoeAndrieu>	... That's my background and interest
[2020-08-04T16:28:23.745Z]	<JoeAndrieu>	... I've started to learn about the military use
[2020-08-04T16:28:50.807Z]	<JoeAndrieu>	... There is a currently a country really good at it and we are under attack. And that is Russia. That is Maskarovka
[2020-08-04T16:29:00.488Z]	<JoeAndrieu>	... This is not just a technical problem, it's a social problem
[2020-08-04T16:29:10.265Z]	<JoeAndrieu>	... That is why I think this presentation will be interesting
[2020-08-04T16:29:50.974Z]	<JoeAndrieu>	... Illinois Voter Data Hack (details in slide deck)
[2020-08-04T16:30:06.925Z]	<JoeAndrieu>	... This was Russian hackers.
[2020-08-04T16:30:24.929Z]	<JoeAndrieu>	... They didn't just hack Illinois. They targeted all 50 states.
[2020-08-04T16:30:38.792Z]	<JoeAndrieu>	... As a result, $14 million was spent improving the system
[2020-08-04T16:31:07.625Z]	<JoeAndrieu>	... but the fixes didn't make the news, rather the hack is seen as evidence our elections are out of control
[2020-08-04T16:31:28.115Z]	<JoeAndrieu>	... Identity in Elections (details in slide deck)
[2020-08-04T16:31:30.836Z]	<by_caballero>	http://bit.ly/vdsreport
[2020-08-04T16:31:36.632Z]	<by_caballero>	^direct link
[2020-08-04T16:32:00.487Z]	<JoeAndrieu>	... Based on polling place, you get different ballots. So we need to track personal information to support that
