[2021-01-27T18:01:30.965Z]	<JoeAndrieu>	present+
[2021-01-27T18:01:56.187Z]	<manu>	present: manu
[2021-01-27T18:02:15.235Z]	<Munz>	present+
[2021-01-27T18:02:37.573Z]	<by_caballero>	present+
[2021-01-27T18:03:00.764Z]	<Gabe>	present+
[2021-01-27T18:03:11.644Z]	<dlongley>	present+
[2021-01-27T18:03:30.360Z]	<heathervescent>	present+
[2021-01-27T18:04:00.273Z]	<dmitriz>	present+
[2021-01-27T18:04:02.921Z]	<Lio>	present+
[2021-01-27T18:04:08.471Z]	<Kasey_Alusi_(Workday)>	present+
[2021-01-27T18:04:18.498Z]	<Bjorn_(Workday)>	present+
[2021-01-27T18:04:23.798Z]	<wayne_>	present+
[2021-01-27T18:04:28.538Z]	<Liam_McCarty>	present+
[2021-01-27T18:06:15.269Z]	<dlongley>	scribe+
[2021-01-27T18:06:15.223Z]	<dlongley> Scribe: dlongley
[2021-01-27T18:06:15.269Z]	<wayne>	present+
[2021-01-27T18:06:19.431Z]	<TallTed>	present+
[2021-01-27T18:14:16.180Z]	<heathervescent> Agenda: https://lists.w3.org/Archives/Public/public-credentials/2021Jan/0061.html
[2021-01-27T18:14:16.123Z]	<heathervescent> Topic: Introductions

[2021-01-27T18:06:37.217Z]	<dlongley>	wayne: Is there anyone new on the call that would like to introduce?
[2021-01-27T18:07:00.263Z]	<dlongley>	leo: I work at Work Day. I'm here in a supporting role.
[2021-01-27T18:07:32.991Z]	<dlongley>	Kasey: I'm on the same Workday team. Here to see Gabe's presentation and the discussion that follows.
[2021-01-27T18:07:44.782Z]	<dlongley>	Tim: I'm not usually on this call, I'm here from Microsoft to listen to Gabe.
[2021-01-27T18:07:59.736Z]	<dlongley>	Daniel: Also from Workday, here to support Gabe and looking forward to his presentation.
[2021-01-27T18:08:20.316Z]	<dlongley>	Gabe: I'm here to support myself. I used to be at Workday but now I'm not.
