
[2021-05-17T22:03:15.000Z]	<kimhd> Agenda: https://lists.w3.org/Archives/Public/public-credentials/2021May/0069.html
[2021-05-17T22:03:16.810Z]	<kimhd>	Topic: Introductions and Reintroductions
[2021-05-17T22:03:20.000Z]	<kimhd>	None
[2021-05-17T22:03:35.560Z]	<kimhd>	Topic: Announcements and Reminders
[2021-05-17T22:03:36.000Z]	<kimhd>	None
[2021-05-17T22:03:47.110Z]	<kimhd>	Okay, so we can dive into the payloads discussion and i'll mute myself, so that the background noise is minimized.
[2021-05-17T22:04:35.590Z]	<kimhd>	So let's see we can start can we can continue the discussion from from last week I included the link to this to the slides we had last week Kerri.
[2021-05-17T22:04:50.320Z]	<kimhd>	And I have a lot of background noise and expect to today, so can it show just turn over to you to.
[2021-05-17T22:04:58.990Z]	<kimhd>	Keep the discussion going.
[2021-05-17T22:05:01.000Z]	<kimhd> <kimhd>	Topic: Payloads Discussion, continued
[2021-05-17T22:05:01.600Z]	<Kerri_Lemoie>	yeah absolutely and I can also share my screen again.
[2021-05-17T22:05:05.410Z]	<Kerri_Lemoie>	Okay just sort of walk back to where we were last week.
[2021-05-17T22:05:11.170Z]	<Kerri_Lemoie>	During the shall share the link of the sites in the chat just so we have them do their own thing.
[2021-05-17T22:05:31.420Z]	<Kerri_Lemoie>	so we went through these examples kind of briefly last week oops sorry I stopped sharing my mistake once again man, I really need some coffee today I don't know what my problem is i'm so here are the slides from last week.
[2021-05-17T22:05:47.680Z]	<Kerri_Lemoie>	And I think what we were trying to accomplish or what I was suggesting we accomplished last week.
[2021-05-17T22:05:56.530Z]	<Kerri_Lemoie>	Work on the self contained payloads first and get these things out of the way and no badges, we know that there's still work going on on these the 17 payloads at that.
[2021-05-17T22:06:07.960Z]	<Kerri_Lemoie>	You know what we really just want to do is get this part of the modeling Doc done so that we can get to other you know the other issues about a lighting BC edgy with the earlier.
[2021-05-17T22:06:19.030Z]	<Kerri_Lemoie>	So I think you can or somewhere else, maybe around what we could do is maybe look at these again.
[2021-05-17T22:06:24.880Z]	<Kerri_Lemoie>	And then discuss you know what we like about all of these, and maybe come to a consensus about whether all of them go into the modeling dark or one of them are a couple know what kind of consensus we can agree to that How does that sound.
[2021-05-17T22:06:42.970Z]	<kimhd>	yeah sounds great okay.
[2021-05-17T22:06:45.970Z]	<Phil-T3>	Kerri yet give some underlying sort of sense of.
[2021-05-17T22:06:51.010Z]	<Phil-T3>	What would be the character is ideal characteristics, to look for as we go through these.
[2021-05-17T22:06:58.540Z]	<Phil-T3>	or least the points of differentiation that need to be paid particular attention.
[2021-05-17T22:07:06.070Z]	<Kerri_Lemoie>	To them, and I can point out the differentiation.
[2021-05-17T22:07:09.100Z]	<Phil-T3>	yeah okay.
[2021-05-17T22:07:11.500Z]	<Kerri_Lemoie>	yeah you know, I was that's a really good question I was looking through our use cases this morning and I feel like we need to do some work their overall gathering or use cases.
[2021-05-17T22:07:23.770Z]	<Kerri_Lemoie>	So this is a little bit actually cart before the horse, although I feel like also we've been staring at this same course in part for a really long time so it's both here they mean.
[2021-05-17T22:07:34.660Z]	<Kerri_Lemoie>	So I feel as though.
[2021-05-17T22:07:35.710Z]	<Kerri_Lemoie>	Maybe we should look these over as a group and reach some kind of consensus, or you could all tell me that no no let's just set the society move on.
[2021-05-17T22:07:45.700Z]	<Kerri_Lemoie>	I you know it's very good just to get us somewhere help us get somewhere with all of this.
[2021-05-17T22:07:51.190Z]	<Kerri_Lemoie>	Maybe even today we just talked about what we like and don't like about.
[2021-05-17T22:07:56.830Z]	<Kerri_Lemoie>	know all of these examples.
[2021-05-17T22:08:00.430Z]	<Kerri_Lemoie>	So how about I just go through the examples, one by one, and then.
[2021-05-17T22:08:05.680Z]	<Kerri_Lemoie>	We could talk about them, maybe spend a few minutes on each so we can start with this, but this is the LCR example car rappers apple.
[2021-05-17T22:08:14.440Z]	<Kerri_Lemoie>	And what we can see what this one is it contains the verifiable credential.
[2021-05-17T22:08:20.020Z]	<Kerri_Lemoie>	properties, but it also contains some additional ones that are provided by the which is this context.
[2021-05-17T22:08:27.280Z]	<Kerri_Lemoie>	file up here is that we have as a learner record rapper which allows you know the understanding for verify reflection perspective of name description.
[2021-05-17T22:08:38.920Z]	<Kerri_Lemoie>	And I think those are the additional ones here, and then the learner record hey we have this proven control ID of this payload and, from this perspective, a verified could come in and say Okay, this is a learner record I understand I can understand this data, because it's here.
[2021-05-17T22:08:57.370Z]	<Kerri_Lemoie>	But the things that we learned, as we started analyzing the different like how this approach was that.
[2021-05-17T22:09:06.460Z]	<Kerri_Lemoie>	there's some system things where we have like the issuer up here and we don't necessarily know if that issue will be aligned with Miller and a record if you get yours to teach here.
[2021-05-17T22:09:16.840Z]	<Kerri_Lemoie>	So we have like an issue date we don't have an issue disappear, we do we have the date, and then we have this issue on in here.
[2021-05-17T22:09:25.030Z]	<Kerri_Lemoie>	So there are some things that don't line up exactly really, this is a really great first draft of there are some things that still need to be updated and it's also you know a lot of additional fields, they may not be necessary, unless it is a payload that has a different type of format.
[2021-05-17T22:09:42.670Z]	<Phil-T3>	isn't evidence, at least in the context of Ob I evidence redundant to the actual will be I define them the model itself.
[2021-05-17T22:09:51.640Z]	<Kerri_Lemoie>	yeah and evidence evidence is part of like an instance to and not.
[2021-05-17T22:09:58.300Z]	<Kerri_Lemoie>	So that's another issue right we have this learning to record that the payload the payload itself contains instance information, including the.
[2021-05-17T22:10:07.630Z]	<Kerri_Lemoie>	A trip, so this, this is one of the concerns like why it might be challenging for verify or to understand.
[2021-05-17T22:10:15.520Z]	<Kerri_Lemoie>	This this model with an open batch specifically they just looking at this from an open batch perspective right now.
[2021-05-17T22:10:21.130Z]	<kimhd>	Actually linger on that for a SEC i'm not sure I got that, so why.
[2021-05-17T22:10:28.570Z]	<Kerri_Lemoie>	Only because we're looking at this from an open badge perspective right now.
[2021-05-17T22:10:33.790Z]	<kimhd>	is, how is that, like How would open badges generally do it, I forget.
