[2021-06-15T16:00:26.000Z]	<Kevin_[Spruce_Systems]> Agenda: https://lists.w3.org/Archives/Public/public-credentials/2021May/0167.html
[2021-06-15T16:00:26.456Z]	<Markus_Sabadello>	present+
[2021-06-15T16:00:26.457Z]	<Charles_E._Lehner>	present+
[2021-06-15T16:00:26.458Z]	<Wayne_Chang>	present+
[2021-06-15T16:00:26.459Z]	<TallTed_//_Ted_Thibodeau_(he/him)_(openlinksw.com)>	present+
[2021-06-15T16:00:26.971Z]	<mprorock>	present+
[2021-06-15T16:00:27.769Z]	<IdentityWoman>	present+
[2021-06-15T16:00:39.473Z]	<Juan_Caballero_(DIF/Spruce)>	present+
[2021-06-15T16:00:56.386Z]	<Eric_Schuh>	present+
[2021-06-15T16:01:02.728Z]	<Kevin_[Spruce_Systems]>	present+
[2021-06-15T16:01:44.969Z]	<Chris_Winczewski>	present+
[2021-06-15T16:01:49.117Z]	<Kerri_Lemoie>	present+
[2021-06-15T16:01:51.065Z]	<Joe_Andrieu>	present+
[2021-06-15T16:01:55.306Z]	<chriswinc>	present+
[2021-06-15T16:01:58.315Z]	<Kerri_Lemoie>	present+
[2021-06-15T16:02:04.869Z]	<Manu_Sporny>	present+
[2021-06-15T16:02:07.697Z]	<econnell>	present+
[2021-06-15T16:02:17.990Z]	<GeunHyung_Kim>	present+
[2021-06-15T16:02:31.819Z]	<econnell>	present+
[2021-06-15T16:02:32.732Z]	<Kerri_Lemoie>	present+
[2021-06-15T16:02:53.516Z]	<Dmitri_Z>	present+
[2021-06-15T16:03:37.886Z]	<Phil.L>	present+
[2021-06-15T16:03:39.242Z]	<Geun-Hyung>	present+
[2021-06-15T16:03:49.866Z]	<Wayne_Chang>	present+
[2021-06-15T16:03:54.418Z]	<cel>	present+
[2021-06-15T16:04:01.196Z]	<Brian>	present+
[2021-06-15T16:05:41.460Z]	<econnell>	I can do it!
[2021-06-15T16:05:52.663Z]	<Wayne_Chang>	scribe+ econnell
[2021-06-15T16:06:00.707Z]	<econnell>	my mic is glitchy
[2021-06-15T16:06:06.952Z]	<manu>	hooray, ty econnell !!! :)
[2021-06-15T16:06:09.021Z]	<econnell>	ok!
[2021-06-15T16:06:28.611Z]	<econnell>	wayne: introductions and reintroductions
[2021-06-15T16:07:16.018Z]	<manu>	q+
[2021-06-15T16:07:20.863Z]	<econnell>	wayne: announcements and reminders
[2021-06-15T16:07:20.917Z]	<Wayne_Chang>	ack manu
[2021-06-15T16:07:26.612Z]	<Phil.L>	present+
[2021-06-15T16:07:46.225Z]	<Adrian_Gropper>	present+
[2021-06-15T16:07:53.962Z]	<Manu_Sporny>	https://www.w3.org/TR/2021/CR-did-core-20210615/
[2021-06-15T16:07:56.493Z]	<econnell>	manu: DID spec has entered candidate recommendation.
[2021-06-15T16:08:07.185Z]	<rgrant>	present+
[2021-06-15T16:08:57.748Z]	<econnell>	manu: implementations were expected, we didn't get those, so second recommendation was activated. some things may be removed from the spec as a result
[2021-06-15T16:09:15.965Z]	<econnell>	manu: anything removed will be moved to the registry.
[2021-06-15T16:09:46.876Z]	<econnell>	manu: just went live today, looking for implementations and feedback.
[2021-06-15T16:09:51.401Z]	<mprorock>	manu, any high priority at risk items folks on the call can help with to prevent issues?
[2021-06-15T16:10:04.310Z]	<Chris_Winczewski>	present+
[2021-06-15T16:10:11.256Z]	<econnell>	manu: almost to the end now, things are smoothing out.
[2021-06-15T16:11:07.923Z]	<econnell>	manu: #2 linked data secure working group charter is under debate. the thread is about 200 email deep, there is heavy opposition from 2 people in the semantic web community, and the charter will reflect that input
[2021-06-15T16:11:54.359Z]	<econnell>	manu: restructuring of the work is under way, and then it will proceed. summer is also slowing things down, so likely a few months before that is worked out.
[2021-06-15T16:11:56.909Z]	<manu>	https://w3c.github.io/lds-wg-charter/
[2021-06-15T16:12:07.504Z]	<Wayne_Chang>	q?
[2021-06-15T16:12:15.855Z]	<Wayne_Chang>	ack Identity
