[2021-08-24T19:59:59.238Z]	<Mahmoud>	present+
[2021-08-24T19:59:59.515Z]	<Joe_Andrieu>	present+
[2021-08-24T20:00:00.004Z]	<Adrian_Gropper>	present+
[2021-08-24T20:00:01.713Z]	<Michael_Herman_(Trusted_Digital_Web)>	present+
[2021-08-24T20:00:12.276Z]	<Manu_Sporny>	present+
[2021-08-24T20:00:25.214Z]	<mprorock>	present+
[2021-08-24T20:00:31.673Z]	<Sudesh>	present+
[2021-08-24T20:00:34.873Z]	<Justin_Richer>	present+
[2021-08-24T20:00:35.439Z]	<Michael_Boyd>	present+
[2021-08-24T20:00:39.251Z]	<Sze_Wong>	present+
[2021-08-24T20:00:47.977Z]	<Eric_Schuh>	present+
[2021-08-24T20:00:52.683Z]	<Markus_Sabadello>	present+
[2021-08-24T20:01:03.488Z]	<Rolson_Quadras>	present+
[2021-08-24T20:01:20.548Z]	<TallTed_//_Ted_Thibodeau_(he/him)_(OpenLinkSw.com)>	present+
[2021-08-24T20:01:48.536Z]	<Justin_Richer>	Request to the chairs to add an item to the agenda about authorization language.
[2021-08-24T20:02:06.859Z]	<Justin_Richer>	:+1:
[2021-08-24T20:02:19.844Z]	<Brent>	present+
[2021-08-24T20:04:23.789Z]	<Michael_Herman_(Trusted_Digital_Web)>	I might have been firsst
[2021-08-24T20:05:06.976Z]	<markus_sabadello>	manu: Welcome everyone to the VC HTTP API call, Markus is scribing.. Today on the agenda:
[2021-08-24T20:05:08.081Z]	<Manu_Sporny>	Agenda: https://lists.w3.org/Archives/Public/public-credentials/2021Aug/0348.html
[2021-08-24T20:05:24.152Z]	<Justin_Richer>	5 min
[2021-08-24T20:05:46.526Z]	<markus_sabadello>	manu: Agenda review, introductions, request by Justin on authorization language, then presentation by Trinsic with walkthrough of their API
[2021-08-24T20:06:28.459Z]	<markus_sabadello>	manu: At the end of the call, we'll go over the renaming poll results (without making a final decision)
[2021-08-24T20:06:30.028Z]	<markus_sabadello>	manu: Any updates/changes to the agenda?
[2021-08-24T20:06:58.814Z]	<markus_sabadello>	manu: Let's do introductions.. Michael? Others?
[2021-08-24T20:07:56.341Z]	<markus_sabadello>	Michael_Boyd: I have been in decentralized identity for about 3 years, first with Nathan George at Sovrin. Some of us met and founded Trinsic and have been building tools for developers to easily add SSI into their applications.
[2021-08-24T20:08:08.772Z]	<Justin_Richer>	present+
[2021-08-24T20:08:19.174Z]	<markus_sabadello>	Michael_Boyd: I'm an engineer at Trinsic, I like bicyling and cooking.
[2021-08-24T20:08:27.906Z]	<markus_sabadello>	manu: Anyone else?
[2021-08-24T20:08:55.901Z]	<markus_sabadello>	Sudesh: I'm from SecureKey, working on Trustbloc and Aries, been working in digital identity for 3 years, interested in VC HTTP API, wallets, and Aries protocol.
[2021-08-24T20:09:35.137Z]	<markus_sabadello>	Rolson_Quadras: Working on HL Aries Framework Go, I've used VC HTTP API, this is my first time in the call.
[2021-08-24T20:09:55.798Z]	<Justin_Richer>	https://github.com/w3c-ccg/vc-http-api/compare/main...jricher:security-requirements
[2021-08-24T20:10:01.423Z]	<markus_sabadello>	manu: Let's get into the agenda, Justin what do you want to talk about?
[2021-08-24T20:10:03.430Z]	<Manu_Sporny>	Topic: Authorization Requirements
[2021-08-24T20:10:07.309Z]	<DavidC>	present+
[2021-08-24T20:10:40.518Z]	<David_Chadwick>	present+
[2021-08-24T20:10:41.234Z]	<markus_sabadello>	Justin_Richer: I dropped a link, I spend some time writing up text on resolutions that were being passed around, and people arguing about what MUST meant.
[2021-08-24T20:10:58.011Z]	<markus_sabadello>	Justin_Richer: It's always confusing when there is normative text for spec writers but not implementers
[2021-08-24T20:11:43.522Z]	<markus_sabadello>	Justin_Richer: If you read through the text, the top paragraph says since it's an HTTP API, you are allowed to use any technology that can protect such an API. It's recommended to use standard delegation technologies rather than direct authentication.
[2021-08-24T20:12:03.571Z]	<markus_sabadello>	Justin_Richer: Every endpoint would define a set of elements that describe the kinds of access. I talked about this when I introduced RAR/GNAP
[2021-08-24T20:12:31.324Z]	<Michael_Boyd>	present+
[2021-08-24T20:12:34.545Z]	<markus_sabadello>	Justin_Richer: Neither of those are required to implement or deploy or use. But it says IF you are doing this or that, then you have to support a specific profile.
[2021-08-24T20:12:56.232Z]	<markus_sabadello>	Justin_Richer: In addition to text in that branch, I also looked into what it takes to add parameters to endpoint specifications.
[2021-08-24T20:13:08.856Z]	<markus_sabadello>	Justin_Richer: It turns out Redoc does not allow for extensibility.
[2021-08-24T20:13:23.054Z]	<markus_sabadello>	Justin_Richer: I found no way to put in extensions in the way that OpenAPI allows you to do it.
[2021-08-24T20:13:32.148Z]	<markus_sabadello>	Justin_Richer: If the group continues to use Redoc, this will be a limitation
[2021-08-24T20:14:00.799Z]	<markus_sabadello>	Justin_Richer: The text tells you, this is the authorization type field, these are the actions and what it means.
[2021-08-24T20:14:26.639Z]	<markus_sabadello>	Justin_Richer: This is the full extent that the specification should define, it does not talk about concrete technical details.
[2021-08-24T20:14:31.046Z]	<mprorock>	NB: Redoc has limitations, there are multiple options for rendering openapi docs
[2021-08-24T20:14:38.852Z]	<markus_sabadello>	Justin_Richer: I've been arguing that this will really help interoperability
[2021-08-24T20:14:55.081Z]	<markus_sabadello>	manu: Thanks for writing up something concrete that the group can discuss.
[2021-08-24T20:14:56.209Z]	<TallTed>	present+
[2021-08-24T20:15:08.051Z]	<markus_sabadello>	manu: My expectation is that the group will discuss this
[2021-08-24T20:15:31.941Z]	<markus_sabadello>	manu: We will be picking up the authorization discussion in the future, that should not stop people from talking about it e.g. in Github.
[2021-08-24T20:15:43.617Z]	<markus_sabadello>	Justin_Richer: I could turn it into a PR, but hesitated due to discussion
[2021-08-24T20:15:44.312Z]	<TallTed>	+1000 -- written text is awesome step in right direction
[2021-08-24T20:15:48.041Z]	<mprorock>	DRAFT PR might be helpful
[2021-08-24T20:15:52.478Z]	<markus_sabadello>	manu: It would be helpful if people can comment directly on the lines
[2021-08-24T20:16:18.387Z]	<Justin_Richer>	https://github.com/w3c-ccg/vc-http-api/pull/226
[2021-08-24T20:16:31.981Z]	<mprorock>	Manu I can run it
[2021-08-24T20:16:35.359Z]	<markus_sabadello>	manu: Moving on to the next item.. I won't be able to run the call next week. Any volunteers to run the call next week?
[2021-08-24T20:16:50.370Z]	<mprorock>	+1 coordination - probably issues and PRs
[2021-08-24T20:16:55.218Z]	<Manu_Sporny>	Topic: Call next week
[2021-08-24T20:17:00.601Z]	<Justin_Richer>	@mprorock: I noticed that. I actually hacked ReDoc to do the display of the additional fields so I know it's at least possible to represent in the data model.
[2021-08-24T20:17:15.080Z]	<Manu_Sporny>	Topic: Trinsic API Presentation
[2021-08-24T20:17:33.514Z]	<markus_sabadello>	manu: Next topic is Trinsic API presentation. Michael you can screenshare, etc. however you want it. We should timebox 15 min, then have Q&A.
[2021-08-24T20:17:42.918Z]	<mprorock>	@Justin yeah, it is pretty slick but requires a bit of hacking for some things
[2021-08-24T20:18:01.488Z]	<Juan_Caballero_(Spruce)>	present+
[2021-08-24T20:18:06.644Z]	<markus_sabadello>	Michael_Boyd: I want to talk about our API and some decisions we have made.
[2021-08-24T20:18:47.308Z]	<markus_sabadello>	Michael_Boyd: Trinsic is a developer-focus company that has built a set of APIs and SDKs and a developer dashboard that we call "Credential Studio". People can create organizations that then can operate as Issuers and Verifiers.
[2021-08-24T20:19:00.327Z]	<markus_sabadello>	Michael_Boyd: We implement HL Aries .net framework to enable all of this, and we have also built a mobile wallet.
[2021-08-24T20:19:07.558Z]	<markus_sabadello>	Michael_Boyd: There is also a Trinsic Wallet API.
[2021-08-24T20:19:31.130Z]	<markus_sabadello>	Michael_Boyd: This technoloy enables a really easy way for Issuers, Verifiers and Holders to get up and running with credentials, without any configuration required.
[2021-08-24T20:19:41.617Z]	<David_Chadwick>	present+
[2021-08-24T20:19:44.465Z]	<markus_sabadello>	Michael_Boyd: E.g. I can create a connection invitation and then scan it with a mobile wallet.
