[2021-08-30T14:59:08.333Z]	<Kerri_Lemoie> agenda: https://lists.w3.org/Archives/Public/public-credentials/2021Aug/0380.html
[2021-08-30T14:59:08.341Z]	<Kerri_Lemoie>	present+
[2021-08-30T14:59:08.487Z]	<Anthony>	present+
[2021-08-30T14:59:08.488Z]	<Kerri_Lemoie>	topic:  Agenda Review
[2021-08-30T14:59:10.150Z]	<Phil_L_(P1)>	present+
[2021-08-30T14:59:19.521Z]	<Steve_Traugott>	present+
[2021-08-30T14:59:41.330Z]	<Marty_Reed>	present+
[2021-08-30T15:00:09.688Z]	<Wes_Teter>	present+
[2021-08-30T15:00:21.330Z]	<Steve_Gance>	present+
[2021-08-30T15:00:34.675Z]	<Kerri_Lemoie>	chair: Kerri_Lemoie, Camilleri
[2021-08-30T15:00:58.780Z]	<Thierry_Thevenet>	present+
[2021-08-30T15:01:07.879Z]	<Andy_Miller>	present+
[2021-08-30T15:02:01.659Z]	<Tzviya_Siegman>	present+
[2021-08-30T15:02:23.176Z]	<Deb_Everhart>	present+
[2021-08-30T15:02:25.452Z]	<Matt_Lisle>	present+
[2021-08-30T15:02:38.981Z]	<Kerri_Lemoie>	jtKrs8BQAfWbXE4H*SNL
[2021-08-30T15:02:40.604Z]	<Sheryl>	present+
[2021-08-30T15:02:45.255Z]	<Sharon_Leu>	present+
[2021-08-30T15:02:46.255Z]	<Kerri_Lemoie>	topic:  IP Note
[2021-08-30T15:02:47.454Z]	<Kerri_Lemoie>	https://www.w3.org/accounts/request
[2021-08-30T15:02:59.055Z]	<Kerri_Lemoie>	https://www.w3.org/community/about/agreements/cla/
[2021-08-30T15:03:11.091Z]	<Juan_caballero>	present+
[2021-08-30T15:03:11.191Z]	<Kerri_Lemoie>	topic:  Call Notes
[2021-08-30T15:03:11.361Z]	<Kerri_Lemoie>	https://w3c-ccg.github.io/meetings/
[2021-08-30T15:03:20.136Z]	<Kerri_Lemoie>	http://irc.w3.org/?channels=ccg
[2021-08-30T15:03:32.734Z]	<Kerri_Lemoie>	q+
[2021-08-30T15:03:35.869Z]	<Kerri_Lemoie>	q-
[2021-08-30T15:04:03.730Z]	<Jim_Goodell>	present+
[2021-08-30T15:04:05.730Z]	<Kerri_Lemoie>	topic:  Scribe Selection
[2021-08-30T15:04:21.129Z]	<Phil_L_(P1)>	I'll scribe
[2021-08-30T15:04:36.037Z]	<Phil_L_(P1)>	Ok - thanks Marty!
[2021-08-30T15:04:39.366Z]	<Kerri_Lemoie>	scribe: Marty_Reed
[2021-08-30T15:04:42.245Z]	<Juan_caballero>	present+
[2021-08-30T15:04:49.184Z]	<Simone_Ravaioli_(Digitary)>	present+
[2021-08-30T15:05:00.668Z]	<Marty_Reed>	KL: introductions reintroductions
[2021-08-30T14:59:08.734Z]	<Kerri_Lemoie>	topic:  Introductions & Reintroductions
[2021-08-30T15:05:01.992Z]	<Juan_caballero>	present+
[2021-08-30T15:05:05.675Z]	<Dmitri_Z>	present+
[2021-08-30T15:05:06.005Z]	<Kerri_Lemoie>	q?
[2021-08-30T15:05:11.043Z]	<Stuart_Freeman>	present+
[2021-08-30T15:05:25.246Z]	<Marty_Reed>	DE: intro of Credential Engine
[2021-08-30T15:05:31.482Z]	<Nate_Otto>	present+
[2021-08-30T15:05:55.433Z]	<Kerri_Lemoie>	q?
[2021-08-30T15:06:16.967Z]	<Marty_Reed>	KL: Anthony is going to be introducing EuroPass
[2021-08-30T15:06:17.967Z]	<Kerri_Lemoie>	topic:  Announcements & Reminders
[2021-08-30T15:06:39.425Z]	<Marty_Reed>	KL: Every Tuesday weekly CCG meeting
[2021-08-30T15:06:46.223Z]	<Kerri_Lemoie>	Work item to write a VC Guide for Developers: 
https://github.com/w3c-ccg/community/issues/206
[2021-08-30T15:07:08.664Z]	<David_Ward>	present+
[2021-08-30T15:07:12.812Z]	<Adam_Lemmon_(C.T)>	present+
[2021-08-30T15:07:14.270Z]	<Marty_Reed>	KL: October IIW 12th-14th
[2021-08-30T15:07:20.652Z]	<Kerri_Lemoie>	https://www.eventbrite.com/e/internet-identity-workshop-iiwxxxiii-33-2021b-tickets-160257990965
[2021-08-30T15:07:22.652Z]	<Kerri_Lemoie>	topic:  Anthony Camilleri - Europass as VCs
[2021-08-30T15:07:46.653Z]	<Marty_Reed>	KL: intro Anthony
[2021-08-30T15:08:31.474Z]	<Marty_Reed>	AC: introducing digital credentials part of EuroPasss
[2021-08-30T15:09:02.808Z]	<Marty_Reed>	AC: major policy project of the commission, approximately 2MM accounts and 10k new per day
[2021-08-30T15:09:16.067Z]	<Dmitri_Zagidulin>	present+
