[2022-06-13T14:57:39.325Z]	<Kerri_Lemoie> agenda: https://lists.w3.org/Archives/Public/public-vc-edu/2022Jun/0012.html
[2022-06-13T14:57:39.327Z]	<Kerri_Lemoie>	present+
[2022-06-13T14:58:28.309Z]	<Morgan_Lemmer-Webber>	present+
[2022-06-13T14:58:28.884Z]	<Stuart_Freeman>	present+
[2022-06-13T14:59:07.787Z]	<Evan_Lally_(>	present+
[2022-06-13T14:59:32.024Z]	<JeffO_Real-IT>	present+
[2022-06-13T14:59:59.093Z]	<Aditya_-_Entrustient>	present+
[2022-06-13T15:00:16.483Z]	<Sharon_Leu>	present+
[2022-06-13T15:00:18.967Z]	<Kerri_Lemoie>	chair: Kerri_Lemoie
[2022-06-13T15:00:19.613Z]	<Oliver_Terbu_(Spruce)>	present+
[2022-06-13T15:00:34.505Z]	<Kayode_Ezike>	present+
[2022-06-13T15:00:49.730Z]	<Marty_Reed>	present+
[2022-06-13T15:00:51.213Z]	<Mallory_Dwinal-Palisch>	present+
[2022-06-13T15:01:12.752Z]	<Jim_Kelly>	present+
[2022-06-13T15:01:18.197Z]	<Mahesh_Balan_-_pocketcred.com>	present+
[2022-06-13T15:01:24.505Z]	<David_Ward>	present+
[2022-06-13T15:01:36.852Z]	<John_Kuo>	present+
[2022-06-13T15:01:40.742Z]	<Transcriber>	scribe+
[2022-06-13T15:01:40.742Z]	<Transcriber>	Meeting: education
[2022-06-13T15:01:40.826Z]	<Manu_Sporny>	present+
[2022-06-13T15:01:58.069Z]	<Dmitri_Zagidulin>	present+
[2022-06-13T15:02:01.481Z]	<Transcriber>	Kerri_Lemoie: Hello everyone welcome to the June thirteenth verifiable credentials for Education task force called.
[2022-06-13T15:02:22.850Z]	<Phil_L_(P1)>	present+
[2022-06-13T15:02:22.851Z]	<Kerri_Lemoie> topic: IP Note
[2022-06-13T15:02:32.423Z]	<Transcriber>	Kerri_Lemoie: Going to go through some boilerplate messaging like we usually do at the beginning and then we'll get going with our agenda that is the plugfest the jjf vc-edu plugfest recap first time IP note anyone can participate in these calls however also to give contributors to any ccg work items must be members of the ccg with full IP our agreement cyant you can do this by first.
[2022-06-13T15:02:32.728Z]	<Transcriber>	Kerri_Lemoie:  it's creating an account.
[2022-06-13T15:02:42.680Z]	<Kerri_Lemoie>	create account: https://www.w3.org/accounts/request
[2022-06-13T15:02:44.518Z]	<Transcriber>	Kerri_Lemoie: Not the link in the chat so created account at wcg I'm ty W yes C3 and.
[2022-06-13T15:02:53.489Z]	<Transcriber>	Kerri_Lemoie: And then you can create a you can join the ccg account during the ccg using this account.
[2022-06-13T15:02:55.533Z]	<Kerri_Lemoie>	join the ccg: https://www.w3.org/community/credentials/join
[2022-06-13T15:03:28.436Z]	<Nate_Otto_(he/him)>	present+
[2022-06-13T15:03:28.438Z]	<Kerri_Lemoie> topic: Call Notes
[2022-06-13T15:03:28.759Z]	<Transcriber>	Kerri_Lemoie: And please note that these meetings are recorded we have a robot transcriber and we also do an audio recording and a video recording most times it should be a video recording for this call so if you would like to participate in the chat then please like you yourself we use that that system so if you are looking to ask a question or join.
[2022-06-13T15:03:29.010Z]	<Transcriber>	Kerri_Lemoie:  nor have.
[2022-06-13T15:03:32.760Z]	<Kerri_Lemoie>	q+
[2022-06-13T15:03:38.014Z]	<Kerri_Lemoie>	q-
[2022-06-13T15:03:41.131Z]	<Transcriber>	Kerri_Lemoie: The conversation or asked us to call on you please use a cue quest to add yourself to the queue and then it needs q- to remove yourself from the queue.
[2022-06-13T15:03:46.464Z]	<Phil_Barker>	present+
[2022-06-13T15:03:46.465Z]	<Kerri_Lemoie> topic: Introductions & Reintroductions
[2022-06-13T15:03:59.379Z]	<Transcriber>	Kerri_Lemoie: Okay before we get started what we always like to do is see if there's anybody new to this call who would like to introduce themselves and if there is someone new to the coffee could you yourself we would love to have to hear from you.
[2022-06-13T15:03:59.605Z]	<Transcriber>	Kerri_Lemoie:  is there anyone.
[2022-06-13T15:04:05.873Z]	<mlemweb_>	q+
