[2022-11-15T18:30:02.190Z]	<Chris_Abernethy> Agenda: https://github.com/w3c-ccg/traceability-interop/blob/main/AGENDA.md
[2022-11-15T18:30:02.190Z]	<nis>	present+
[2022-11-15T18:30:37.196Z]	<Ben_-_Transmute>	present+
[2022-11-15T18:31:02.057Z]	<Jim_Masloski>	present+
[2022-11-15T18:31:36.116Z]	<Chris_Abernethy>	present+
[2022-11-15T18:32:12.859Z]	<Transcriber>	scribe+
[2022-11-15T18:32:12.860Z]	<Transcriber>	Meeting: traceability
[2022-11-15T18:32:15.343Z]	<vivien>	present+
[2022-11-15T18:32:37.151Z]	<Orie>	present+
[2022-11-15T18:32:39.030Z]	<nis>	https://github.com/w3c-ccg/traceability-interop
[2022-11-15T18:33:04.572Z]	<Jim_Masloski>	nothing from me
[2022-11-15T18:33:08.869Z]	<nis>	https://vocabulary.uncefact.org/
[2022-11-15T18:34:47.326Z]	<Transcriber>	Chris_Abernethy: Most of these PR's are mine so it might be best if I didn't scribe.
[2022-11-15T18:34:49.967Z]	<Russell_Hofvendahl_(mesur.io)>	present+
[2022-11-15T18:35:00.261Z]	<Transcriber>	Ben_-_Transmute: Yeah I am I'm tired but I figure that I can go ahead and give scribing a shot.
[2022-11-15T18:35:05.372Z]	<nis>	https://github.com/w3c-ccg/traceability-interop/pulls
[2022-11-15T18:35:05.491Z]	<Ben_-_Transmute>	scribe+
[2022-11-15T18:35:16.373Z]	<nis>	https://github.com/w3c-ccg/traceability-interop/pull/459
[2022-11-15T18:35:24.007Z]	<Ben_-_Transmute>	Nis: starting with interop pull 459
[2022-11-15T18:35:50.613Z]	<Transcriber>	Chris_Abernethy: Yes so this is one of the ones that's been kicking around for a while this fixes issue 363 which was the one to add a link to import Postman collections this modifies the documentation for both the performance in the interop tests with some instructions on how to import each of the different items in the postman so yeah that's basically a documentation update.
[2022-11-15T18:36:00.687Z]	<Ben_-_Transmute>	Chris: this issue fixes issue 363 for documentation update
[2022-11-15T18:36:12.717Z]	<Transcriber>	Ben_-_Transmute: The this looks like we've got looks like transcribers on can you get the three dots and then turn off captions.
[2022-11-15T18:36:44.191Z]	<nis>	https://github.com/w3c-ccg/traceability-interop/pull/462
[2022-11-15T18:36:46.340Z]	<Ben_-_Transmute>	Nis: next 462
[2022-11-15T18:37:09.994Z]	<Ben_-_Transmute>	Chris: this is another oldie but goodie, suggest by Ted to update procedure for meeting publication
[2022-11-15T18:37:44.390Z]	<Ben_-_Transmute>	Chris: also address process for manually scribing
[2022-11-15T18:37:58.957Z]	<TallTed_//_Ted_Thibodeau_(he/him)_(OpenLinkSw.com)>	present+
[2022-11-15T18:38:01.727Z]	<Ben_-_Transmute>	Nis: we have enough approvals, any objects?
[2022-11-15T18:38:08.900Z]	<nis>	https://github.com/w3c-ccg/traceability-interop/pull/463
[2022-11-15T18:38:38.685Z]	<Ben_-_Transmute>	Chris: this PR adds a brows-able list of historical reports
[2022-11-15T18:39:50.932Z]	<nis>	https://github.com/w3c-ccg/traceability-interop/pull/465
[2022-11-15T18:40:08.842Z]	<Ben_-_Transmute>	Chis: i created this PR before making this ready for PR on the issue
[2022-11-15T18:40:41.979Z]	<Ben_-_Transmute>	Chris: this PR adds a top level json property on the verifiable credential to align with vc-api
[2022-11-15T18:41:19.553Z]	<Ben_-_Transmute>	Chris: this will be breaking change that will start failing test when it merges
[2022-11-15T18:41:27.243Z]	<Ben_-_Transmute>	Orie: i am in favor of the change
[2022-11-15T18:41:41.264Z]	<nis>	https://github.com/w3c-ccg/traceability-interop/pull/465
