[2024-01-22T15:53:27.231Z]	<Simone_Ravaioli_(Co-Chair)> agenda: https://lists.w3.org/Archives/Public/public-vc-edu/2024Jan/0005.html
[2024-01-22T15:55:27.231Z]	<Simone_Ravaioli_(Co-Chair)>	present+
[2024-01-22T15:55:30.025Z]	<Kerri_Lemoie>	present+
[2024-01-22T15:56:43.498Z]	<Kerri_Lemoie>	https://docs.google.com/presentation/d/1yKnoBEilvYsMz5jSQNle64EnUSIru-MznE5eNd9ARL4/edit#slide=id.g2b09d93aeef_0_0
[2024-01-22T15:58:42.066Z]	<Jeff_O_/_HumanOS>	present+
[2024-01-22T15:58:46.747Z]	<Heather_Carle_(Territorium)>	present+
[2024-01-22T15:59:42.927Z]	<Christoph_Graf_(switch.ch)>	present+
[2024-01-22T16:00:03.893Z]	<Xavi_Aracil>	present+
[2024-01-22T16:00:08.916Z]	<Sudesh_Sangelkar>	present+
[2024-01-22T16:00:15.754Z]	<Jack_White>	present+
[2024-01-22T16:00:21.451Z]	<gillian>	present+
[2024-01-22T16:00:28.299Z]	<Jim_Goodell>	present+
[2024-01-22T16:00:29.152Z]	<Naomi>	present+
[2024-01-22T16:00:32.210Z]	<Stuart_Freeman>	present+
[2024-01-22T16:00:36.232Z]	<TallTed_//_Ted_Thibodeau_(he/him)_(OpenLinkSw.com)>	present+
[2024-01-22T16:00:36.984Z]	<Laura_Hilliger>	present+
[2024-01-22T16:00:39.017Z]	<Dave_McCool_(Muzzy_Lane)>	present+
[2024-01-22T16:00:42.146Z]	<Ildiko_Mazar_(ELM)>	present+
[2024-01-22T16:00:51.461Z]	<Deb_Everhart_(Credential_Engine)>	present+
[2024-01-22T16:00:54.973Z]	<Justin_Mason>	present+
[2024-01-22T16:00:56.476Z]	<Sheela_Kiiskila>	present+
[2024-01-22T16:01:02.819Z]	<Sharon_Leu>	present+
[2024-01-22T16:01:03.426Z]	<Christoph_Graf_(switch.ch)>	present+
[2024-01-22T16:01:12.942Z]	<Andy_Griebel>	present+
[2024-01-22T16:01:17.199Z]	<Leah_Houston_(HPEC)>	present+
[2024-01-22T16:01:18.831Z]	<James_Chartrand>	present+
[2024-01-22T16:01:20.089Z]	<Jim_Kelly>	present+
[2024-01-22T16:01:21.233Z]	<Julie_Keane>	present+
[2024-01-22T16:01:41.695Z]	<Keith_Hackett>	present+
[2024-01-22T16:01:43.440Z]	<Andrew_Johnson_(Fluree)>	present+
[2024-01-22T16:01:46.662Z]	<Des_A>	present+
[2024-01-22T16:02:01.757Z]	<Transcriber>	scribe+
[2024-01-22T16:02:01.757Z]	<Transcriber>	Meeting: education
[2024-01-22T16:02:11.732Z]	<Karen_Passmore>	present+
[2024-01-22T16:02:12.844Z]	<Colin_Reynolds,_Ed_Design_Lab>	present+
[2024-01-22T16:02:16.720Z]	<Dmitri_Zagidulin>	present+
[2024-01-22T16:02:18.357Z]	<CEL>	present+
[2024-01-22T16:02:24.393Z]	<Marianna_Milkis,_ASU_Pocket>	present+
[2024-01-22T16:02:50.182Z]	<Christoph_Graf_(switch.ch)>	present+
[2024-01-22T16:03:31.479Z]	<Nate_Otto_(he/him)>	present+
[2024-01-22T16:03:32.479Z]	<Simone_Ravaioli_(Co-Chair)>	Hello everyone, I'm Simone, welcome to today's Verifiable Credentials for Education task force call. Let's start with the usual IP Note: Anyone can participate in these calls. However, all substantive contributors to any CCG Work Items must be members of the CCG with full IPR agreements signed, that you can find on the w3c website, and there is a link to this in the agenda we send out before every meeting. Please note that these meetings are recorded. We have a robot transcriber and we also do an audio and a video recording. If you want to speak, please raise your hand by clicking on the raise hand button on the call's tool bar, or type “q+” in the chat to add yourself to the queue.
[2024-01-22T16:03:53.899Z]	<Transcriber>	Kerri_Lemoie: Sorry to interrupt you some money but I am noticing that there is no transcriber doing things in the truck.
[2024-01-22T16:03:55.300Z]	<Jacksón>	present+
[2024-01-22T16:03:57.202Z]	<DavidC>	present+
[2024-01-22T16:03:58.458Z]	<Transcriber>	Kerri_Lemoie: There it is.
[2024-01-22T16:04:08.808Z]	<Transcriber>	Dmitri_Zagidulin: Oh that happens sometimes.
[2024-01-22T16:04:17.536Z]	<Transcriber>	Dmitri_Zagidulin: Well as long as it captures the main.
[2024-01-22T16:04:46.398Z]	<Susan_Stroud>	present+
[2024-01-22T16:04:51.557Z]	<CEL>	present+
[2024-01-22T16:05:24.676Z]	<Transcriber>	Karen_Passmore: Hi my name is Karen Passmore I'm working with ASU on my skills wallet I'm a user experience designer and have been working with them for almost a year now on another verifiable credential wallet so Dimitri invited me today because I thought I would get a lot of benefit from listening in so happy to be here.
[2024-01-22T16:05:32.791Z]	<Justin_Mason>	present+
[2024-01-22T16:05:35.668Z]	<Kayode_Ezike>	present+
[2024-01-22T16:05:37.710Z]	<Geun-Hyung>	present+
[2024-01-22T16:05:42.780Z]	<Dmitri_Zagidulin>	welcome Karen!! :)
[2024-01-22T16:05:44.342Z]	<Rachel_Donahue_(she/they)_-_Digital_Promise>	present+
[2024-01-22T16:05:48.662Z]	<Alex_H>	present+
[2024-01-22T16:06:03.611Z]	<Laura_Paglione>	present+
[2024-01-22T16:06:03.660Z]	<Xavi_Aracil>	present+
[2024-01-22T16:06:09.373Z]	<Ikeia_Miller>	present+
[2024-01-22T16:06:10.163Z]	<Karen_Passmore>	Thanks Dmitri!
[2024-01-22T16:06:18.679Z]	<Kerri_Lemoie>	Hello All!
[2024-01-22T16:06:28.506Z]	<TimG>	present+
[2024-01-22T16:06:36.910Z]	<Phil_(T3)>	present+
[2024-01-22T16:06:40.481Z]	<Phil_Barker>	present+
[2024-01-22T16:07:00.534Z]	<Ramakant>	present+
[2024-01-22T16:07:53.409Z]	<Justin_Mason>	present+
[2024-01-22T16:08:25.876Z]	<Jeff_O_/_HumanOS>	Seems to be an open mic out there somewhere...or is it just me?
[2024-01-22T16:08:40.030Z]	<Kerri_Lemoie>	https://docs.google.com/presentation/d/1yKnoBEilvYsMz5jSQNle64EnUSIru-MznE5eNd9ARL4/edit#slide=id.g2b1152cf26f_0_10
[2024-01-22T16:08:40.587Z]	<Dmitri_Zagidulin>	@jeff - don't hear one, but could be!
[2024-01-22T16:08:47.063Z]	<Jeff_O_/_HumanOS>	ykx
[2024-01-22T16:08:48.244Z]	<Transcriber>	Kerri_Lemoie: Awesome thanks to money I'm gonna put a link to our slides here they should be available to all of you if you have any trouble just let me know and I'll check the sharing permissions on it.
[2024-01-22T16:08:58.715Z]	<Transcriber>	Kerri_Lemoie: Me share my screen here I'm going to keep the slides in the mode where you can see the thumbnails so that I can switch tabs when I do the demo.
[2024-01-22T16:09:02.133Z]	<Transcriber>	Kerri_Lemoie: All right let's see here.
[2024-01-22T16:09:08.128Z]	<Transcriber>	Kerri_Lemoie: Okay spending can you see my screen okay.
[2024-01-22T16:09:16.050Z]	<Phil_(T3)>	sharing all good.
[2024-01-22T16:09:19.341Z]	<Nikos_Fotiou>	present+
[2024-01-22T16:09:25.957Z]	<jacksón>	present+
[2024-01-22T16:09:29.201Z]	<Danny_Done>	present+
[2024-01-22T16:09:38.760Z]	<Jacksón>	present+
[2024-01-22T16:09:42.398Z]	<Transcriber>	Kerri_Lemoie: Excellent to who everybody I'm here with James Chartrand and Dimitri's argue Doolin and we're going to tell you a little bit about the DCCC a little bit about what we've been working on going to do a short demo we also have the folks from learning economy here I believe Jackson is here because they've been working with us on some of the software will do some background and how it all works tell you where we think we're kind of headed and then answer any questions.
[2024-01-22T16:09:42.802Z]	<Transcriber>	Kerri_Lemoie:  is that you might have and we'll try to do this in the time.
[2024-01-22T16:09:48.682Z]	<Transcriber>	Kerri_Lemoie: Have here so let me first tell you about the DCC.
[2024-01-22T16:10:04.643Z]	<Jacksón>	present+
