[2024-02-19T15:57:15.201Z]	<Simone_Ravaioli> agenda: https://lists.w3.org/Archives/Public/public-vc-edu/2024Feb/0001.html
[2024-02-19T15:57:17.201Z]	<Simone>	present+
[2024-02-19T15:57:17.202Z]	<Simone_Ravaioli>	present+
[2024-02-19T16:00:18.516Z]	<Geun-Hyung>	present+
[2024-02-19T16:00:36.683Z]	<Dmitri_Zagidulin>	present+
[2024-02-19T16:00:39.114Z]	<Ildiko_Mazar_(ELM)>	present+
[2024-02-19T16:01:01.206Z]	<Deb_Everhart_(Credential_Engine)>	present+
[2024-02-19T16:01:18.189Z]	<Stuart_Freeman>	present+
[2024-02-19T16:02:25.866Z]	<Transcriber>	scribe+
[2024-02-19T16:02:25.866Z]	<Transcriber>	Meeting: education
[2024-02-19T16:02:33.245Z]	<Phil_Barker>	present+
[2024-02-19T16:02:39.848Z]	<Transcriber>	Dmitri_Zagidulin: Yeah that sounds that looks good.
[2024-02-19T16:02:48.848Z]	<Transcriber>	Dmitri_Zagidulin: Yep there it is okay uh let's give it 1 more minute and uh we'll kick it off with 3 past the hour.
[2024-02-19T16:03:35.747Z]	<Transcriber>	Dmitri_Zagidulin: All right uh 3 3 minutes past the hour welcome everyone let's kick it off.
[2024-02-19T16:03:40.754Z]	<Transcriber>	Dmitri_Zagidulin: This is the weekly.
[2024-02-19T16:03:55.256Z]	<Transcriber>	Dmitri_Zagidulin: VC edu call uh we going to discuss switching to weekly from previous bi-weekly regime just to lessen uh attendee confusion.
[2024-02-19T16:03:58.756Z]	<Transcriber>	Dmitri_Zagidulin: In any case these these calls are being recorded.
[2024-02-19T16:04:03.266Z]	<Transcriber>	Dmitri_Zagidulin: These calls are free for anyone to join if uh.
[2024-02-19T16:04:12.252Z]	<Transcriber>	Dmitri_Zagidulin: You want to contribute to any of the specs we're working on uh you do want to join the w3c credentials community group.
[2024-02-19T16:04:19.390Z]	<Laura_Paglione>	present+
[2024-02-19T16:04:19.716Z]	<Transcriber>	Dmitri_Zagidulin: And sign the IP waiver uh but again you can listen in on the calls um without doing that.
[2024-02-19T16:04:22.230Z]	<Transcriber>	Dmitri_Zagidulin: Uh what else uh.
