[2024-02-26T16:01:03.367Z]	<Ildiko_Mazar_(ELM)> agenda: https://lists.w3.org/Archives/Public/public-vc-edu/2024Feb/0002.html

[2024-02-26T16:01:03.367Z]	<Dmitri_Zagidulin> Hello everyone, welcome to today's Verifiable Credentials for Education task force call. Let's start with the usual IP Note: Anyone can participate in these calls. However, all substantive contributors to any CCG Work Items must be members of the CCG with full IPR agreements signed. Please note that these meetings are recorded. We have a robot transcriber and we also do an audio and a video recording. If you want to speak, please raise your hand, or type “q+” in the chat to add yourself to the queue.
[2024-02-26T16:01:43.234Z]	<Laura_Paglione>	present+
[2024-02-26T16:01:43.235Z]	<Stuart_Freeman>	present+
[2024-02-26T16:01:43.236Z]	<Mauro_AZULchain>	present+
[2024-02-26T16:01:43.237Z]	<Miguel_Angel>	present+
[2024-02-26T16:01:43.237Z]	<James_Chartrand>	present+
[2024-02-26T16:01:43.238Z]	<Ildiko_Mazar_(ELM)>	present+
[2024-02-26T16:01:43.239Z]	<Eric_Shepherd>	present+
[2024-02-26T16:01:43.239Z]	<Susan_Stroud>	present+
[2024-02-26T16:01:43.239Z]	<Xavi_Aracil_(1EdTech)>	present+
[2024-02-26T16:01:43.240Z]	<Andy_Griebel>	present+
[2024-02-26T16:01:43.236Z]	<Dmitri_Zagidulin>	present+
[2024-02-26T16:01:52.932Z]	<Carlo_Cavicchioli_|_AZULchain>	present+
[2024-02-26T16:01:53.533Z]	<gillian>	present+
[2024-02-26T16:01:57.761Z]	<Jeanne_Kitchens,_Credential_Engine>	present+
[2024-02-26T16:01:58.690Z]	<Susan_Stroud>	present+
[2024-02-26T16:02:02.590Z]	<Andy_Griebel>	present+
[2024-02-26T16:02:07.275Z]	<Stuart_Freeman>	present+
[2024-02-26T16:02:08.536Z]	<Eric_Shepherd>	present+
[2024-02-26T16:02:13.671Z]	<Mauro_AZULchain>	present+
[2024-02-26T16:02:17.484Z]	<Ildiko_Mazar_(ELM)>	present+
[2024-02-26T16:02:25.810Z]	<James_Chartrand>	present+
[2024-02-26T16:02:30.215Z]	<Xavi_Aracil_(1EdTech)>	present+
[2024-02-26T16:02:38.208Z]	<Miguel_Angel>	present+
[2024-02-26T16:02:47.822Z]	<Phil_(T3)>	present+
[2024-02-26T16:02:56.022Z]	<Transcriber>	Meeting: education
[2024-02-26T16:02:56.022Z]	<Transcriber>	scribe+
[2024-02-26T16:03:06.439Z]	<Transcriber>	Dmitri_Zagidulin: Oh I'm preparing preparing to record okay now it's doing it.
[2024-02-26T16:03:10.666Z]	<Deb_Everhart_(Credential_Engine)>	present+
[2024-02-26T16:03:13.431Z]	<Transcriber>	Dmitri_Zagidulin: All right so welcome everyone uh to the now weekly.
[2024-02-26T16:03:17.723Z]	<Kaliya_Identity_Woman>	present+
[2024-02-26T16:03:24.461Z]	<DavidC>	present+
[2024-02-26T16:03:25.791Z]	<Phil_Barker>	present+
[2024-02-26T16:03:25.970Z]	<Transcriber>	Dmitri_Zagidulin: VC Adu task force call where a task force in the w3c credentials community group you do not have to be a member of the group to be on this call.
[2024-02-26T16:03:37.465Z]	<Transcriber>	Dmitri_Zagidulin: If you do find yourself wanting to work on any of the specifications uh that we work on here you do need to join the group and sign the IP agreement.
[2024-02-26T16:03:42.535Z]	<Carlo_Cavicchioli_|_AZULchain>	Carlo_AZULchain: present+
[2024-02-26T16:03:48.953Z]	<Transcriber>	Dmitri_Zagidulin: So if you're interested in that contact 1 of the chairs and we'll set you up uh also we we abide by the w3c code of conduct.
[2024-02-26T16:03:52.451Z]	<Transcriber>	Dmitri_Zagidulin: Uh let's see what other boiler plates right.
[2024-02-26T16:04:03.939Z]	<Transcriber>	Dmitri_Zagidulin: So let's start with um introductions and reintroductions so is anyone new to the call that wants to reduce themselves or.
[2024-02-26T16:04:09.391Z]	<Transcriber>	Dmitri_Zagidulin: Uh somebody who haven't uh introduced themselves uh for a long time.
[2024-02-26T16:04:11.439Z]	<Transcriber>	Dmitri_Zagidulin: Would want to do that.
[2024-02-26T16:04:25.763Z]	<Hugo>	present+
[2024-02-26T16:04:26.926Z]	<Transcriber>	Dmitri_Zagidulin: All right uh nobody on the Queue and speaking of which.
[2024-02-26T16:04:31.456Z]	<Transcriber>	Dmitri_Zagidulin: Uh oh recording has stopped Let's uh let's restart it.
[2024-02-26T16:04:38.978Z]	<TallTed_//_Ted_Thibodeau_(he/him)_(OpenLinkSw.com)>	present+
[2024-02-26T16:04:59.488Z]	<Transcriber>	scribe+
[2024-02-26T16:04:59.488Z]	<Transcriber>	Meeting: education
[2024-02-26T16:05:05.084Z]	<Andy_Griebel>	present+
[2024-02-26T16:05:08.213Z]	<Transcriber>	Dmitri_Zagidulin: And as always we use Jutsu chat.
[2024-02-26T16:05:11.210Z]	<Transcriber>	Dmitri_Zagidulin: Aha okay Kia go ahead.
[2024-02-26T16:05:14.640Z]	<Jeff_O_-_HumanOS>	present+
[2024-02-26T16:05:23.208Z]	<Transcriber>	Kaliya_Identity_Woman: Sure um we've got the internet identity Workshop coming up um April 16 to 18 in Mountain View California.
[2024-02-26T16:05:36.434Z]	<Transcriber>	Kaliya_Identity_Woman: Meaning if uh the price is on the website are too high you really want to be there we're always willing to work with you.
[2024-02-26T16:05:42.337Z]	<Jorge_Rubio_Perez>	present+
[2024-02-26T16:05:50.211Z]	<Andy_Griebel>	present+
[2024-02-26T16:05:59.979Z]	<Transcriber>	Kaliya_Identity_Woman: And we just for folks who are listening who are thinking ahead um we also have a diversity inclusion scholarship kind of program that's ongoing but I think they're all I don't I think they're all taken for this 1 but like there's even deeper support if you need it to be present um.
[2024-02-26T16:06:02.418Z]	<Transcriber>	Kaliya_Identity_Woman: And then um.
[2024-02-26T16:06:05.474Z]	<Hugo>	present+
[2024-02-26T16:06:12.444Z]	<Transcriber>	Kaliya_Identity_Woman: The good thing is um IBEW has expanded with some Regional events uh we have the digital identity unconference your upcoming up.
[2024-02-26T16:06:14.475Z]	<Timg>	present+
