[2024-05-13T14:45:11.223Z]	<Ildiko_Mazar> agenda: https://lists.w3.org/Archives/Public/public-vc-edu/2024May/0001.html

[2024-05-13T14:45:59.223Z]	<Ildiko_Mazar> Hello everyone, welcome to today's Verifiable Credentials for Education task force call. Let's start with the usual IP Note: Anyone can participate in these calls. However, all substantive contributors to any CCG Work Items must be members of the CCG with full IPR agreements signed. Please note that these meetings are recorded. We have a robot transcriber and we also do an audio and a video recording. If you want to speak, please raise your hand, or type “q+” in the chat to add yourself to the queue.
[2024-05-13T14:50:59.223Z]	<Ildiko_Mazar> If we have any new people in the call, or somebody who would like to reintroduce themselves, please feel free to take the floor. If nobody wants to take the floor, we can move on to the main agenda topic, that are Projects supporting LERs for learners and employers.
[2024-05-13T14:55:59.223Z]	<Ildiko_Mazar>	present+
[2024-05-13T14:58:50.005Z]	<Lucy_Yang>	present+
[2024-05-13T15:00:08.722Z]	<Chandi_Cumaranatunge>	present+
[2024-05-13T15:00:39.570Z]	<Dmitri_Zagidulin>	present+
[2024-05-13T15:00:43.125Z]	<Sheela_Kiiskila>	present+
[2024-05-13T15:01:03.897Z]	<Simone_Ravaioli>	present+
[2024-05-13T15:01:06.336Z]	<Stuart_Freeman>	present+
[2024-05-13T15:01:10.970Z]	<TallTed_//_Ted_Thibodeau_(he/him)_(OpenLinkSw.com)>	present+
[2024-05-13T15:01:19.706Z]	<Sharon_Leu>	present+
[2024-05-13T15:01:36.707Z]	<Susan_Stroud>	present+
[2024-05-13T15:01:43.008Z]	<Kaliya_Identity_Woman>	present+
[2024-05-13T15:01:48.598Z]	<Alex_H>	present+
[2024-05-13T15:02:04.467Z]	<James_Chartrand>	present+
[2024-05-13T15:02:35.485Z]	<Transcriber>	scribe+
[2024-05-13T15:02:35.485Z]	<Transcriber>	Meeting: education
[2024-05-13T15:02:40.665Z]	<Deb_Everhart_(Credential_Engine)>	present+
[2024-05-13T15:03:08.015Z]	<James_Chartrand>	present+
[2024-05-13T15:03:13.842Z]	<Taylor_-_LEF>	present+
[2024-05-13T15:03:40.235Z]	<Kerri_Lemoie>	present+
[2024-05-13T15:04:09.967Z]	<Jeff_O_/_HumanOS>	present+
[2024-05-13T15:04:14.304Z]	<Transcriber>	Lucy_Yang: Hi so sorry now everyone can hear me.
[2024-05-13T15:04:32.291Z]	<Phil_Barker>	present+
[2024-05-13T15:05:15.234Z]	<Transcriber>	Lucy_Yang: Okay okay great so I I'm I'm I'm I'm starting sharing my screen because I have actually have a slide where where I I talked about myself so it's uh so first thanks uh thanks for uh VCU for for having me um to to do this presentation particularly on trust registry it's probably those of you who who are we are know like my topic today is like a I want to start a conversation about where are we at with standardized trust registry so before I get there let me introduce myself first um today I'm doing it as 1 of the community members but just give you an idea like some of the the the multiple hats like I and some of the hats and I'm wearing um first like I I work with Kalia the identity women so we have a consulting firm so I'm the I'm the I'm the managing partner for the firm um and so that's like what where we do a lot of like a lot of like decentralized identity um um Consulting inter in in business strategy in standards development as well technical implementation and the ecosystem building.
[2024-05-13T15:05:16.526Z]	<Transcriber>	Lucy_Yang:  um kind of a separate.
[2024-05-13T15:05:16.893Z]	<Transcriber>	Lucy_Yang: Kind of hat I'm wearing.
[2024-05-13T15:05:17.263Z]	<Transcriber>	Lucy_Yang: Which is also.
[2024-05-13T15:05:30.347Z]	<Transcriber>	Lucy_Yang: Very relevant to the to the identity work is I'm also a business consultant at United Nations development program which actually is doing the project the trust registry project I'm I'm going to speak to a lot today um.
[2024-05-13T15:05:39.856Z]	<Transcriber>	Lucy_Yang: Like I'm not I'm not a technical technical person I call myself a technology VCS proudly um but I am an entrepreneur in the business strategist um my special.
[2024-05-13T15:05:42.285Z]	<Transcriber>	Lucy_Yang: My specialty is particularly.
[2024-05-13T15:06:06.558Z]	<Transcriber>	Lucy_Yang: Crafting and implementing go-to Market strategy you know not only for identity product but but I have a particular kind of a passion for emerging technology that's also part of the reason why I got into the space about 5 years ago so I can't believe it's 5 years but and but it has been a quite a good journey and my journey actually um started um kind of a little bit before Co but I would call like Co pretty much kind of like a really um.
[2024-05-13T15:06:22.095Z]	<Rachel_Donahue_(she/they)_-_Digital_Promise>	present+
[2024-05-13T15:07:07.233Z]	<Transcriber>	Lucy_Yang: Professional Journey changing experience for me um so some of you may might know me from like back in the co days where I was leading the co financials initiative and was clear and and also another technical colleague of ours John who's actually I'm working very actively today on trust registry work so the 3 of us we kind of collect Co credentials initiative into the Linux foundation and and also that's where we kind of like identify like the the kind of the the trust registry kind of challenge among the co and the co ecosystem and and and initiated the project called Global Co certificate Network so this is actually 1 of the first and decently Federated in infrastructures for trustworthy it's like where we leverage um the trending project which I'm going to speak to you a little bit more in depth um and and so that the the gccm project um we took it um to uh to United Nations in 2022 and now it's renamed to ready trust project and I'm still like working Consulting like as independent consultant there so in and what our use case now.
[2024-05-13T15:07:08.203Z]	<Transcriber>	Lucy_Yang:  still on actual in house.
[2024-05-13T15:07:08.831Z]	<Transcriber>	Lucy_Yang: Is not particularly uncomfortable.
[2024-05-13T15:07:09.238Z]	<Transcriber>	Lucy_Yang: Right but there's.
[2024-05-13T15:07:09.499Z]	<Transcriber>	Lucy_Yang: So many other.
[2024-05-13T15:07:18.868Z]	<Transcriber>	Lucy_Yang: On house certificate and we're working uh we can't we need to kind of address interoperability for them and that's um work is particularly with NWO.
[2024-05-13T15:07:19.618Z]	<Transcriber>	Lucy_Yang:  um this.
[2024-05-13T15:07:25.293Z]	<Transcriber>	Lucy_Yang: I have I have an anthropology background before I got into business and.
[2024-05-13T15:07:27.131Z]	<Transcriber>	Lucy_Yang:  and what.
[2024-05-13T15:07:33.729Z]	<Mahesh_Balan_-_pocketcred.com>	present+
[2024-05-13T15:07:43.882Z]	<Transcriber>	Lucy_Yang: Yes like I I you know we call also 1 of our first um projects that consulting firm we call also getting started with software identity and a lot of like kind of so that's that I think that's why also I'm here because like this I know this community is focusing on like credentials and communities but actually the trustworthy work we are going to speak to.
[2024-05-13T15:07:44.294Z]	<Transcriber>	Lucy_Yang:  is what.
[2024-05-13T15:07:44.568Z]	<Transcriber>	Lucy_Yang: Is quite more.
[2024-05-13T15:08:15.971Z]	<Transcriber>	Lucy_Yang: Broadly than just credentials but anyway so like this is me like I I'm going to talk about trust registry particularly from kind of a business person like someone who actually having challenges understanding all the Technologies you know out there and also having challenges communicate that to like stakeholders who are you know who who are kind of struggling with you know a particular industry problem where ecosystem Pro ecosystem problem and also who is like oh which which Technologies I am I I want to invest in where I should invest in so so with that um.
[2024-05-13T15:08:27.357Z]	<Transcriber>	Lucy_Yang: Uh so sorry just to uh just to clarify are we doing questions there at the end what is the preferred kind of way of um for for this community I'm happy to to to to you know either way.
[2024-05-13T15:08:43.384Z]	<Transcriber>	Lucy_Yang: I I can't see it actually when I'm on presenting a mode.
[2024-05-13T15:09:17.930Z]	<Transcriber>	Lucy_Yang: Yes yes feel free to interrupt me because I can't see yeah I can't see anything I think if the question is very relevant what is probably the best answer at the you know like while I'm you know before I move to the next kind of slides or topic and that's probably the best I don't I don't mind to be interrupted I just want to tell you I don't I can't see the chat so if you don't ya interrupt me if uh if you have to.
[2024-05-13T15:09:29.106Z]	<David_Ward>	present+
[2024-05-13T15:09:45.887Z]	<Ildiko_Mazar>	https://docs.google.com/forms/d/e/1FAIpQLSeHJZGvjIZvjdiqMhma_w03gTYhxLbQUCk4xue5oTIIrfRMXw/viewform
[2024-05-13T15:11:08.474Z]	<Laura_Paglione>	present+
[2024-05-13T15:11:54.652Z]	<Transcriber>	Lucy_Yang: Okay great so yes I want to start like with really kind of what what do I mean by trust registry and particularly highlighting um what what I mentioned earlier when when I talk about trust registry today I don't particularly mean 1 that has to to be um issuing or verifying verifying credentials and I I started to work in the space but then you know as you know the pro my project and also my understanding of of like trust registry or trustless in kind of pro you know improve where like in like events over time I realized you know what what I've been working on actually has a lot you know more implications Beyond credentials and that's also not something I learned from many others that who are working on trust registry so so yeah when I'm talking about trust registry and the example I'm going to give is still a lot of them are are still in the credential in space which I know is very relevant to to this and to this group of people but just in general like you know the the work you know a registry of authorized parties that can participate in.
[2024-05-13T15:11:55.398Z]	<Transcriber>	Lucy_Yang:  you know.
[2024-05-13T15:12:13.088Z]	<Transcriber>	Lucy_Yang: Kind of more so Electronics transactions within an ecosystem based on the government of the ecosystem this is like kind of a kind of like my own kind of like um definition like based on some of the the the the other definitions I saw but it definitely want to highlight you know you don't have to be you know issuing credentials to to.
[2024-05-13T15:12:19.885Z]	<Transcriber>	Lucy_Yang: To need a a trust registry where to need interoperability among different trust Registries across different ecosystems.
[2024-05-13T15:13:22.417Z]	<Transcriber>	Lucy_Yang: Okay so so in my in my kind of um topic today I have a word before trustworthy issue like what you know standardized trust Registries um so why why why why standardized why we need some kind of standardization so that's um so I'm using um I'm using a a graphic um from the good House pass interoperability blueprint that's something that um was was uh developed while I was working on Co credentials this is actually this graphic is really kind of inspired it's inspired me in clear like our work at Ko credentials and this initiative to really think about oh trust registry interoperability and so that's why like if you're if you're looking at if you're looking at the kind of this is really kind of abstraction of what is going on in the world there's so many different kind of trust registry out there and trusted registries you know each you know each trust registry has probably have their own kind of specific you know technical and specifications of following and different policies that are following so if there's not some.
[2024-05-13T15:13:23.118Z]	<Transcriber>	Lucy_Yang:  some kind of like.
[2024-05-13T15:14:24.995Z]	<Transcriber>	Lucy_Yang: Sure these watch trust registry is how can we engage you know ask me as human we're as you know how if we if you have your own ecosystem how you're able to engage the growing number of trust Registries out there each of them have their own kind of way of of working and a more specific example I can give you know I I I'm sorry you know why we're talking about Koh again but I just you know this is like this is something I have a lot of a lot of experience also this is something that I still inspiring a lot of my work today just really thinking about how chaotic that world is that world world was so this is a kind of like um example I can give like you know with our experience like in 2021 be right before we we started the the the trust registry work is really like you're looking at how many how many kind of like the different ecosystem like so so if you're looking at the list I have here the 1 I have like a why like it means like yes means yes like they are they have their own kind of trust registry they have their own way of doing trust list if I have an end like no behind like it mean.
[2024-05-13T15:14:25.930Z]	<Transcriber>	Lucy_Yang:  it's like it's just a.
[2024-05-13T15:14:26.206Z]	<Transcriber>	Lucy_Yang: Technical standard that.
[2024-05-13T15:15:20.196Z]	<Transcriber>	Lucy_Yang: You work and Implement with our own ways of of doing trust registry so this is like I'm only giving you some kind of major you know kind of major ecosystem or major kind of like um tech technical standards that are being that were being implemented in you know in 2021 for for Co credentials and that that world is is really is really messy and there's so many others like smaller smaller ones that I haven't even got to listed there and then the challenge is really if you're looking at like the simple picture we have their we hope that you know no matter where you're coming from like which ecosystem your credential was part of it could be verified whether it's a yes or no it could be verified like when you're going to somewhere else so that's it's the same idea if we're talking about educational credentials for example like I live in Canada now but I got like I got a lot of my educational you know credentials when I was back in China right I want I have to 1 you know a lot of like.
[2024-05-13T15:15:20.781Z]	<Transcriber>	Lucy_Yang:  I remember.
[2024-05-13T15:15:21.472Z]	<Transcriber>	Lucy_Yang: Before when I was applying.
[2024-05-13T15:15:30.917Z]	<Transcriber>	Lucy_Yang: For for grad school and in Canada I literally have to go to like my you know my my University and also my first grad school was really kind of got all these kind of educational credentials kind of.
[2024-05-13T15:15:52.950Z]	<Laura_Paglione>	present+
[2024-05-13T15:15:55.032Z]	<Transcriber>	Lucy_Yang: With certified by you know I I don't I mean it's mainly have a stamp from the school and and there and have to I'm still carrying a lot of these um the envelopes like that that I couldn't even open if I'm going to do another degree you know down the road they probably have to kind of use 1 of the those envelopes and go to you know and submit it to the school and applying for right this is pretty much I I went you know in educational space it's pretty much the same how I can someone from China.
[2024-05-13T15:16:07.428Z]	<Transcriber>	Lucy_Yang: Another country like my credentials can be easily verified like my educational credentials can be easily verified so it's the same it's kind of the same problem you can see across different different domains.
