[2024-06-03T14:54:09.188Z]	<Ildiko_Mazar> agenda: https://lists.w3.org/Archives/Public/public-vc-edu/2024Jun/0000.html

[2024-06-03T14:54:19.188Z]	<Simone_Ravaioli> Good morning, good afternoon everyone. This is Simone speaking, today chairing our Monday call with the W3C Verifiable Credentials for Education task force. Today is June the 3rd. Let's just get started with the housekeeping items. IP Note: Anyone can participate in these calls. However, all substantive contributions to any Credentials Community Group Work Items must originate from members of the CCG with full IPR agreements signed. You can find the link to this in the meeting invites. You'll need to have a W3C account, that is also something easy to do online. Moving on to call notes. Please note that these meetings are recorded. We have a robot transcriber and we also make audio and video recordings, that are archived and available online. If you want to speak, please raise your hand, or add yourself to the queue by typing “q+” in the chat. And please be brief if you have a question to ask, we want to maximise the time for conversations. Thank you. Now to Introductions & Reintroductions. If we have any new people in the call, or somebody would like to reintroduce themselves, please feel free to take the floor. If nobody wants to take the floor, we can move on to announcements and reminders. Anyone has events or things that happened that people should be aware of, again, please queue yourself up and share the news with us. Now we can move on to the main agenda topic, that is Learning and Employment Record Resume Standard (LER-RS).
[2024-06-03T14:55:19.188Z]	<Simone_Ravaioli>	present+
[2024-06-03T14:56:00.244Z]	<Ildiko_Mazar>	present+
[2024-06-03T14:59:29.263Z]	<Christoph_Graf_(switch.ch)>	present+
[2024-06-03T14:59:41.970Z]	<PL/T3>	present+
[2024-06-03T15:00:17.234Z]	<Dmitri_Zagidulin>	present+
[2024-06-03T15:00:26.860Z]	<Karen_Passmore>	present+
[2024-06-03T15:00:58.331Z]	<Hiroyuki_Sano,_Japan>	present+
[2024-06-03T15:01:01.089Z]	<Stuart_Freeman>	present+
[2024-06-03T15:01:02.777Z]	<Andy_Griebel>	present+
[2024-06-03T15:01:16.561Z]	<Adam_Eunson_(Tangle_Labs)>	present+
[2024-06-03T15:01:18.924Z]	<Laura_Paglione>	present+
[2024-06-03T15:01:49.533Z]	<Transcriber>	scribe+
[2024-06-03T15:01:49.533Z]	<Transcriber>	Meeting: education
[2024-06-03T15:02:00.898Z]	<Susan_Stroud>	present+
[2024-06-03T15:02:06.110Z]	<Eric_Shepherd>	present+
[2024-06-03T15:02:31.290Z]	<Deb_Everhart_(Credential_Engine)>	present+
[2024-06-03T15:02:47.818Z]	<Sharon_Leu>	present+
[2024-06-03T15:02:51.278Z]	<James_Chartrand>	present+
[2024-06-03T15:02:56.111Z]	<Kayode_Ezike>	present+
[2024-06-03T15:03:04.787Z]	<Danny_Done>	present+
[2024-06-03T15:03:05.690Z]	<Phil_Barker>	present+
[2024-06-03T15:04:23.089Z]	<Ildiko_Mazar>	FYI, the minutes and an audio recording of everything said on this call are archived at https://w3c-ccg.github.io/meetings/
[2024-06-03T15:05:05.078Z]	<Jeff_O_/_HumanOS>	present+
[2024-06-03T15:05:30.255Z]	<PL/T3>	Q+
[2024-06-03T15:05:54.844Z]	<Alex_H>	present+
[2024-06-03T15:06:06.521Z]	<Deb_Everhart_(Credential_Engine)>	https://www.thebadgesummit.com/
[2024-06-03T15:06:10.053Z]	<Timg>	present+
[2024-06-03T15:06:24.494Z]	<Naomi>	present+
[2024-06-03T15:06:37.988Z]	<James_Chartrand>	present+
[2024-06-03T15:07:04.165Z]	<PL/T3>	Thanks for the link Deb
[2024-06-03T15:07:30.005Z]	<James_Chartrand>	present+
[2024-06-03T15:08:00.499Z]	<Dmitri_Zagidulin>	we can hear you, but it sounds like you can't hear us
[2024-06-03T15:08:03.420Z]	<Ildiko_Mazar>	We can hear you
[2024-06-03T15:08:07.087Z]	<Naomi>	present+
[2024-06-03T15:08:29.214Z]	<Ildiko_Mazar>	Yes, we can hear you.
[2024-06-03T15:08:30.249Z]	<Dmitri_Zagidulin>	we can still hear you
[2024-06-03T15:08:37.358Z]	<Naomi>	present+
[2024-06-03T15:09:44.124Z]	<Naomi>	present+
[2024-06-03T15:09:59.729Z]	<Transcriber>	scribe+
[2024-06-03T15:09:59.729Z]	<Transcriber>	Meeting: education
[2024-06-03T15:10:16.803Z]	<Transcriber>	PL/T3: 1 of which uh some of which are listed here it's tamper evidence it's um certainty of the whole wallet holder's identity I put a big star around that and we'll come come back to that clear descriptions of the claims skills.
