[2024-07-01T14:53:05.220Z]	<Ildiko_Mazar> agenda: https://lists.w3.org/Archives/Public/public-vc-edu/2024Jun/0004.html
[2024-07-01T14:53:07.220Z]	<Simone_Ravaioli>	present+
[2024-07-01T14:53:07.221Z]	<Simone_Ravaioli>	present+
[2024-07-01T14:56:39.858Z]	<Ildiko_Mazar>	present+
[2024-07-01T14:57:36.201Z]	<Nate_Otto>	present+
[2024-07-01T14:59:15.105Z]	<Hiroyuki_Sano,_Japan>	present+
[2024-07-01T15:00:16.192Z]	<PL/T3>	present+
[2024-07-01T15:00:36.179Z]	<Sharon_Leu>	present+
[2024-07-01T15:01:16.988Z]	<Stuart_Freeman>	present+
[2024-07-01T15:01:36.795Z]	<Susan_Stroud>	present+
[2024-07-01T15:01:45.875Z]	<Andy_Griebel>	present+
[2024-07-01T15:02:40.687Z]	<Simone_Ravaioli>	we will start officially in a couple of minutes... hello folks !
[2024-07-01T15:03:03.194Z]	<TallTed_//_Ted_Thibodeau_(he/him)_(OpenLinkSw.com)>	present+
[2024-07-01T15:03:05.906Z]	<Alex_H>	present+
[2024-07-01T15:03:11.674Z]	<Transcriber>	scribe+
[2024-07-01T15:03:11.675Z]	<Transcriber>	Meeting: education
[2024-07-01T15:03:50.580Z]	<Keith_Hackett>	present+
[2024-07-01T15:05:31.610Z]	<Deb_Everhart_(Credential_Engine)>	present+
[2024-07-01T15:05:32.390Z]	<Simone_Ravaioli> Good morning, good afternoon everyone, welcome to today's W3C Verifiable Credentials for Education task force call, on Monday, July the 1st. Let's get started with the housekeeping items. IP Note: Anyone can participate in these calls. However, all substantive contributions to any Credentials Community Group Work Items must originate from members of the CCG with full IPR agreements signed. You can find the link to this in the meeting invites. You'll need to have a W3C account, that is also something easy to do online. Moving on to call notes. Please note that these meetings are recorded. We have a robot transcriber and we also make audio and video recordings, that are archived and available online. If you want to speak, please raise your hand, or add yourself to the queue by typing “q+” in the chat. And please be brief if you have a question to ask, we want to maximise the time for conversations. Thank you. Now to Introductions & Reintroductions. If we have any new people in the call, or somebody would like to reintroduce themselves, please feel free to take the floor. If nobody wants to take the floor, we can move on to announcements and reminders. Anyone has events or things that happened that people should be aware of, again, please queue yourself up and share the news with us. Now to the main agenda topic, from Nate Otto about Open Badges 3.0.
[2024-07-01T15:06:09.390Z]	<Nate_Otto>	Hope to see many of your at thebadgesummit.com in Boulder (colocated with the T3 Network Mid-Year Meeting!)
[2024-07-01T15:06:20.959Z]	<Ildiko_Mazar>	You are also invited to propose contributions to future VC Edu Task Force calls.
[2024-07-01T15:07:31.831Z]	<Transcriber>	Nate_Otto: Great well thank you for the introduction or the invitation to join here and if you uh may allow me I'll give a brief introduction to myself first although I do know most of the folks on the call and then I'd love to dive into that.
[2024-07-01T15:07:43.548Z]	<Timg>	present+
[2024-07-01T15:07:55.316Z]	<Transcriber>	Nate_Otto: Okay so uh thank you so much uh I'm Nate Otto I have been working in the open beds filled since 2012 um although my early involvement there was uh as a volunteer uh joining the community calls uh on the side of my job that had nothing to do with technology.
[2024-07-01T15:08:01.222Z]	<Transcriber>	Nate_Otto: Went to the um.
[2024-07-01T15:08:01.628Z]	<Transcriber>	Nate_Otto:  the Mozilla.
[2024-07-01T15:08:21.077Z]	<Simone_Ravaioli>	If you have questions, feel free to add them here in the chat as well.
[2024-07-01T15:08:41.914Z]	<Transcriber>	Nate_Otto: Employee Summit in 2013 and then Mozilla Festival in London uh 2013 and 2014 and got my first job at Indiana University working directly with digital badges uh from a posting on the the original open badges mailing list maintained by Mozilla I worked for a year with Dr Dan hickey at Indiana University on uh the design principles documentation project where we studied 30 grant winners of um MacArthur's DML for competition as they were on their journey of implementing the the new open badges technology um I was later than asked to um become interim director of the.
[2024-07-01T15:08:45.190Z]	<Naomi>	present+
