[2024-09-16T14:45:11.223Z]	<Ildiko_Mazar> agenda: https://lists.w3.org/Archives/Public/public-vc-edu/2024Sep/0000.html
[2024-09-16T14:45:59.223Z]	<Ildiko_Mazar> Good morning, good afternoon everyone, welcome to today's W3C Verifiable Credentials for Education task force call, on Monday, September the 16th. Let's get started with the housekeeping items. IP Note: Anyone can participate in these calls. However, all substantive contributions to any Credentials Community Group Work Items must originate from members of the CCG with full IPR agreements signed. You can find the link to this in the meeting invites, but please note that you'll need to have a W3C account, but if you don't have one yet, it is also easy to register one online. Moving on to call notes. Please note that these meetings are recorded. We have a robot transcriber and we also make audio and video recordings, that are archived and available online. If you want to speak, please raise your hand, or add yourself to the queue by typing “q+” in the chat. And please be brief if you have a question to ask, we want to maximise the time for conversations. Thank you. Now to Introductions & Reintroductions. If we have any new people in the call, or somebody would like to reintroduce themselves, please feel free to take the floor. If nobody wants to take the floor, we can move on to announcements and reminders. Anyone has events or things that happened that people should be aware of, again, please queue yourself up and share the news with us. Now to the main agenda topic, that is Bridging Schemas & Translating Data. I would like to welcome and invite our guest speakers Oran Dan and Jelle Millenaar to take the floor.
[2024-09-16T14:55:42.765Z]	<Ildiko_Mazar>	present+
[2024-09-16T14:59:00.715Z]	<Steven_Crawford>	present+
[2024-09-16T14:59:14.598Z]	<Andy_Griebel>	present+
[2024-09-16T14:59:46.791Z]	<Sheela_Kiiskila>	present+
[2024-09-16T14:59:56.723Z]	<Jelle_Millenaar_[Impierce]>	present+
[2024-09-16T15:00:45.243Z]	<Susan_Stroud>	present+
[2024-09-16T15:01:03.604Z]	<Oran_Dan>	present+
[2024-09-16T15:01:10.454Z]	<James_Chartrand>	present+
[2024-09-16T15:01:39.552Z]	<Luisa>	present+
[2024-09-16T15:01:45.413Z]	<Dmitri_Zagidulin>	present+
[2024-09-16T15:01:48.033Z]	<Nate_Otto>	present+
[2024-09-16T15:01:56.119Z]	<Phil_Barker>	present+
[2024-09-16T15:02:05.054Z]	<Deb_Everhart_(Credential_Engine)>	present+
[2024-09-16T15:02:25.807Z]	<Eric_Shepherd>	present+
[2024-09-16T15:02:25.987Z]	<Phil_Barker>	present+
[2024-09-16T15:02:30.062Z]	<Simone_Ravaioli>	present+
[2024-09-16T15:02:41.613Z]	<PL_T3>	present+
[2024-09-16T15:02:56.497Z]	<Transcriber>	scribe+
[2024-09-16T15:02:56.497Z]	<Transcriber>	Meeting: education
[2024-09-16T15:04:00.578Z]	<Justin_Cooke_EC>	present+
[2024-09-16T15:04:03.946Z]	<Sharon_Leu>	present+
[2024-09-16T15:04:15.095Z]	<Andy_Griebel>	present+
[2024-09-16T15:04:38.020Z]	<PL>	present+
[2024-09-16T15:04:45.022Z]	<Ronald_Ham_(SURF)>	present+
[2024-09-16T15:05:15.560Z]	<Susan_Stroud>	q
[2024-09-16T15:05:34.394Z]	<TallTed_//_Ted_Thibodeau_(he/him)_(OpenLinkSw.com)>	present+
[2024-09-16T15:05:46.699Z]	<Phil_Barker>	Is anyone speaking? I hear nothing.
[2024-09-16T15:05:49.727Z]	<PL>	I'll be attending virtually, but not in person
[2024-09-16T15:05:50.131Z]	<Kerri_Lemoie>	present+
[2024-09-16T15:06:28.623Z]	<Ildiko_Mazar>	@Phile Barker, there is a conversation you should hear.
[2024-09-16T15:06:44.572Z]	<Phil_Barker>	Thanks Ildiko
[2024-09-16T15:06:50.566Z]	<Jeff_O_/_HumanOS>	present+
[2024-09-16T15:06:55.950Z]	<Andy_Griebel>	present+
[2024-09-16T15:06:58.354Z]	<Simone_Ravaioli_(low_band>	present+
[2024-09-16T15:07:07.719Z]	<Alex_H>	present+
[2024-09-16T15:07:08.132Z]	<Chandi>	present+
[2024-09-16T15:07:11.094Z]	<Timg>	present+
[2024-09-16T15:07:32.765Z]	<Phil_Barker>	present+
