[2024-09-23T14:45:11.223Z]	<Ildiko_Mazar> agenda: https://lists.w3.org/Archives/Public/public-vc-edu/2024Sep/0001.html
[2024-09-23T14:45:59.223Z]	<Ildiko_Mazar> Good morning, good afternoon everyone, welcome to today's W3C Verifiable Credentials for Education task force call, on Monday, September the 23rd. Let's get started with the housekeeping items. IP Note: Anyone can participate in these calls. However, all substantive contributions to any Credentials Community Group Work Items must originate from members of the CCG with full IPR agreements signed. You can find the link to this in the meeting invites, but please note that you'll need to have a W3C account, but if you don't have one yet, it is also easy to register one online. Moving on to call notes. Please note that these meetings are recorded. We have a robot transcriber and we also make audio and video recordings, that are archived and available online. If you want to speak, please raise your hand, or add yourself to the queue by typing “q+” in the chat. And please be brief if you have a question to ask, we want to maximise the time for conversations. Thank you. Now to Introductions & Reintroductions. If we have any new people in the call, or somebody would like to reintroduce themselves, please feel free to take the floor. If nobody wants to take the floor, we can move on to announcements and reminders. Anyone has events or things that happened that people should be aware of, again, please queue yourself up and share the news with us. Now to the main agenda topic, that is Micro-Credentials from a University Alliance - the ECIU experience. I would like to welcome and invite our guest speaker Johan Peterson to take the floor.
[2024-09-23T14:58:33.466Z]	<Johan_Peterson,_ECIU>	present+
[2024-09-23T14:58:33.467Z]	<Ildiko_Mazar>	present+
[2024-09-23T14:58:53.201Z]	<Sheela_Kiiskila>	present+
[2024-09-23T14:58:54.612Z]	<Johan_Peterson,_ECIU>	present+
[2024-09-23T14:59:34.405Z]	<Stuart_Freeman>	present+
[2024-09-23T15:00:02.465Z]	<Marcie_Bonilla>	present+
[2024-09-23T15:00:47.896Z]	<Andy_Griebel>	present+
[2024-09-23T15:01:08.434Z]	<Eric_Shepherd>	present+
[2024-09-23T15:01:13.834Z]	<TallTed_//_Ted_Thibodeau_(he/him)_(OpenLinkSw.com)>	present+
[2024-09-23T15:03:07.706Z]	<Phil_Long>	present+
[2024-09-23T15:03:09.558Z]	<TallTed_//_Ted_Thibodeau_(he/him)_(OpenLinkSw.com)>	This week is W3C TPAC — https://www.w3.org/2024/09/TPAC/
[2024-09-23T15:03:32.971Z]	<Transcriber>	scribe+
[2024-09-23T15:03:32.971Z]	<Transcriber>	Meeting: education
[2024-09-23T15:03:43.403Z]	<DavidC>	present+
[2024-09-23T15:06:43.271Z]	<Timg>	present+
[2024-09-23T15:06:45.698Z]	<Transcriber>	Sheela_Kiiskila: Sure I doubt it but I will.
[2024-09-23T15:07:24.715Z]	<Phil_Barker>	present+
[2024-09-23T15:08:11.907Z]	<Ildiko_Mazar>	https://education.ec.europa.eu/education-levels/higher-education/european-universities-initiative
[2024-09-23T15:09:09.182Z]	<Phil_Barker>	present+
[2024-09-23T15:09:21.072Z]	<Ildiko_Mazar>	https://engage.eciu.eu/browse?learningOppTypes=623140001
[2024-09-23T15:10:03.592Z]	<Stuart_Freeman>	present+
[2024-09-23T15:11:09.822Z]	<Stuart_Freeman>	present+
[2024-09-23T15:11:19.677Z]	<Alex_H>	present+
[2024-09-23T15:13:23.873Z]	<Jeff_O_/_HumanOS>	present+
