[2024-10-07T14:45:11.223Z]	<Ildiko_Mazar> agenda: https://lists.w3.org/Archives/Public/public-vc-edu/2024Oct/0000.html
[2024-10-07T14:59:48.414Z]	<Dmitri_Zagidulin>	present+
[2024-10-07T14:59:49.003Z]	<Stuart_Freeman>	present+
[2024-10-07T14:59:49.562Z]	<Alex_H>	present+
[2024-10-07T14:59:49.881Z]	<Sheela_Kiiskila>	present+
[2024-10-07T14:59:51.704Z]	<Stuart_Freeman>	present+
[2024-10-07T14:59:51.889Z]	<Ildiko_Mazar>	present+
[2024-10-07T15:00:08.102Z]	<Stuart_Freeman>	present+
[2024-10-07T15:00:24.137Z]	<Andy_Griebel>	present+
[2024-10-07T15:00:24.769Z]	<Hiroyuki_Sano,_Japan>	present+
[2024-10-07T15:00:39.243Z]	<Sharon_Leu_|_JFF_Labs>	present+
[2024-10-07T15:00:57.424Z]	<TallTed_//_Ted_Thibodeau_(he/him)_(OpenLinkSw.com)>	present+
[2024-10-07T15:01:13.507Z]	<Kerri_Lemoie>	present+
[2024-10-07T15:01:19.121Z]	<Eric_Shepherd>	present+
[2024-10-07T15:01:29.287Z]	<Alex_H>	present+
[2024-10-07T15:01:32.458Z]	<Andy_Griebel>	present+
[2024-10-07T15:01:36.681Z]	<Adam_(AuvoDigital)>	present+
[2024-10-07T15:01:38.638Z]	<Transcriber>	scribe+
[2024-10-07T15:01:38.639Z]	<Transcriber>	Meeting: education
[2024-10-07T15:02:01.935Z]	<Steven_Crawford>	present+
[2024-10-07T15:02:06.207Z]	<Transcriber>	Dmitri_Zagidulin: That was uh those of you who just joined I'm going to give it another minute for people to assemble and we'll get started.
[2024-10-07T15:02:31.579Z]	<Transcriber>	Dmitri_Zagidulin: All right so it's 2 minutes past uh we can uh we can get started uh so welcome everyone to this week's VC edu task force.
[2024-10-07T15:02:51.142Z]	<Transcriber>	Dmitri_Zagidulin: Uh community group call uh these calls are free anyone can participate if you're going to make any substantive contributions to any ccg work items you have to be a member of the ccg and sign the uh IPR agreement uh which is essentially for patent control protection.
[2024-10-07T15:02:56.881Z]	<James_Chartrand>	present+
[2024-10-07T15:03:01.127Z]	<Sharon_Leu_|_JFF_Labs>	present+
[2024-10-07T15:03:01.314Z]	<PL>	present+
[2024-10-07T15:03:05.289Z]	<Transcriber>	Dmitri_Zagidulin: Also make sure uh you have a w3c account and all that if you haven't signed up already and you want to contribute to the specs uh please let me know or any of the co-chairs and we'll get you set up.
[2024-10-07T15:03:27.729Z]	<Transcriber>	Dmitri_Zagidulin: The calls are recorded uh minutes and audio is going to be archived in the meetings repo of the ccg uh we use jitsi chat to queue up so type Q Plus in the chat or raise your hand uh here in jitsi and it'll it'll kick you up automatically.
[2024-10-07T15:03:35.812Z]	<Transcriber>	Dmitri_Zagidulin: Right uh let's go through introductions and reintroductions does anybody new here on the call that want to introduce themselves.
[2024-10-07T15:03:42.440Z]	<Transcriber>	Dmitri_Zagidulin: If you need to raise your hand or just speak up.
[2024-10-07T15:03:59.346Z]	<Transcriber>	Dmitri_Zagidulin: All right uh next up we have Community announcements does anybody have uh announcements or reminders for the.
[2024-10-07T15:04:10.475Z]	<Sharon_Leu_|_JFF_Labs>	present+
[2024-10-07T15:04:15.051Z]	<Transcriber>	Dmitri_Zagidulin: Here's the uh General page for upcoming events for those.
[2024-10-07T15:04:20.307Z]	<Transcriber>	Dmitri_Zagidulin: Uh for those unfamiliar.
[2024-10-07T15:04:23.251Z]	<Dmitri_Zagidulin>	https://w3c-ccg.github.io/announcements/
